Y	sigma	target
2.1340656155764144	4.907044261224356	0.18063734764822
2.2010922486526834	2.9374977900461343	0.2795039344805441
1.5051199388467729	1.7945779273040388	0.2692928910912102
4.98158290948445	1.0748848618078144	1.2004480347753068
1.8205671261568168	3.2260093056928065	0.21540027416697272
3.3056929960979984	3.1525978895370423	0.39802710062863056
4.193783694903649	1.9503112150959927	0.7107358155039921
3.4844160030372846	2.745319799189709	0.4651693566716426
4.28977939688383	4.082486758518638	0.4220157966662509
2.2409894701292967	4.488835585426084	0.2041406993570327
4.603854643088292	4.783708535476729	0.3980019579867033
1.3300731938070578	3.820539504239988	0.13795895590495308
4.680734703736729	4.488256519606297	0.42643184470470985
1.8429333594409405	1.7691806021456244	0.33275788477158075
3.544356740717144	4.105412028717082	0.34711759998808456
3.177047314450739	3.7447000886251813	0.3347995927147544
3.205074895804206	2.2148224945772257	0.49848396003364703
3.4322853732307457	1.8456348480512887	0.6030790239269805
2.1950876124171748	2.052578022642151	0.3595465203731668
2.742851792645216	4.8638644317816855	0.2338774902246353
4.477823391058039	1.8402750044670235	0.7882728580886662
2.9091650984332325	4.7176452640806055	0.2544023775582224
4.885645886970781	1.5926055437596611	0.9422269999249232
1.460338938986856	1.2426313920438368	0.3255860379391119
4.624105104945866	3.450844401911336	0.5194638014036311
4.316241169790828	4.524143667838915	0.39067061153021865
1.2060142875400084	3.700966260631166	0.1282730209786791
4.464095474112876	3.410541954293865	0.5060710815557341
4.268927806347824	2.0268371707760986	0.7051796257102998
2.941504924018	2.7318642557402013	0.394106634437935
3.7569539977275865	4.786820486523928	0.3246129723979343
2.1728489125056205	1.1719764367845058	0.5002008483394061
3.4937977706276917	4.5532329382320045	0.3145733133733825
4.8779204677367884	1.2159307077587351	1.1006482401858309
1.896644406046996	3.854749198032012	0.19533907197676104
2.6462247807335935	4.001691699491089	0.2645329760131797
2.6206649780576243	4.490027212644785	0.2386750444534806
1.7857593240633352	4.876880870074562	0.15193087656043286
2.7241814982175816	3.1705807169466986	0.32659498557936645
1.2663366315519125	4.559451290053168	0.11389043319955068
2.967243135566851	2.200363220365129	0.4635791207518498
2.309652125809457	1.7197563432741192	0.4246064415882624
2.398211572005104	1.2519016106898475	0.5324858689697449
3.3818313816859003	2.9194643472260977	0.43141499476571415
3.9053724113579946	4.104676703669108	0.3825288689243449
2.930620935385297	1.2436837120126696	0.6530824553600781
1.7102115282266968	3.715159118861256	0.18135247243148447
4.1687311808470415	2.041135963896088	0.6853904643425345
2.190038021398177	2.8373220146255345	0.28536020863652906
3.6468306764136385	2.109631945061341	0.5863765778142116
1.3787436022768849	4.793275271090573	0.11899517438408715
1.214375183920129	2.2763598905040747	0.1853238387272064
3.270244480134373	1.4695158503000676	0.6621225937337091
1.966385389181144	3.0705358446857924	0.24153888630514325
3.0736620762164284	3.8569477024750136	0.3164191035709675
2.119447468631616	4.464913607278117	0.1939140872976433
3.0082894531846853	4.422853425752787	0.277371451614247
4.316848048152643	3.285342581549654	0.5036759565896358
1.933723441085018	3.006339681236052	0.24133293666307615
3.7213187040840636	2.7242779524408536	0.4996027084451564
3.8585328502919474	3.2447151698818497	0.4545102198693992
2.59347507298484	1.7680534158648618	0.4684655032523142
1.8915479855037027	2.413820883822771	0.27704265248174964
1.1026684940493658	2.6627591830718056	0.1505242958840394
2.0784296421153847	2.626936872648012	0.2865268565589801
4.959374101521885	3.852745888488348	0.5109863792050681
4.35201329054552	3.7567560921189718	0.4574560063901497
1.1389559048482636	3.665376389207285	0.12206473924409222
2.68814515270023	1.0565969267661548	0.6535420523376784
4.1849424360188525	4.35430770059244	0.3908014509098721
2.9936893050519733	2.5566716319143468	0.4208554534792191
3.5427017859650753	1.6812557246934237	0.6606422791638328
4.51629645179975	4.852683788222214	0.38583123702054656
4.974228556349488	4.569762284327648	0.4465386763763789
3.2432444392036768	4.311351554983903	0.3053125372731523
3.419804339813288	2.8438928430607997	0.44483606586313945
4.3603974319955645	2.649277553513813	0.5974329669439681
2.3470984016159773	3.772696146103288	0.2458881028422779
1.1821096983913764	1.7137128822572776	0.2178030155880184
4.489118220916482	1.1137537277016114	1.0618829814667483
1.4525936372783406	2.8250778108740597	0.1898776585862984
1.1595170518021292	1.6850447256059522	0.2159213663639165
2.488885688051397	3.7654686915369737	0.26113755531238986
4.882735190982271	1.897856823213256	0.8424735052244757
2.708723240120474	4.480015155230367	0.24714559753864454
4.187350560551938	4.155214489898575	0.4061276760411108
1.7873184727902458	4.786745858934546	0.1544320863884738
4.601838636192863	2.7907489415519557	0.6069827766421325
1.2071854632982228	3.5709250670990387	0.13205045429287354
2.8995351971208385	4.943651427857894	0.2439186779637444
1.2103412361914705	1.3923095021812153	0.2529650187586364
1.7939888048254018	1.4143133553105978	0.37153188936292986
1.3856326139261117	3.3768704766043918	0.1582903379632444
4.7147110250014945	2.9880001260871216	0.5911121960805197
2.7665643812519694	4.545018240967881	0.2494639567469724
