omega	h	target
2.8466550626557354	1.329099780521522	0.6039351878691881
3.823043689893999	2.515902647467355	1.515234599061163
3.4335163623316944	2.0608685056645584	1.1163545102758146
4.611782595655672	4.92029738188834	3.5887973966447344
3.18860646785012	3.8059303683274286	1.9548444914443472
3.443544434411428	2.354076621769316	1.2864075462954523
3.158726002337969	3.168847583074877	1.6202350280923297
2.2086710637359968	1.6956069684670991	0.5960610489365522
4.5810762193544186	4.522410054810019	3.211370467707205
4.614144973563152	1.375611830270592	1.024750125332705
2.655281088398788	2.576111438232171	1.0968654516413836
1.2163318142609183	4.906646232854482	0.9480763240614225
4.908913229377732	2.7605973397484225	2.1516997244614067
4.373456295869299	1.8152428679660184	1.278203978225613
2.650217182428808	1.0938833342468426	0.456308325374932
4.249510265478706	3.0290843228814603	2.037305340413004
2.337248539850687	2.390807778695177	0.880044219304172
2.400439129487313	4.23733611094934	1.6195305796298376
3.1374868198849786	3.5639776520369923	1.7798999089623961
3.5152535150093014	1.1747567549665474	0.6612845835590552
2.104903988762966	3.458557149060744	1.1469079943234095
1.465890937427191	4.699971553905144	1.0998233070938292
1.7747156832012518	2.6457206799158963	0.7488578574314539
3.179451720598833	2.283746453865464	1.1420356809671675
4.7969127303714965	2.79690587434269	2.144966992231766
4.737162816288019	3.8000785484061295	2.8659321712247534
4.836920157118591	3.23350236083219	2.491246043983958
3.2012391925115464	1.67155844227698	0.8497000165835785
2.9223944525143586	3.530599976107065	1.644174605818757
4.100070550861602	4.614525569597472	3.0193067032452388
2.594240907926644	3.7214774234064674	1.5488990137106564
2.027179537207885	2.6312619546334064	0.8631434185458374
3.833433838396106	4.273942130482942	2.6244524780314933
2.4521677332311143	1.0169047058879328	0.3954228439939271
4.385919612836176	1.9487076203169769	1.3435661362135756
3.610226774062428	2.3926589999319856	1.3767132508743676
2.9588438461699664	2.3134250547341813	1.0925320452592477
1.248226014883366	3.5516347080452952	0.7087503189936029
4.287091213946229	1.1502537645760538	0.7762009033250956
2.352528051666225	2.943893820749035	1.1045669413121881
1.4728716646614357	3.635308733679848	0.8478149951321181
4.856649422692532	2.4053713342470004	1.876801548866128
3.6086974104815392	4.933634847266712	2.7638282357677886
2.1423059307184222	1.950127552572944	0.6775284405616394
4.834078275687329	1.8467912098643715	1.4109404409270005
4.071510963388267	4.018081091831252	2.6279498487381603
3.564116385584952	3.3149190859882127	1.8849211456321815
2.4536824131020696	3.9926478179811866	1.550782854996051
4.246655725288017	3.2130391324302447	2.1968661578912654
1.471410531931249	4.957132110434858	1.1435649183525118
3.6018119455895548	3.475040559575112	1.9721370426820812
1.8438469069818089	1.6320571107283932	0.4817676795680884
3.1488731558795693	2.2661589275793728	1.1388964590069708
3.430897363691956	4.252145271554027	2.31747314851977
3.3661490077602325	1.3756527361395916	0.7477465456631681
