mob	T	kb	target
4.961949491472446	1.727802811323782	4.151511482288987	35.85409246510749
4.183968253649106	4.799532764295172	1.0915708521907843	21.77533735004068
2.650635686588971	2.5650232742964123	3.3882771354044565	23.112375313940767
2.310427523671676	1.9432979689744447	1.5071104447091803	6.855317523566271
3.063767292285087	2.291371795872184	1.483140870236631	10.478770587200366
1.066216857081292	3.534425544684224	3.4779161056927617	13.20226853857397
2.115355293727104	3.359646201041976	1.1719122577908458	8.39079517821414
1.3517939991147672	2.380762136713777	1.3362133722733192	4.328320081513765
4.837361432006281	3.367390250669895	2.7384354319671225	44.60895202958758
1.6227150574358582	2.632275226700515	4.530927275150688	18.98155386192498
2.2272305493726168	1.8089827175356248	2.41052592649212	9.729895290951148
4.214504608579377	3.7729322599682975	2.1409879906874845	35.20380342249176
2.9349162659184773	3.595536397199276	2.533840741330565	26.458306361438012
2.7081395464825646	1.266977389963992	3.645597191240989	12.45678134104618
4.488125642778297	3.967914780536904	1.0485522841645103	18.418169139328157
1.5663367812022138	1.3657684893975852	3.4919068422134485	7.428252705552364
2.33180230450571	4.96475593880063	2.0630836472656555	23.808928179255187
3.6433478114731743	1.469496349237839	3.816819409328172	20.65395429925011
4.548508319842252	3.422002208635543	4.122168838898721	63.69511924105335
2.1618302944005694	1.1123781600328404	1.4764300981080585	3.5225212915429234
2.9963617726466767	2.760452966918788	1.6354478636775691	13.253613888901128
3.9889943893993465	3.498285947776693	4.182379685581031	58.57952856627061
1.9154809499887089	4.132891232390129	1.5491772885014945	12.503520198872984
3.941366819770368	1.847101292927369	4.364422665726232	31.350704925069053
2.665787869878268	4.299995234480846	4.267604947906449	49.25704408256018
1.6100192769258124	3.522506987097926	4.935633927873255	28.58516116677322
3.4205355822543777	4.654476198655934	4.780595462206891	76.98941968921827
2.018686969498748	4.146531149252192	4.534006241117447	38.00823888615251
1.2412464590962244	1.4470881595203862	2.5155452767807014	4.551228602581644
1.978986013410404	1.8388113738461056	3.2795226366897343	12.056362654289165
1.5813621291297522	4.975371859554848	3.845456975915254	30.748897253430368
2.1135130306263568	3.1041951356221005	3.8540873214916975	25.797925321708956
3.204840801601165	4.547363420705049	2.5019634594343145	35.72207237807157
4.162654049540347	3.735949554119848	2.508311350458952	39.021637374155006
2.6674371107138724	3.657003311898357	3.271823090419292	31.500352773528927
1.1103979552996377	3.5317434442793587	4.691985069907294	18.478025857342786
2.235806762086689	4.702695329120783	3.62763866550798	38.02131110247888
2.1713829685519754	3.9198796629917614	3.4225404371512216	29.182613711819364
3.6271429128646497	2.285188610756029	1.1467019051786729	9.501899966266507
1.0043817618611572	1.9274841885892235	4.152880180320493	8.084777173975551
3.0498423866222577	4.7967810742305526	3.0406800893227026	44.67227143754213
3.9221618551410407	2.7859396163212287	4.085043946066275	44.799569570860946
4.544206507039752	1.009637749587895	2.7975789340846005	12.685620845150325
3.5815561683052386	2.347473645113181	2.2789207962632863	19.23383434196346
1.2913857388763743	2.3531848276959373	1.3323881968051563	4.0941736521073935
2.392287297798735	2.647748725279752	4.33976286913369	27.34871985762318
3.5986324007588566	2.2904949470889293	2.835326911911761	23.566401820492267
1.585847445993107	1.9975821681464168	4.453957373352028	13.976697866326138
2.8186764689320185	4.459625440205198	2.068485654313561	25.311334967053003
4.310062836173906	3.955468249302136	3.456764589920956	58.88843989888855
4.707925571486436	2.5124108556747364	2.4216880866180257	28.444263543171925
2.0037173639155816	4.541189666014565	4.870916903240623	43.733592322006224
2.5611741469299	2.699095779224417	3.748185015137057	26.057020541997435
3.788060987671389	1.7210886822907678	4.612311086544348	30.288138351991847
3.608899615951123	2.3525943561258407	3.5258608813514702	30.205027354008962
2.4439453542740712	2.2820152884903067	4.202264581423052	23.499125642542637
1.2647055430320355	3.405145939297049	1.0292096669752846	4.398944271895576
