m	g	z	target
1.6172836057860094	1.3680628677540376	4.647031271480482	10.242273204329566
2.600689157973457	2.516728426694842	2.5522145913641263	16.638655938348304
2.769118022092896	1.7537618188757191	2.2577214402175363	10.78900528824723
2.754676728103697	2.9260244002561224	3.887288696874698	31.817940628195313
3.1672244065379287	3.713167340576952	4.969093305656145	58.931599228491535
3.0428949668190586	2.925914499759714	2.88275930794136	25.815172626177226
2.426458192799529	4.0452051924013785	4.573275865813981	45.37377603967764
3.586630530041907	3.716313682067958	3.9580622628653774	54.0775133303859
4.7665088985123045	2.9541198846704715	2.1249543197583174	30.339722141839722
4.7881893752583125	4.046744770614383	1.013198360854838	19.731019720620125
1.0471612525162035	1.9710564537364064	3.259102987918109	6.651679728656312
2.0023938902119527	3.410419102728833	4.193634197623917	28.962014377533276
2.9606664820263746	4.196731462682315	3.063386488703057	37.71421702626426
3.56674980512577	4.55069431067178	4.849699262733012	78.47551587034158
1.05849770574736	4.603985711898813	2.656101740949519	12.990676887239891
2.969466057844282	3.864500339707982	1.6844167846209863	19.605696436547916
1.8369435486633536	2.558298256622338	2.2679208558577404	10.628465521081983
1.6464212491357169	3.4590533267389088	2.642955489150511	15.023961117116153
2.3313387683579188	3.8803110089448953	2.840185313243408	25.8611254027172
2.596652575516324	3.7937832303502153	3.783636250824096	37.49984256633199
4.6339693449055925	2.7490059025484808	2.4940759078697905	31.918465956504775
4.392068250028796	2.362426977022915	3.3246647846133865	34.70583325807577
4.467173706105871	2.5435024166011355	4.773982464455552	54.71588986452178
2.130016986544455	2.783658474232368	4.406458178718606	25.95086729907748
1.6511472491143673	1.936773984683153	2.406104078002889	7.6839849713572095
2.8068759893383737	4.997185307682629	2.7825465256397344	39.156188245084294
3.831849251692284	1.9475374831451369	2.960782254801433	21.946907435411713
1.5743587895638518	2.879755622707547	2.917516984217564	13.116804847833665
1.832350101475016	3.1852682126846843	4.502365938209801	26.707207837499247
2.3661558309256714	1.854013314666008	3.677255419385299	16.147693140531377
3.516372350416632	3.4148368004052188	4.058318755318839	48.847746309576856
1.9198551752646769	2.8895689106155227	1.4456029915747517	8.023044825285327
2.280459308215179	2.499327514989598	3.2486797118901523	18.78016504266923
1.3580385033350906	4.288361191810924	2.423826326631717	14.183514881059432
1.834240593764904	2.0552030060761872	2.711932317606004	10.316503225803043
3.588063153209794	1.4668602769977102	3.496491381751264	18.57664664268274
1.810014571742022	1.7628698740212485	1.1868454238291672	3.7998528386406236
4.329587359963559	4.48729172762196	2.5652615568046158	50.18459853637744
1.0064485232610725	1.2289059267862237	2.4024305516193354	2.9531312438203736
1.70796608969939	4.9075035467590125	3.3882879810105173	28.436489950710147
1.5244281543619431	4.684819234089933	3.9047046247741313	27.696415534745306
4.608177125688599	3.228462129905072	3.0227150049684326	44.599947373321505
4.945512225368024	4.838129143310186	2.9267188513206945	70.61378472430467
2.4949404289157378	2.6424250355633374	4.949176586754317	33.5998036545678
3.2411286783864908	2.744978498294465	4.294627315527974	37.809033003759424
3.6857966293092215	4.743274316743894	3.8981508784619874	68.54474659794668
3.0007367689100133	1.223956588896387	2.0755861869669205	7.712323953699736
3.2356560220539863	4.491062197546626	1.499387201400591	21.637666637191995
4.308859654036002	1.3118772000049843	1.4020708352586793	7.978113001665947
4.6500370568622245	1.6305295808164644	3.1886320047172347	24.428945279134165
3.3277268472272823	1.940547983680828	4.711473805137968	30.375067939887774
4.026425792854504	4.715496312345252	3.091681472414584	59.625512588758646
3.712955917232353	3.67706669610006	2.158075608199989	29.61775658966725
2.591882272662439	2.1208966191489385	2.8268272815102087	15.625082263038992
1.4847221435270417	1.822072530168545	4.424421656072077	11.92527082520337
1.1744227478974498	1.1191666561332758	4.835815799883424	6.517880480060645
3.1279191243220925	2.8228779965385487	2.046939966094808	18.17773535546052
1.242739978812883	1.5892528474073226	4.009370916425012	8.13920301471064
1.0499489694731627	3.9999376096930592	1.7248172504793486	7.335581466672296
3.842707000930625	1.14600194799059	4.4837722960634885	19.601744774355712
3.6128560146031177	1.723964239871099	3.0299488448910217	18.848990335488182
1.2788902437627785	3.4160522790752736	4.35718881121191	18.949079530557615
2.3711358778163447	2.840766123319849	4.87885532618462	33.01291337267336
2.9800049383211062	1.4624355182729256	2.2603965781457696	9.914234091139122
1.0770116181468334	3.5999300171930684	3.7303111241239626	14.396389488064113
4.262672107604608	4.712741284240469	2.9005924326887533	57.86680527989649
1.0878788724667854	1.0870365904642982	4.551341180854137	5.423344518747847
1.6919178640428405	1.7822975918932171	4.9164434796118845	14.984962473267498
2.305353177300759	4.488138204399359	1.462471933324882	15.218313526662055
1.663583176901902	1.4868322778060892	2.905121763852163	7.134187382607405
3.886072492152581	4.874874704077376	4.7069858631164285	88.74497289005173
4.919472173930697	2.66483147289872	1.5676070092223844	20.400432711312508
2.5604344843579283	3.871786704226691	1.1031368350531765	10.95594927566186
2.452532670082036	1.1398721715498596	1.981941504697113	5.516966215407938
2.522558139662796	4.448458081609212	2.341578082000197	26.14953455998068
1.5350217374781767	4.696917890328594	1.0704906133873844	7.696134226653076
4.696068227247799	2.392593316142773	1.5820999170904693	18.025547538040694
2.221449192013001	2.259413218168928	2.461279146699196	12.386159507043415
3.0035005993127983	3.7351143762386143	4.240187149512971	47.19242542022374
4.241915931650099	1.434758438525766	2.6513732280596947	16.072991163717802
1.015899809953816	1.5511073377800293	3.4909004614562966	5.49953406643155
2.9606934761486503	1.2344064379820143	4.7293015184363245	17.416077774722105
3.818106992726282	1.6997854191942812	3.4489887533066064	22.16253757795002
1.478204847760725	4.250746292414373	2.2019182059304607	13.67466079412367
2.282542760128581	3.937188939695473	3.8565975850190384	34.81108257438759
4.386089168659232	2.0109281002561445	1.2408514208067525	10.748400909705826
1.2874437862669734	2.522194516604414	3.8616954621259274	12.573455661593018
2.012648844794767	3.5123010231994094	1.676196347537044	11.787308282406856
1.5647359929476896	4.807689665569193	2.187828236868881	16.277462553024943
2.6726826650667066	1.3875354851909818	1.4260263614487982	5.245050922197193
1.405474904832916	3.924627766516685	2.524443769435661	13.880658826219591
3.951419563090264	3.720386260223332	3.199086240619839	47.15031060653051
1.1466987175402426	1.4804543947218511	4.048002080241075	6.873457176640147
4.538463763600639	2.024601210733927	2.796479019402377	25.587174126722317
1.1543575469113256	4.443402140414252	2.768363263886928	14.489711448493624
1.8020488605114164	3.5050500983762087	2.8506890364716035	18.038499853436527
3.622968501314853	4.915191203169169	4.520997154975594	79.7203321994523
1.0130118926666674	4.96925757576969	4.9706983391118165	25.121813136101423
2.9437475365809345	3.056403114410688	2.351380670184684	20.954514084936896
2.185313994080078	4.5563055525030025	4.382668119037114	43.4627909344313
