Y	A	d	x	target
1.6568889703846192	1.4934622183428354	4.971296911135468	3.923103738274712	1.9513808642799513
3.0772979777167624	1.5396447281792138	1.52146030715801	3.73813507254744	11.563323544357775
2.157734160716568	2.5040384573478915	2.7034583752859915	4.1450415902204645	8.393492455521072
4.553089446986318	4.835349382287812	3.6313380652858354	3.1096313636555744	18.879872251379574
2.10882365667678	3.423172009002092	3.770394987475728	2.8271749297273625	5.33294901055369
4.857791998562246	4.014699726248482	2.739360475215716	3.8310571374855513	27.16194501451603
1.7850277313357088	2.496476956380352	1.8746861169624085	1.499133546441164	3.5541224912647986
3.3914241497069337	3.085772178388531	1.1697073317093314	3.9569828038510426	35.517587149685575
2.0434395419860287	1.6408449096794269	3.4832578877468934	1.4759702832627717	1.4043364994474437
1.5693821238572565	3.666228371273075	2.5947338484158715	4.994419706504886	11.03855672915053
3.306445216167325	3.9309950266805087	2.5800160132579744	2.5323015808669367	12.619250461400425
1.9011046758661792	3.541028238124252	2.8448294196310897	3.3331922831143213	8.08548112624584
1.8269811242649725	2.014170372016608	2.7580524289920296	3.104140255746441	4.178579844609914
2.907938914724004	4.343329800415078	2.0695480958406702	3.5213931568667136	21.66294734254563
4.9496793204743135	4.17248056172071	3.704770670991478	2.3217166091092087	13.135991380296586
3.1184517696583085	1.4497847551117866	4.835650102663252	2.4983262794928054	2.3449331419091033
3.901183226468055	2.5309459781651453	2.8631452770735915	2.5551062363883394	8.821611293109953
1.4758832010435938	4.0298939322796015	3.273839322921607	3.314905125604988	6.0063068246834295
1.6649673560650076	3.913667339603824	1.8569291519588231	1.2171301963542571	4.2514161341922705
2.9290171409988752	1.0022699992094442	4.3604536721369165	3.2182893768820886	2.161544953146946
3.4514464950934265	1.2934727818637644	4.429504067534238	3.6716751540414703	3.7523667568084096
4.515446672100385	3.13839034471388	4.831890305583731	1.8719857229586088	5.4579607847212355
3.01535537220208	1.8099051068960383	4.897448034561744	4.543215206971546	5.128745435516863
4.931304901113535	3.7700756954097217	2.1769120377104376	1.0360494148793844	8.83026548168719
1.3003469890559711	2.7547219619050614	3.48989370144113	2.1838873860641907	2.218899846479997
3.194028312097261	2.8484198355319648	4.861727192301486	2.569099635922912	4.756468908538391
2.0607143311922926	1.9409224831430576	4.563722047830679	2.0066433881925887	1.7488843332751665
3.0523980992699986	2.796483951462934	4.779670349443072	3.0137685812126307	5.417928504424062
4.740106870588561	3.2012140458596234	2.85402205331166	4.984626023264963	27.00846167992723
4.539696343206009	3.400600286306548	4.252105060367764	2.198391327279959	7.856084673161739
4.868800435658013	4.240794955244681	2.267421705615672	3.951162297554685	35.95005143574725
3.711867077576113	3.894408612924083	4.469360705761512	2.649556881527705	8.605317635625953
1.37214908145148	4.784315261454592	3.5763773989654952	3.1008524325546087	5.710066997862297
4.067469755341795	1.3860491750381048	3.3632874026989	1.6101359910834416	2.7365231667854544
4.791421348562947	3.107821799008537	1.785309937405284	1.9650811667761463	16.463659028231348
4.969199272548557	3.948588251806456	2.5132650689646083	2.7457171189094343	21.531660062420947
4.114173076561812	1.46701653216281	4.080391788269009	3.5617965520480426	5.10314649190466
2.2773007587158856	3.8266468389611727	1.754808511781241	4.780865779723767	23.960132391602304
2.80378773254594	4.637333322485116	2.9528293329583915	2.80785761300188	12.407820023509377
1.1239615738165276	4.168346731760838	4.275476260178404	1.513203171674241	1.671488216412152
2.7926201159735435	2.1501398116230845	3.2902486978490773	2.8249536635265304	5.194587992116652
4.594878580544967	1.9719955883654248	2.206063667889388	2.7522618572311144	11.53577189231752
1.8239653691877136	4.875534091307664	2.9103177790660686	1.0411994043456256	3.163524109131393
3.0423121264389827	2.2313687519171155	4.9330023950547215	2.156842589971704	2.8897662513062228
2.0872496425858733	3.731734281320534	1.0273505020678309	4.209871237923147	32.24768344090502
3.776910905872711	2.228964518341729	3.725843515065956	1.2159735172321249	2.7017704105707643
3.7744479564097992	3.9137088341603015	2.5488462564547616	1.8564138207621423	10.840215043955498
1.0469103726513185	1.2392342898553887	3.5882127515052	3.6662789515235046	1.3355795513226032
1.4226022627680126	2.980934964961456	4.299983098472318	3.588292852464392	3.5075167876128233
1.1951475385448669	3.13335145543059	1.3689711165119731	3.5265962587564417	9.643824431352037
4.668882850942596	3.6819612045930175	2.867612669226628	4.471101009184755	26.925813572453208
4.2731927424415925	2.1522317076514987	1.4508408067506475	2.1310101013074543	13.503607335765889
2.4828246683375683	3.8359247526512097	1.305957858510987	3.5770196477279788	26.256517843080395
3.707519162833587	1.0142499732085648	3.2603959734531824	1.0506170018203744	1.1879403395802277
3.5698553540164286	2.0391248671632107	4.298851754605348	4.2151195303278834	7.15450296883268
