m	q	h	n	epsilon	target
2.990084395281265	2.776596053594621	2.416929359726004	3.5483133996684257	3.35650693777758	-0.026810030747533284
2.3470007391706544	4.387339454905522	2.767251000515393	3.2826321840314985	2.9379544577599974	-0.15261475327510393
4.0118012667809335	2.8635654904765158	3.5172173667871434	4.228316044110912	1.2463583526525488	-0.0981428684814307
3.5190698050297606	4.5279918532110495	4.475110427860849	3.364513755623044	1.5017240384783632	-0.3616829590640032
2.9089185446516987	1.262979400054021	2.8514285390858607	3.797318814504071	1.084109300708035	-0.0067143100901815925
4.617891948197906	1.6307917535896106	3.879833786869791	4.897679298104961	4.556935641745584	-0.000544496493492466
3.6981009405132212	2.744092924873924	1.4750033850478168	2.564802054303871	4.457903884390517	-0.0921571190299778
4.963533217955337	2.2615530063112868	3.2010926141283016	3.9327031521065265	1.2178679931002638	-0.06904763144593266
2.5434401112999763	3.635886197083148	2.365856358860998	3.0312054886782223	2.898153874088337	-0.12862407678759838
4.4337201035839024	3.1251402849443566	1.4823698056010135	1.5823694526787118	3.321401993804704	-0.8709326455368058
4.507570486140627	3.995760129825624	3.903983809380205	4.51173838590138	2.2344653488306427	-0.09272548079787034
1.062885409618001	2.657066924273789	2.186875231021698	3.572380779142042	1.4297881483196282	-0.053076166321464086
4.342189660104406	2.4266939848309046	1.0447378923352484	1.0686636346878502	3.572185892054573	-1.1833521352682486
2.611412561646967	3.3100475341676234	2.7978780864643022	2.073054859117624	4.152783914792545	-0.06754055003391525
4.5356209494620385	3.3206400331022037	4.745005547555037	2.5638862345372946	3.136097804488487	-0.047356960016134514
4.2127476009024205	2.5445064509516504	4.212809577175148	2.908412500278473	3.1533311041795136	-0.014787503668440515
3.4332090962292883	1.395644621220093	3.8106256471593207	2.1211998297958456	2.9773449045288123	-0.002811225073360497
2.257203258352978	1.414489696622777	4.144461045352449	1.264173302858989	3.676436652394461	-0.003044221910920717
3.6820342928593552	1.6030469817088937	2.4570158430088567	1.716254072092703	3.4889339618604733	-0.014041654129934677
2.5082108427011627	4.6772574126005795	1.792622491343718	1.3582895481049628	1.2497489394358126	-16.204334072843373
4.063170871502768	3.969880772293181	2.5195941613187083	3.4530130086944046	3.7377473859469417	-0.11929093595557685
1.8998252842039183	4.612081585941066	3.4822362201587023	2.713128382499133	3.8534835735255033	-0.0810676214330926
1.9712466120151813	4.01095818366894	4.999990369950349	2.824555492753457	2.5273731471184875	-0.05005716128458062
3.4335072161255877	2.746870009250281	4.779508043963141	2.884107764109473	2.4588593793907707	-0.021268833052642943
3.2628949350568823	4.799405773204484	3.180775699062526	4.061495932623695	1.0126757767276655	-1.2643985899019774
3.73873800027706	1.2348826030713502	2.767136533505472	3.53742809136606	1.8420068654025816	-0.003342864925236025
3.2180593974595166	4.043090652181161	3.5692340471222	4.411271232716041	1.6045341287087949	-0.16841566674728692
3.8279700370614247	2.3263875714664257	3.5393203985403185	1.7498839673787432	4.134903071703171	-0.021370657756332533
1.2452475069102211	4.533520099673806	2.130611457766576	4.196836554742337	3.857672681953359	-0.05525918769197038
3.0562955413280597	1.450252048847812	2.668466647692912	1.055994800736988	2.286056270853549	-0.040724743826066036
3.5821020683826013	1.1525273329840011	3.7437941420629937	2.7447062900126107	4.278092513347447	-0.00040882447223390315
4.093155273597093	2.8308261060137734	2.218068145582781	4.950357616873383	2.7706054269942224	-0.035501665091841404
2.9992881831987948	3.0163795661868837	1.5706604044660764	3.939966594764012	1.2232464173972881	-0.5416198773332194
1.4082371036363797	2.901646373380128	1.279840354032125	1.2049341680243135	4.377338298881321	-0.2738452843875169
3.8656995145981137	3.8799025435795738	4.80357138052916	1.2865833810278922	4.202492436998419	-0.1623316193176457
2.8790664738519167	3.5078135790893423	2.410650636322369	3.5805997831697898	3.31749763025986	-0.06645174209257096
2.0954653244206023	1.3628644557248408	4.029853940348288	2.1499779202087512	2.467636715232441	-0.001976933651086088
1.4505472777444297	3.910730574033368	2.590014872249621	1.4277328747620794	4.513878316285794	-0.15222127611875064
4.3404957619500335	3.2249156276668347	2.672420014789853	1.2812164534446595	3.541855416985105	-0.3990310338440802
1.2672940046494885	3.32945907264037	2.9721978011813794	4.412532369893467	2.5420819774130483	-0.01751345323491241
3.4550041317797113	1.3624148404863008	3.2490585353019656	2.3626109043123327	3.4564687754166195	-0.00211364132384543
2.8649643256281263	3.1828945852992585	4.044560106283517	3.781171461512764	1.021220889087489	-0.1506896913080029
1.0538040216311404	3.875130326562272	2.0561764595814824	1.6407119045881997	1.6150856434778578	-1.0005495006411564
3.3288597499743484	2.6362153771514127	1.4160582536315922	1.1775231788904192	1.1462415589986472	-5.501430071739292
3.517812450293825	1.716336117145679	4.214765309313386	2.4078279700412875	1.3957185446334155	-0.01901948088199505
1.9180302988259927	1.1386422727132235	1.62462099174018	4.015402319696927	1.0703820626900349	-0.00826560775319835
4.751671624755744	2.89717134070768	2.847428354765936	4.454316859328385	2.5838240388533653	-0.03896363444592221
4.5547669352401785	3.604644097016133	2.034591334037487	4.890485380757607	2.7327317682703174	-0.13000899935488858
2.309285765132975	1.3539396207356496	3.2468167452799874	3.206974061682246	2.092009855035915	-0.0020443298955752686
4.392551442097013	3.050206153095425	3.9148645556993946	3.1686039873994303	1.1303979968407418	-0.2417193796688465
4.641870073260749	2.1068669951597934	3.354270921270328	3.4687311008427697	4.4670278705644835	-0.00423230156833662
1.316371134722623	2.9248378603232554	2.5698183885881445	3.3926864948567603	1.7502839724950812	-0.05171138740242018
4.40194556589657	2.4159976464824284	4.403724696594012	2.273271079781994	3.641889524115971	-0.01410406815846412
3.579655248655817	2.108508870578379	1.2765313316350708	3.0455022706416788	2.361125129485292	-0.10496249018152433
4.242780060344361	3.7619402032552385	3.875532724653047	3.4241643825480086	2.8527907730358435	-0.07411331076012995
4.686305664140394	2.872542889731744	2.7984285441001	3.3287100291823126	2.1547716930827256	-0.09899740622982768
4.239461238991428	1.769961401794219	3.3249384875705927	2.1367372310988704	1.0527744000691772	-0.09296848801641157
3.9214538331732096	1.5612778305750514	3.0757378935610484	4.8338137150329805	3.4641770538871235	-0.0010979922236571515
2.1175686101059363	2.1676220944544258	4.733156534125597	3.4944971109504133	3.352643435852197	-0.0019003602541312122
1.0400709041290663	2.9061559510847554	3.284570845473332	2.7757521016851068	3.505827113186962	-0.009077139518035588
2.6240281615665544	2.8048969059131803	1.204487890581217	2.1922298193389467	3.742438651795208	-0.2079024946157322
3.7666107532226514	4.488195499969511	1.12806561681567	4.875803421541857	2.5771659976259915	-0.9508279362637876
1.9321011447930747	4.1627252218921855	1.7011551855320906	4.183981025033039	4.454686961926381	-0.0721355234378112
