rho_c_0	v	c	target
3.1302660554571067	1.533413054427032	3.416951797251897	5.371225394122258
3.0121272643523453	1.0360059604320444	3.4423646154226786	3.272293485016544
3.234014650586351	1.4796588147432723	6.4664050646796385	4.915659741724856
1.012002787632185	1.8410339745712911	7.744456652410967	1.9181181378204155
4.405355329582333	1.2515930988449062	3.0594694157462348	6.042458851156982
2.692216252704442	1.9175866513713635	3.342073798028717	6.303370772120463
1.4071957221999614	1.899842397558792	3.0143000053439986	3.443522385166793
2.643707509695199	1.5538206848640987	5.1458825302711695	4.308980078081904
4.894252246170359	1.4804861663132225	8.610212441906762	7.3554208043124065
4.099579575095845	1.3159367540579767	4.42774823134036	5.650089279336132
2.833417800715404	1.3010859808009605	3.3435020427172963	4.001957762231243
1.7947552297497626	1.5031262119094366	9.101129960191004	2.7353073634498513
1.7660408334934703	1.7874455855678617	4.234567220169372	3.4821220254309977
3.4144433159549927	1.0951388641970603	4.249943809825227	3.8699808578299786
1.9842289605427963	1.688394040226548	4.8661247062040704	3.5720693475448506
2.4671732615741364	1.8179031133818693	5.6856377231022215	4.733562420294684
4.672316138859982	1.3788789213242234	5.225563085499941	6.6792871991673515
4.080785769127463	1.589403126718434	8.440319072777235	6.604165560436536
2.870337659552237	1.6865542484072278	6.597435201144469	5.007361728364805
2.6751993727362637	1.1394853751917873	8.510376983054853	3.076048198436818
1.9604364108864367	1.2258624984591222	7.1966442006030515	2.438867868654671
2.1878082761071016	1.3337018387872457	5.391087330296056	3.011493327693063
1.709041633427932	1.090238296503416	9.262072396051014	1.8763066931427912
2.929062540630616	1.5699543954524076	4.200763892826979	4.957746502335505
2.4281371094566744	1.201105972232553	7.267163508441597	2.957119444562522
2.6182768049583522	1.8025997855094655	3.452643166348417	5.5337876404155635
2.96684955136941	1.0872954573927731	8.10373647349968	3.2552761053497523
3.487380259423372	1.913601995507276	8.172582271246464	6.864279846310407
1.5605236510706946	1.096428805748001	4.4055118351695794	1.7665884306784825
1.5911084551592525	1.0340480457390608	6.495888964730161	1.6665329300816336
4.312895596131379	1.6096708928498584	9.504360900280961	7.044101364469568
1.9556830259709672	1.7730102912386156	4.850705009981247	3.7252119611919867
2.670434078737982	1.0467956030721552	7.670594351884082	2.821798293388136
4.452744235198962	1.7132567550827933	4.8010732888952505	8.166348607998518
2.8474556754931024	1.512216825851877	9.77090123792135	4.358486050020302
3.5715181015340547	1.418334024547197	6.27465716968479	5.200199110754633
1.9085483315381917	1.2183277889092738	3.3798586724423267	2.492825287956374
1.620822575766984	1.880712551144548	4.253304645671573	3.3986023736603683
4.0446270144633445	1.0076010195164984	5.632843143411321	4.142179676009139
4.585481569160186	1.5548376737657152	4.420875912526324	7.616272168254009
4.490565808855717	1.2666859578619514	3.727923148145912	6.047968010783565
2.738434151133911	1.7715861050920625	9.761184545442793	4.933302968083781
3.1774044942313777	1.0197142858583224	5.926765264757532	3.289092370882685
4.139789582986554	1.4370025000095639	8.377151040232762	6.038392373566182
3.250595472853912	1.943210455051668	3.1810498669129457	7.97821060616332
