n_rho	p_d	Ef	kb	T	target
2.4226318584355613	1.5409660743988924	3.676636552067981	3.4413643638926916	3.1469249358465388	0.6510074879548969
3.2979504083007143	3.3359930312835497	2.6333817696889716	2.8771798177185035	3.0608393603773063	3.6583008470898224
1.688748783804051	2.8088772651224496	3.591187467359522	3.3879978978269114	4.495555500168623	1.0471789447374191
2.071080906662202	4.885161805403446	4.361149803789912	1.7421568527078044	1.074912963828087	38.368442187591725
2.659542594175814	2.4565016790745564	2.8138494188543626	1.5739516995073335	2.038353663209694	4.6919107231162895
2.243478720733957	1.1875856480832658	3.0695788615594686	3.825136082761585	4.835249206783642	0.17504254694679527
4.173240375877842	1.037084478234943	2.473775106013409	3.8621182105000313	2.9118729070735108	0.32911119183375204
3.0900576065773118	1.054530972109167	4.830698858359641	4.5957082611210485	1.0904967156526304	1.1040713793125383
1.1292790817959588	2.6272031875403923	4.179276666239741	1.276111556995868	1.3523717684421903	6.2919279078453
1.9685933107123723	1.4232006932661443	3.112820350032809	1.3854664862485704	3.960338674870584	0.7540371595604783
3.7645835847717786	1.12145916911179	2.5905331631924944	3.116703146108184	3.180185383427621	0.41248095529202217
2.5384917424650952	1.5564466549027225	4.760782842097142	4.638244445346674	2.609639497036816	0.8062453135370118
1.0500481806894366	4.130696453037183	4.654404377267122	4.425025180471192	1.1989656829259507	5.239334768893407
1.9751220580777822	1.6417938045165164	1.3288567677107248	1.484843432088661	3.45095120886294	0.4602232983548834
1.3039929182971868	2.594358633724477	2.9349960945726887	2.4277485270128696	1.513087119437178	2.33751224361032
2.0698862548693846	4.418146440816991	1.5876612451684418	4.564771087742028	1.7417689988681966	2.6893896107124458
4.484433938655412	4.903277245786752	2.622705333906864	2.309679968375622	1.9539139951471505	20.885819700058708
3.870944061849472	3.0044556493693872	4.531052843317216	4.7266486154216025	4.657994432974848	2.3970333709902683
4.11772368621938	3.1256250656502527	3.6634033498190384	4.055537293191917	4.680706353267798	2.587823488474989
4.010061722166428	3.8251806678421585	4.2059807100848685	2.0706310656908435	2.1691494694898474	18.31507827617362
4.898670721569138	2.3873803898712547	4.169255557441252	3.0239422067049313	2.7423896478341647	4.67903298258621
4.0171846972046	3.8454474060893866	3.3287489380196686	2.5510372162065096	4.457252833922013	5.796839465912014
4.430165159690904	4.324382178648212	1.9266762890621525	4.162697125107494	3.577980672326666	3.572257442950604
2.120426575494284	1.5463355059060735	1.2011525656815478	2.439375151092317	3.6290304845402748	0.2293181350929003
2.036332186904852	4.063941501587607	1.0439248710204807	2.2600971406225554	1.5993985063661529	3.2374846618672763
3.4029349710575376	4.749728232436558	3.725301298462581	3.2259741858469955	1.7752159244531571	16.646358685204802
4.403534292822757	4.48213668036666	2.098922581377866	1.1575478222891509	3.8240651822842096	13.982425414561794
3.0092783644860184	1.518037234528344	3.4389886319596576	3.46991081291785	1.177752638716521	1.9452001671547419
1.9570757190559085	1.6857088701101277	2.164484148366357	1.8706073306279276	1.9250896617056248	1.1142235518589911
4.133673014950551	1.2514105006944138	1.6594123064181123	3.608025028965401	3.7184911369186056	0.2668901028432697
2.065344833582456	3.2374047271331623	2.0464231132034665	3.498024023471248	3.3971608390208377	1.2425728106138625
3.1383471421755673	4.062872686559468	4.503174086968839	1.044948173136818	1.3414320723071549	55.475529071537046
1.6737571052261533	3.3593541822209785	1.377938533057824	2.2996971457586604	3.4185826636091208	1.1035598237153637
3.5180249572454416	3.6428639407021435	1.5175735148392175	3.092158461430224	1.8074691578607875	4.225524892012385
2.852809732992021	2.49603471168122	1.871949791870985	2.8600186740112634	2.5445349181963204	1.523946449953555
4.778939562345932	1.9483689324335671	3.8579784848573193	3.4543976926326234	2.229749344147876	3.0288941536197456
1.3427680487631926	1.2251571277455002	2.0362053857157134	1.429434874992631	3.827031390801937	0.2500682239065943
1.3333247854576202	1.0738753405596602	3.697112488520915	3.254011356843109	1.1057707252582496	0.5266243662346911
