E_n	d	k	h	target
2.9201044955834394	1.4369258962968323	2.160163203139294	3.775787905791331	43.346693325688705
1.4211884958257983	1.6526915575665275	1.3910903047386318	2.985037893290196	22.73268006016341
3.2105191164063624	1.5758473319671755	2.4158331763688787	4.720367644902102	51.274864565059254
1.0169100227105847	3.2143092243661218	3.9423484744782926	2.0937545207090578	248.5976099878957
3.2278014608595686	1.5394269614826932	4.672399729936731	2.338073590810626	192.09526880216163
4.36866976506332	2.4823583438777472	1.9031880749450365	1.1653214807849075	552.489446071714
2.316567223422982	3.670084117574109	4.447096489496292	2.6745922160573787	651.9672553987991
4.519501013001378	3.933738546934385	1.7827498814277551	2.7585508362307394	567.9639350581426
1.0679281634799058	4.095847745838993	2.6986597773969367	3.64351264713542	166.75058542527447
4.681699031706857	4.931848802783785	4.46772837375758	2.002403528970396	3192.772852775585
2.9964196139257213	2.7451015102575647	3.322703839963172	1.6011405168728756	588.8321286755332
2.9335850346282233	4.576947908150422	4.637224907996455	4.487875568638991	797.9539657774858
2.8117012913100425	4.686201383071957	2.2091119088474587	2.6633868106400707	643.5827752927839
3.094433412820837	4.873115382124322	3.036285484145165	1.5217949794294747	1842.4293824726944
4.0610168799703965	4.900703094819208	1.7581386956168992	1.0057921128782563	2142.428561600116
1.6339952423810122	2.7573631929255487	4.832145220142487	1.3534403292491095	557.3775396194139
4.189986810294136	4.509162866156272	3.954075171854301	2.5413279815751872	1665.7068309394697
4.4572209753140255	4.681372373889003	3.2487894098885466	1.4000374863853833	2848.408690101032
3.4391379097773145	2.2435740213452857	4.2738572484181185	2.464242062934915	377.29140036883246
4.863138088560418	4.654105301097358	3.0917997603764804	1.4622050185767628	2798.9939831111824
4.031131719013004	2.3611586526480517	2.1785637952557217	1.1527822482490162	533.7159649589562
2.1951710771191326	3.4553672562159115	4.469885668049685	2.2733983736856582	647.5712103404269
1.8843273407120429	2.7676772244666106	3.6875244843650483	1.0806377788329171	618.9447160774299
3.5909058638075426	4.887587831891653	3.870224041394584	3.139307079320869	1328.9399005553055
3.7623623280938494	2.5252937650976786	3.4325028769943686	1.1094575684941843	932.8128217570372
4.507969829414401	3.8457388349283943	2.9973329801306665	2.255461183289795	1113.3970738544363
1.868854454408176	2.9368337797845303	1.9941208186880992	4.0941479121430895	98.65793399023052
4.878145796994397	3.2020512144231343	3.6684887366098686	2.839953731007945	811.8898527522035
2.42934909115327	4.237096793806997	4.609518977173976	1.957694646354903	1290.46792655835
2.9002167046779035	1.038359007959185	1.0318195874843108	4.183387809852799	9.69194687226527
3.402151405111226	3.048100546811654	2.5594453278894598	1.0925783438115526	930.4977937759672
1.7148305215643371	3.7810852307336473	3.4852895537942667	2.8782498995010384	373.0562920611277
4.090413119475332	1.9950636446986003	3.2447508274057473	4.816526233398824	137.82816302957053
2.428898293855689	1.2859447418571408	3.79611220482348	2.2123443912848084	86.60642560417946
4.427104632070793	4.369180520074553	3.0183157103719918	2.165447080262071	1480.2896998388846
2.64235796338363	3.4974354821893656	1.8978997300691172	2.9142807441435195	264.51043907521597
1.6968479972859876	3.4482451651467985	2.6439090974787702	4.1466249423658885	161.65935424070602
3.245679902130844	1.1443496610437327	3.3882520753658047	1.7975095397565752	100.67868860645143
1.320769625859712	4.387228480592632	2.2055854389090093	3.442576763965488	204.67165176438957
2.463639666307023	1.7192016968382116	3.6451837892396113	4.149550322377026	80.38205569966966
1.0390587341958222	4.761753883179101	1.0840681960789675	3.2594829172725155	98.46723542653112
3.8644974025997127	3.714311964744716	4.43400552481836	1.8854723563574731	1575.5627293616008
1.9758130356863373	4.3547931357629235	4.590072409248958	3.6356779764509914	594.463093395287
3.5505901471561563	4.690005286318477	1.4095854426485317	2.5266668930121576	547.5206307795812
3.824207177273451	1.2583415943222929	4.6133073632979205	4.468502797099767	78.55950485652635
3.96372328354874	2.826922183014944	1.2604308767041266	3.4372715861439684	145.96411044466905
3.642572475748473	3.246430589227588	3.9812401023736537	4.05556860112179	473.5838973815879
2.5202657618447097	3.923764542451065	1.0466576041964704	1.6389574730529564	311.38596106786565
1.4240066781332483	1.451573608005889	4.645771327663841	1.811640660176292	96.69094099818642
3.549228115775011	3.7700635217682494	2.3019256069866594	1.8484410239674618	789.4539428135391
2.0896310171710075	3.877777862263649	3.614620881964134	3.283460070434685	434.6866855564276
3.608986151395128	3.8135398472679625	2.6568549364965826	4.647151384890653	377.07928885487433
1.113099267167589	1.8848648138502355	4.058780975495543	2.994747204898632	67.3503137323606
4.785238401973112	1.9950558300233625	2.629605303304377	3.920662621740644	160.52942317289478
4.045872953344912	4.212658985179564	1.160729109568675	3.7549753693033554	278.9064111999644
1.320468980108851	4.567071181944272	4.676632715870322	4.117833613934652	393.07742061507173
1.4386192746542616	3.700831425058079	2.538347922556362	2.5372009096829222	247.71404764084758
3.7403906427796723	3.0293648829691047	4.2932497678781	2.9216656510286425	633.8487520573332
2.990082791312982	3.4382519659432003	1.8210039396780997	3.6977574726332634	218.74641264668116
2.712927171345914	1.9861746388369448	2.7761710760567477	1.823383404898296	204.76281473981206
2.4309811597187165	4.79546394663971	4.199736897775098	3.902454295929718	756.0264258010992
4.990580368957218	4.562091345827384	1.2125220464337017	2.50510224199742	631.7613597515319
2.03365065726194	1.9238256023917943	3.834761623752711	1.9722029957478604	183.90958903865246
4.492237265364539	3.4634641754957025	3.3417788220576434	2.8194706487283776	802.6090908519914
4.519885291360497	1.9403464359567684	4.571296365562388	4.300501198718276	227.3087411931715
2.46445491749018	1.585688348986123	3.815421103853712	2.7951121657844658	106.29422000801101
3.059214326709426	3.720359777429808	3.3962898824292784	3.5997679396865374	502.0187012646352
3.246877905056293	1.7117734650218752	3.8332635861749473	1.4247145455575527	321.66901338386583
1.3779885556837728	2.376498751878084	1.9620103209701432	2.1286829863415604	90.14070583059313
1.0893385846373702	4.2583983312214135	1.8399228490693789	3.7519988402659363	121.7312927016025
3.638744112524445	2.9303795310650216	3.0513773592762057	1.2958327631211568	924.604679816234
3.354265712742997	1.0334332502199857	2.3459205763747817	3.7968620759720784	27.81382202622408
1.730540753210736	2.974870153596465	1.9455343074907316	3.958416211804068	94.58998597490532
1.0443862426862944	1.8063792468988105	4.895614944338829	1.157754048629664	181.08389196987468
1.9234522512047685	4.63004705640162	1.285851960319353	2.081159040743043	320.1457823650232
1.3321643161630838	2.0617891451723134	3.59723708168978	2.04498151587316	125.18025525003851
2.6097142236396405	3.497366899528921	4.849045735594743	2.190081972480191	888.1393602512497
3.690192843714863	1.1143258094673405	1.0658693773525152	4.9078286667039785	12.505408918390565
2.743270296729675	2.6339518388906127	1.2922070677314628	2.8608603109705664	108.02632054253695
2.1300800960681268	2.8865298604454988	4.917189652443355	3.32634851151962	329.69101894160457
2.675576056200636	1.6642013290548574	2.7590770930747386	1.1995607306600171	214.1807767717561
3.3180045623805783	2.6968506533977203	2.5632104100866	2.789201849626441	278.6794533524389
3.4985335822309973	4.452646703435658	1.477484963978971	1.6305664123257015	789.7996979786283
4.414895906347195	1.8773167991491748	2.8115976613918607	2.4160389684766863	227.5384020805717
4.630630868094651	4.9935185377339675	3.0768120326192183	4.3922197557101565	1016.4365273027628
3.8112473298693272	4.235456825109616	1.5340610980771752	2.658464810484144	495.7802887510673
2.2517993329694383	4.8779732687919415	1.1091196010060258	4.499757155394013	165.9616280484697
