epsilon	p_d	r	x	y	z	target
2.1346326174795616	1.413125189921996	2.4274321231592433	2.812113995491789	1.4935049348157912	2.6388474234349237	0.015755618209356934
1.7114735936741827	2.7168125824482487	1.034421560985127	2.08206676899717	2.987787558710621	1.8100208812194507	2.1091094717501275
1.0487269275249007	2.5699269829154714	1.5920673729148729	1.130026764612013	1.4161340648805814	1.3447001243834362	0.139342464945387
1.8119590353866832	1.8031635865811224	2.3933362683285546	2.978901459887497	1.5585075900336884	2.44474858106419	0.0248660472437198
2.814262063781465	1.845679329768312	1.454242456929851	2.2579276729676065	2.9314790679101503	1.8828244655426911	0.16771010056529054
2.5316369114327997	1.93998416208222	1.4497587465774329	1.6748298661707608	1.9703817957406735	1.1741012687316716	0.08672925342300605
1.66813172714846	2.449855800069096	2.120781700770815	1.7156468108355654	2.2546964535995766	2.611962200213713	0.06047668253009631
1.457051095731792	2.823073927631883	1.0975129634579912	2.237760818097488	2.643030975231848	2.5235735804487107	2.538597377710374
1.4179210982607957	2.56062450580862	2.0245598334539747	1.1900063177123104	1.956173300133481	2.3867141560395653	0.06926777794394343
1.3408591041679945	2.2725611244747164	2.8432416906303084	2.2744136641767256	2.009781442241218	2.438904654593083	0.016119476424803148
1.1203582818768776	1.9715539842090464	1.945666235708584	1.2109979091646943	1.1779450831378853	1.7705975640036016	0.045068555427754335
1.9151781518010809	2.008735631954887	2.9383785479908937	1.3882312513252848	2.8865604635220783	1.4053414811056772	0.005145522540552129
1.6150824104735633	1.7007202619076776	1.1539561061214414	2.3552629574079287	1.9228400879472711	2.4007396683908464	0.8967920428342688
2.5600374722872026	1.4306789368806263	2.0891881239701107	1.638913048557725	1.8312367309344482	1.900998374619366	0.01566031349271343
1.3203781828477517	1.2066514294744943	2.6067473167177866	2.546889903670789	2.160401642735273	2.5494747628496173	0.015433553147229953
2.8621784780558372	1.9364492999279412	2.1697045986168786	1.5803298006551392	2.3205707607489066	1.3848755590856083	0.013060513520656456
