I_0	q	Volt	kb	T	target
4.66245443714065	1.6970346856923904	1.631402769714013	1.3856344353151735	1.7686536669527988	9.766472960282456
4.75115324145688	1.9044791800406464	1.430798937731674	1.0873464127634782	1.1280670565121451	39.06122656943637
4.651795274787694	1.832102833133796	1.9946213977105345	1.804288771543864	1.5873177544949506	12.011743702746415
2.892916128343402	1.2667883944243554	1.403955978754766	1.7391955332281033	1.4682224423034935	2.9123119375119533
4.8011921073973705	1.269031853624854	1.3858317186705156	1.6019860691926715	1.2202879227573773	7.003418547251835
4.744438600000613	1.0998271460790785	1.271755836816073	1.5456870617376899	1.8949107655122748	2.9041566276130624
3.2307752506088616	1.7068316214419086	1.5052550015969102	1.6445253272584022	1.3155815516213756	7.362783860342602
4.366398225265133	1.7023549027719231	1.5715996607870701	1.5780269539642306	1.6603835451460425	7.755827730641779
1.7258601442247783	1.2736901626678423	1.777831467719781	1.6962901236505084	1.0017065816194828	4.816959787496913
4.093004112276692	1.2850214607745865	1.9232954917014105	1.6691251304297114	1.7861064433222529	5.284277838936352
2.4183769606014547	1.4235838997329988	1.3436220896927469	1.1399525175852316	1.5795781556087498	4.577775088651856
2.4100920547101343	1.6778644282971522	1.7454894474726947	1.8361477407024267	1.3001192116289941	5.809263947642888
2.8857025598693733	1.8731471629202938	1.6371181761119378	1.798718484667415	1.682999764342996	5.061001570589914
1.77969498587919	1.1619727915507274	1.367874981741208	1.1621146755510143	1.1206103437504755	4.251497298266279
2.309810788233419	1.3661099305004267	1.5081319763510919	1.1187897163349318	1.935588731270517	3.671060546718588
3.458415656052996	1.7138783356635618	1.168431466789956	1.9049779655988028	1.6137948642869224	3.1755739376250935
3.757884437159445	1.043902177528007	1.6821336910887892	1.143625336538862	1.7078366592878274	5.476364947285281
4.263456125138201	1.1158572462821774	1.925890619783022	1.2487969251070163	1.487373689951854	9.295763866107093
3.6363720363805183	1.6931239272897385	1.2706244679351215	1.1889046456847323	1.2062193700163568	12.663046251644735
1.970478860340408	1.3181976126724222	1.6785786334842037	1.132749031799821	1.6462893893066948	4.484272153168953
3.1231320652364065	1.2629168183777189	1.5382906577559043	1.1016425047720233	1.3143880331536069	8.824297158331088
