rho_c_0	v	c	target
3.5389703446576517	1.924701615352214	3.2250355996572466	4.410536757483303
3.1785608201406186	1.5745772754451584	5.0039387284161485	3.3486665992364784
3.259977032128324	1.544794970631561	3.0342089746759973	3.7876235098204796
3.8655389576538903	1.2618810768845865	9.889286203687515	3.8973978294180696
2.304995214193044	1.5803710206832908	7.3437332860314175	2.3602969505779425
4.989964740562403	1.7215766361750957	5.554798137584704	5.248392069126324
4.48253670543598	1.309270501257278	5.6947607507043125	4.605918246715524
2.195757966788637	1.3158368847630988	5.4867354981646494	2.2617629690449967
2.179481214456716	1.9936807898107418	8.497288435295406	2.2420666433165537
1.9768632823897103	1.1680376873972749	7.581199479414376	2.0007524912113492
4.7252970949797115	1.2483397425481249	5.487933153544098	4.852504997689994
4.007020807028104	1.0149881552212063	6.219749300353995	4.061464745987181
2.6441122038787315	1.5720156968178634	8.945388774937806	2.6859115595711907
3.979933175268286	1.904877698008012	8.771072588253237	4.0772482106464
3.1178954165874933	1.2854596550655593	8.898795170674116	3.1509436796290267
3.3245427480198346	1.0895248226331309	7.782128724931681	3.3576118109888387
4.472415469098584	1.279726154537265	6.36093905836217	4.565770672447359
1.8239234091463536	1.8998897206420116	3.510199118266033	2.169109558042533
4.887357090536074	1.0788527198590765	4.57984521349186	5.0288771480976
2.9964091836092437	1.0913556625488776	7.525583672445066	3.028423217372638
3.803607653851576	1.6132235597817752	5.546712558023257	3.975464040247064
4.226998555804465	1.8793846312062197	4.974503571322542	4.565356190020743
1.0093145966966015	1.2320944001844207	5.271582383491478	1.038065880886618
3.680198659326063	1.9641411177147168	4.276128912872982	4.143120762436423
4.064708273677194	1.6926334339525178	3.599398571692053	4.6057407544801485
3.1762325715434923	1.6048233790546649	6.991381273337168	3.263369444221705
4.5481256866290085	1.236535463326402	7.756057878824867	4.607052172862504
3.0775101827913285	1.6501508177960038	9.283344953219373	3.127312727599194
1.9994488349995903	1.7607653933591625	4.6156960262960585	2.1630165715911387
1.348565339280603	1.8942179536694992	6.129940703040782	1.4179625162135263
3.2118305410040247	1.9773916843554262	7.310193589086731	3.3362022332890917
