n	kb	T	V1	V2	target
1.2326692895137057	1.7429123717639654	4.223684468024025	4.690437241426774	1.4041318066414992	-10.944585007774636
3.729127401090552	1.127807079665664	2.456674437634645	2.8509923870251326	4.737538416780146	5.247175167338368
3.376824613204242	3.6128803676919072	2.6012284245059614	2.3597367122182966	3.8825653171387504	15.802393343015794
2.5498012580144818	2.899277949204063	3.4874067119899563	1.1631507360404458	2.147609817539136	15.809467556583837
3.27258723078233	3.6902451944459664	1.7769226789107535	4.690222092399934	2.671014676119621	-12.082031678622286
1.6980104707090966	3.153232675030983	2.4843032390819286	1.1860867433226243	4.31411039664949	17.175333060903487
1.8822800208202728	4.709575658611842	4.888944200657631	1.0006052926773474	3.9777506076344897	59.81295060197649
4.102022709881048	3.6598581107575066	4.0001614605546205	3.112759874342692	1.913747484721206	-29.212910122623573
2.727347995597221	2.704884087830481	3.060087901991456	3.905960813303497	4.319082305020547	2.2696470550094534
2.4541177423483904	3.434903210430639	3.2590937152818786	2.1436802084105726	3.2998871111973336	11.850886274590392
2.11022184736882	4.2796631741444	3.2192774078630877	2.711247264144702	1.961345062730788	-9.41334157338648
4.274696042556006	2.4804706201428703	4.13242296483832	3.3675823285259616	3.643448560460015	3.44996770410786
2.217722036024176	3.4852912008361963	4.629243746097268	1.2049219112029572	4.2679995458064495	45.25371220542269
4.2283617271143195	2.501522131470576	1.2077029840047069	2.2337197129316606	2.7832737711213875	2.8098270322622803
3.512940851285228	2.4869789442779933	3.5567556970565786	2.572686760708857	1.7758565552576109	-11.518129934937058
1.6901630183583256	2.5035311089293093	3.772119383511359	2.1782051832743794	3.7050053015543303	8.478354312826465
3.8776977690041945	4.126671553500371	4.659111998802121	4.571810231715105	1.2430843984621385	-97.09403814152878
3.0132461802503574	3.0726723518935244	1.3492230765826378	2.3296023588382093	4.698149839455822	8.7628316030319
3.27208885838029	1.0128076614980004	1.2202074647124561	2.8312377077745863	3.7206014197916635	1.1046403605070343
2.917907624463348	3.610292464384272	3.338229216918466	4.260867238395384	2.206621098776893	-23.139968312149893
