sigma	theta	target
1.52299021059762	2.9937500943420066	0.037945169989341616
2.4711416085700346	2.8469634222622293	0.08313679703571322
2.000991305133049	1.4929981590503345	0.15093052025254966
1.7108843008180723	1.194719934080362	0.1827266063421253
1.5779333306642636	1.393568776420428	0.17117977541068002
2.5316585882712173	1.735444057259244	0.1245851109940381
2.999884825488746	2.6011726260197015	0.09131541339917586
2.220025116565049	1.4360373688784909	0.14577825417295018
1.8769334947791472	2.3626476742612272	0.09624653615133172
2.4283315364360907	2.7958407900743056	0.08467478006771086
1.4680160256488333	1.9175106871312129	0.11579671754266795
2.8813119840884984	1.600756819206298	0.1186579080135253
1.6265227502947324	1.1152522636340982	0.1938923239810201
1.3507359521110407	2.2019174952218377	0.07821443306158388
1.1410902384722663	1.4364176795666277	0.15830589612721407
2.449992482647535	2.9844693000304514	0.07753904610895672
2.3449211590558594	2.8216955979794363	0.0824814032661245
1.977067301941036	1.3319902553509737	0.16081468535882798
1.9860646968768525	1.2090995490512273	0.16689218154844268
2.0415436637057995	1.0053510257281528	0.1730981457240502
2.197981069174144	2.72318421521254	0.08424940009445259
1.7141243567795041	2.326817210139462	0.09262838914360996
1.0987802166507123	2.6477610705956094	0.019910005590320433
2.8871342646074853	1.7498988897871732	0.11499312046181374
1.249271680899772	1.2645500425350071	0.19132076556430205
2.0933096169227987	2.2279883236616698	0.10816556078640638
2.5057658846929503	2.1671662536945524	0.10953243324909964
1.6739851010981082	2.1016517349940846	0.10836411248033358
1.8454128525613411	1.2200714879197527	0.17374042629295305
2.3508571099629467	2.0205689206531963	0.11729169906000016
2.620037761732401	2.4876286019752016	0.09701718559499946
1.8417057822307352	2.193411607857909	0.10658287321283746
1.4282081689619557	2.9483969897364486	0.033165712558554716
2.550362043658446	1.7247338668087675	0.12445083302495448
1.6002394533667852	2.194991432098368	0.09731293362603
2.206954918087302	1.9110352765106342	0.12425037557874513
2.502709401122773	1.6166023547811594	0.12938895452597293
2.988951893425368	1.1230444180036905	0.12437569039836575
2.647125217204114	2.881197579554264	0.08334660683110982
1.6222958057874275	2.7046953560996645	0.061264013931366074
1.675886395979156	2.94994523740188	0.050565523461257166
2.853258688885158	2.764853941425229	0.08743177635702369
1.8970626268835125	2.7187893902471294	0.07530450336599907
1.5883943577027575	2.918553526860737	0.04643391170512064
1.5527546235813572	1.3063544861465617	0.1803467594638218
2.5498935801012594	2.6664044620794893	0.09056146323748576
1.8427215104358627	2.471467352243156	0.08807226966229398
1.5170340376857891	1.9077867094220335	0.11926047756530635
1.6822096150306625	1.4762660145571869	0.16136020330624118
1.1675317312956799	1.1426778219529752	0.2116609798426606
2.7110037879961006	1.5867984552674332	0.12398980978692392
2.32702002592744	1.2258972308699625	0.1492262947227959
2.8010591504541065	1.0507794571086704	0.13274837838764322
1.4153688680252925	2.3718644568798406	0.06921976228787849
1.4750504257963946	2.359933815737894	0.07520997518945956
2.2120521104165087	1.1407373651309591	0.1578944914422551
2.186079518235344	1.9057989997709792	0.12479836812463953
1.0282385416450393	2.4935459841763006	0.020501495161055483
1.1137197210413592	1.8221655317190584	0.09394287200082982
2.866678680613472	1.8004904654667104	0.11425391120313345
2.996867515075785	1.179106103302349	0.12320494796847767
1.934081191790072	2.0014216125079267	0.12075460706511396
1.1088137244011018	2.6207014721408037	0.02203025558642069
2.9290590679000075	1.9606103394409733	0.10886521922321836
2.213070845436465	2.7120882536303568	0.0850744875484485
1.1574111220817542	2.053083522292553	0.07147473925573998
2.5011479336446594	2.687292623486534	0.08955686615379163
1.0669537536535745	1.7202827305053594	0.10192154104182537
2.4522180415828423	1.8039662274173391	0.12411837394679108
1.3485972945003195	1.6173813695665802	0.1441109964282262
2.5584827219043564	2.524290109147905	0.09583974333308516
2.998652067021057	2.1489724052793404	0.1029108448856508
1.1273294003368028	2.3317118755088733	0.041676157765808415
1.232793526424089	1.2937375012621573	0.18658303696143566
2.6026884279114446	1.541244441259749	0.12862957931787633
1.182981241995552	2.1083046841628184	0.06890077006277373
2.201567536724793	1.6587857104197632	0.13642822572792246
2.425015061202605	1.0790699982740275	0.149004697635424
1.7309940654780733	1.7196682916598218	0.1407017530413729
1.6646896551037913	2.6955006671330706	0.06460162055775881
1.5264044987798715	1.7050826059039768	0.14004899233268614
2.2792559483394803	1.5592401774740956	0.13851393501408207
1.3856018614725882	1.0160469468966165	0.22004357236874936
1.2413651452094483	2.2556720658762544	0.06166380921717327
2.3691453375635194	1.4160969433176616	0.14084359217936746
1.7103574605503724	2.476945471874027	0.08173381650688333
2.9701472707835768	1.5291167387744955	0.11764610033143615
2.441556289079241	2.8378998354532703	0.08315221565378
1.8406737901078116	1.9300911860253755	0.12507661729067968
2.19533374538248	2.10374946045693	0.11481592388470575
1.3275560183850394	2.4157100931952886	0.057390729468608015
1.8892419827537923	2.99407973284864	0.060149790677813314
2.8949850726474633	1.832269591361219	0.11279232023240685
1.4614445574066808	2.892046740577451	0.038527672614889034
1.050611232059984	2.632701950539543	0.016440309566456673
1.5259833045228433	1.6619457442846168	0.14447554524170164
2.4376050082474654	1.8366466091152387	0.12321700329136867
1.855120285058252	1.0451132965222785	0.1834929223853488
2.5593794253959103	2.7332112999862797	0.08813113327121856
2.351578836154733	2.5639214389099574	0.09363039424101148
2.570397970070317	2.3223546673612905	0.10319287872336566
2.2399578785535463	1.882741470590651	0.12510060058002934
1.4300600861802253	1.2834077467673088	0.1864926504419189
2.3299845461940563	1.5148358405708977	0.13860228978329991
2.036769641482098	2.0435117361744077	0.11840796987293548
2.2715649015917405	1.225931190359269	0.1518233110735355
1.1790874368687103	1.453944932510969	0.1581897697065307
