m	omega	omega_0	x	target
2.5874394056189303	1.7813533196794775	1.0072964597072935	2.4171908591727234	15.827956214984114
1.3348511042083568	2.6281682321580844	1.5912141677599183	1.6049197845145873	8.113646830320723
2.7532845138755886	1.4268982925010627	2.587095440641765	2.3072936948107947	31.986476709083558
2.1054819005849152	1.8744996799251032	1.2643381670440883	2.8086013155470497	21.22697197107738
1.386436248379345	2.8678514050250667	2.219156918843756	1.1384743888684121	5.907268840024044
1.554533367052861	2.8094312515278124	2.3415898944158133	1.541825865417192	12.357631955200992
1.4651603417372023	2.2581543158342607	1.7294554310051382	1.3696462750674692	5.559111650542628
1.1842200426088014	2.450889695878376	1.71825698018492	2.5550010901974463	17.3151832374794
2.652554878591694	1.3419351529262131	2.8227765574884462	1.3711421050348167	12.179041024535135
1.8474024571894412	2.756753075466615	2.2266206973445732	1.7418818985251832	17.597179614115714
2.0108561038954065	1.7419134351168155	2.413585465923924	2.3171530935037445	23.913733137993212
2.6876984509630333	1.2830888893073151	2.3522036522935834	2.9348564543292164	41.54981244445606
1.8042253864225208	2.948322618126169	2.726184147040408	2.214552192639336	35.66924458072567
1.7357132703513352	1.6937655899238937	1.729190867418121	2.7324272407311487	18.981672363917394
2.6257392116556293	1.138613878399627	2.647645885052886	2.7334191908879686	40.73995953179148
2.1210119725457584	2.1385799912801438	2.3962842121337125	2.4413765271311	32.602541982095715
2.267642455565412	1.272871080119512	1.4430662823507088	1.2646189159534476	3.3569552412465864
2.574023777984638	1.0777588270836094	1.7601811911633671	2.4418482029388464	16.344788032550582
1.066433603936087	1.132446854972312	1.0756003616623948	1.4389032792974967	1.3465159797772477
2.5704210401472656	2.0090451564130323	2.8968797088244767	1.0229487007840012	8.357171765166521
1.1657827363256197	2.2819300790564108	1.1723928085676412	1.566498618858808	4.707132132451498
1.9158335037949272	2.980204310726641	2.7859023828244305	2.422085126503786	46.76326159278485
1.6670435829261188	2.1826075317694182	1.6597421813789042	1.2519591093149425	4.911335431931434
