omega	h	target
2.8466550626557354	1.3290997805215221	0.6021609158451766
3.8230436898939986	2.515902647467355	1.5308168183098223
3.4335163623316944	2.0608685056645584	1.1261844731410022
4.611782595655672	4.92029738188834	3.6114392178301946
3.18860646785012	3.8059303683274286	1.9314429855775648
3.443544434411428	2.354076621769316	1.2901684500390125
3.158726002337969	3.168847583074877	1.5930647862107286
2.2086710637359968	1.6956069684670991	0.5960413172030861
4.5810762193544186	4.522410054810019	3.2972933541505274
4.614144973563152	1.375611830270592	1.0101997795551634
2.655281088398788	2.576111438232171	1.0886675546127065
1.2163318142609183	4.906646232854482	0.949854193783658
4.908913229377732	2.7605973397484225	2.15679343192236
4.373456295869299	1.8152428679660184	1.2635128460028584
2.650217182428808	1.0938833342468426	0.461394701295993
4.249510265478706	3.0290843228814603	2.0486623099237304
2.337248539850687	2.390807778695177	0.8893438147421573
2.400439129487313	4.23733611094934	1.6188393160853924
3.1374868198849786	3.5639776520369923	1.779659895889662
3.5152535150093014	1.1747567549665474	0.6572411301411653
2.104903988762966	3.458557149060744	1.1586369623865933
1.465890937427191	4.699971553905144	1.096521170426499
1.7747156832012518	2.6457206799158963	0.7472964355597378
3.179451720598833	2.2837464538654637	1.155633844486022
4.7969127303714965	2.79690587434269	2.135304425759124
4.737162816288019	3.8000785484061295	2.865042159096192
4.836920157118591	3.23350236083219	2.489213986626854
3.2012391925115464	1.67155844227698	0.8516473948136054
2.9223944525143586	3.530599976107065	1.6421297924211793
4.100070550861602	4.614525569597472	3.011192487429161
2.594240907926644	3.7214774234064674	1.5365469101627056
2.027179537207885	2.6312619546334064	0.8489388949537162
3.833433838396106	4.273942130482942	2.6075745955827125
2.4521677332311143	1.0169047058879328	0.39687209363376375
4.385919612836176	1.9487076203169769	1.3602773997235624
3.610226774062428	2.3926589999319856	1.374787016528939
2.9588438461699664	2.3134250547341813	1.089425689698189
1.248226014883366	3.5516347080452952	0.7055725115856613
4.287091213946229	1.1502537645760538	0.7848316684672355
2.352528051666225	2.943893820749035	1.1022423270765742
1.4728716646614357	3.635308733679848	0.8521701914497197
4.856649422692532	2.4053713342470004	1.8592552552099928
3.6086974104815392	4.933634847266712	2.8335938583967657
2.1423059307184222	1.9501275525729442	0.6649127181973483
4.834078275687329	1.8467912098643715	1.4208610491138118
4.071510963388267	4.0180810918312515	2.6037209500220206
3.564116385584952	3.3149190859882127	1.8803770466165548
2.4536824131020696	3.9926478179811866	1.5591915968953582
4.246655725288017	3.2130391324302447	2.1716168408590515
1.471410531931249	4.957132110434858	1.160872398134406
3.6018119455895548	3.475040559575112	1.992053709538652
1.8438469069818089	1.6320571107283932	0.4789391540299838
3.1488731558795693	2.2661589275793728	1.1357053254274752
3.430897363691956	4.252145271554027	2.321859580607934
3.3661490077602325	1.3756527361395916	0.7369911703045975
3.63672207995291	3.404290839043981	1.970411352787244
4.623293852263091	3.4445820266244587	2.5345925877932443
3.1117900447430795	2.1750220916298617	1.0771944103090934
4.993262054601481	3.8836155369547294	3.08631834766648
