kappa	T1	T2	A	d	target
1.9164233898149885	2.474129066342479	4.070960561753019	2.6877457796729063	3.6236382722748415	2.2698329874158323
1.2469113815827964	1.7570973199374869	4.71671913155083	2.2726904577968514	2.0912552629598173	4.010560295432197
1.9098600701696	1.796968785152087	4.2448723458733095	2.789508338765025	3.6099729044461655	3.612597481033609
1.6005441922976733	2.504663890150153	1.4410198825325868	4.033494447229382	3.6032966093838414	-1.9056599989010932
4.306919911192399	3.5552390101418103	1.6994649594083846	1.8259524498427504	4.341588438380663	-3.3614968248286177
4.4240205043032566	2.3078787424508613	4.37202024563608	3.134467237588046	1.537075219970482	18.62195234996022
4.281248811297922	2.517126673123689	4.327389571550095	1.8512079852199284	2.513431312973212	5.708214868530183
2.63664620044297	3.939938618998797	3.4376658500475696	3.588745739930538	3.452877607338538	-1.3764264085375737
3.4816074743996714	3.1389915317645483	2.7264862972997004	4.831074988683136	2.0959245789932086	-3.3103765582119844
1.1050419019543232	3.456364732826305	4.8119455955355335	3.7349190873746574	2.155343609285404	2.595785828080191
4.435885775910638	2.145501028230972	4.2824504603333535	2.4355850521115663	2.5653116606343414	8.999901672141348
1.9911949386104943	1.3620658506952157	1.0386819864695336	1.3415331586552717	2.936849793098281	-0.2941384521455884
2.580042339114484	2.3160448882160054	2.551141254163876	2.904080003824433	2.469733794209599	0.7132325926819222
4.798761510297336	2.8656867667957924	2.066404468677758	4.747879899685204	2.0598891258856264	-8.84067125101767
3.3752676725823547	1.1093018423904928	4.511200384166724	2.6887767887060807	4.559909419218519	6.770614884414682
2.6964086440767465	3.0523691134557143	4.9203402110328005	1.9016507735941857	2.613729559281769	3.6645949432353926
2.9134536647486597	2.671347831750799	1.1122874728318235	1.0041206309920905	1.6515715598194478	-2.761592148849024
2.5944688483861214	1.459049683358689	4.679037929284012	2.8505051670024963	1.662738520004325	14.32189948587486
4.124471070113303	2.8652017267008834	4.906586276561153	1.317726053538781	4.220872750871451	2.628548280998797
2.0282169603574367	2.926688441635313	2.3751075974655103	3.7357137473969195	1.1445234174908023	-3.651509987573651
