m1	m2	r1	r2	G	target
3.2851976765259883	4.89925031473825	2.243325516354276	2.5840159357055708	1.79238742168417	-1.6954908904037462
3.049762187444536	2.9562471281527567	3.926153421319619	1.4863478970424835	2.4923236626803584	9.394607133985721
2.9540858363604454	1.1046447022221508	2.7692845113234097	3.0163755533945524	4.569558126664603	-0.4410866794041718
3.762304169588553	1.1018482006068782	4.852070291899898	4.232370251464405	3.964426464920512	0.49593735878082396
2.6440488757141183	2.9164876341968924	2.5389025608031486	4.7465219214706345	2.025494198863335	-2.8612993189315015
4.471761315946464	3.354007168566824	2.2546553461048933	1.1331033364780778	2.330558356495746	15.34519172958718
3.9641326432809993	4.052572758082396	3.2788242698205465	1.3912904461413107	1.3624565591318234	9.056501459287363
3.676201689663676	4.495635794325891	2.002550802135946	3.2173474543538663	2.8108183241070517	-8.758814047117081
4.820313120089826	4.667663699674524	4.873819844036493	3.8100325844386536	2.912259947942022	3.7537173582109773
2.479835834418012	4.6068270801224145	1.923751101785086	4.881057453305028	3.2147279832295665	-11.566516666061338
1.1068853583642315	2.5647426269432376	4.594482349198595	3.1623223136290552	4.859901708461483	1.3599493980396136
3.1338729403690744	4.227339929508823	1.364500226759083	1.8557923150912925	2.0432712267934168	-5.251838491360994
2.796928375615676	1.353657472713699	1.3385253717592476	4.920789372409222	4.938418352144468	-10.168905535879851
2.5673020173209107	2.740028372687737	4.257103850179696	4.152729746296506	2.0274347967875515	0.08420226312644515
3.117042586476112	4.045147049386397	4.1178723663161705	4.035562456894572	4.58624302436102	0.2864239191626205
3.9855483100643228	1.5281060733234426	3.6988536843890483	3.9139219601003647	4.0496457371344246	-0.3664001571581426
3.436695665706877	4.0008781388949615	4.410216527632917	2.0184956641026512	4.384791551650835	16.1982504570513
4.173804100782075	3.808220464528052	4.269759763431439	2.8647094387730805	2.3673990693995823	4.322484820763972
4.376213782635419	2.750435840597607	4.853353243754544	2.7206990384520005	1.015383310111523	1.9739134540645424
1.7526892642967495	3.9042324636532224	1.699175347411786	1.1574239423740442	2.4192505306929992	4.560272825107925
2.6914507969175805	3.79464661737462	3.713307324769736	1.9792327810003096	3.3951837380492993	8.181464642022979
2.572720006595117	3.1650156146364035	3.857919307350248	2.1365791029554413	1.0852113857362369	1.845343921994285
1.492184286100252	1.7035313860716248	4.502423571783279	4.483858094828276	3.0384240514874983	0.00710278859628602
1.7666391362746388	2.94613028270752	4.493283442536108	4.673965730370833	4.762577496730833	-0.2132593556736097
4.131864228135095	4.754428314359061	3.0858983390360977	1.5154590314886196	3.115878053082248	20.555125853224357
1.9784306433672607	1.1775339943374887	4.036491378674045	4.42860557537466	4.8348262828043325	-0.2470681098876721
4.940527960463316	4.514768756710409	1.6730540723223142	4.625917556656857	1.4866406684631392	-12.651743690551585
3.1085309665008234	4.399198226243919	4.8441095468786175	3.1663927288453837	2.0492857217095093	3.0652871624790032
4.362913864528127	4.198921107255227	2.762006045262401	4.950618685403459	1.7246652258152333	-5.057128188045997
4.95074628907503	3.809114064342306	2.994926538149926	1.3919515761989167	3.861307280716032	27.999188859636718
1.8082213630778796	3.358581971125389	3.605776409859488	4.688541630495919	3.7919505033766465	-1.4749182037286197
2.9063092050843777	1.4129305208561125	2.8840393081592994	4.865720075532808	4.783802829477579	-2.774094772853784
4.094446518125148	3.464285280498025	1.3519866331054755	4.078627057338944	1.9704974610281445	-13.820577994651835
2.593515850628896	2.8039801172987597	2.05079330112918	3.2389370756902487	2.8487359345307546	-3.7056178186741855
2.0158332064452527	3.0860869232137302	1.1193521630795389	3.8835004323681765	1.6423520321982283	-6.496811043988173
3.8691767773450287	1.4407664509525762	1.8295490253110291	4.205105690637877	2.9159875217084785	-5.019289528176917
1.7228167553856577	1.6134191716101558	3.6326713111510314	1.568325068969597	3.6371630425095822	3.6632741555641295
2.350961924703169	1.0829324794524604	3.2382066862503	2.9432505302856136	2.1417353587465993	0.1687479284196026
3.932904919853097	1.7706417012029283	3.768360558647189	3.0414382588542304	3.712220155021024	1.6395867403166005
1.68922346686723	3.7351397326636513	3.9518953507198153	2.8314102759273014	1.5568768074589583	0.9836623413813576
3.6715240084922	2.9951993677864213	1.537488873543548	2.3963280107688085	3.8678484219740157	-9.915055169538126
3.953688067111085	1.019947151660491	3.4339607758828103	3.3076911194314618	1.1578202249261895	0.05190389199000151
3.2939289809955072	4.733250199691582	1.5543725265298374	2.464544118717236	4.444249105823424	-16.462798203244258
2.6499473003104868	3.8706799276794785	2.9984622045382814	2.799015886504256	2.5328186247647606	0.6173773175428541
4.2693093895615855	1.969993711692332	4.564010201992788	4.662465704934643	2.830430779306921	-0.11014194586671318
3.870376833644919	4.20427345035126	3.417832985967457	2.4391097477435704	3.35446667744094	6.408338002144568
3.280516535362007	4.643467863666105	3.319927208412177	2.68494054840494	4.379871554764976	4.752776763671989
3.4327698218496607	3.1363591369576347	2.67931132639122	4.109839123674405	4.362869412631535	-6.1022638763806
4.735166093647993	2.551704800379218	4.545148556050927	4.454185350201625	2.0635372674028707	0.11202819913667396
3.9431320717062146	2.1546983787919687	1.5095672731574834	4.640723061500498	1.5843879214272498	-6.016665721549503
4.122493869835744	1.490111462467711	1.2748327644189863	4.351617974457904	3.8501095441798654	-13.117318415082275
2.1465512403495524	1.2931074103321638	3.4779652137427117	3.1826179481899857	1.1732740253179998	0.08689574867708698
2.9099958607070695	4.8080496508201085	3.66533439637916	2.8871702941141217	3.6810658595306007	3.7872161449612487
4.360719701665157	2.3359062091179847	3.0879265082672838	1.1089721552773972	3.913285330300612	23.035798301799822
3.8848481422854646	4.173288649173422	3.4768895217862683	2.06525930205191	2.414085289032207	7.694148242697134
2.816128693685427	4.014779664048916	1.1581977016852227	3.7778337586053414	2.0236239905494853	-13.698072179171795
4.535951712201785	3.0205199331760677	1.8264698298287436	3.0532313228611065	3.9181440421104683	-11.809144859785647
4.0012385769569985	2.2031698119805903	2.8361844268975656	3.816715676210887	3.9146392849854834	-3.1258730198864244
4.20951097235104	2.8935344819653546	1.0385951066869414	1.0965003446884398	1.885204123424974	-1.1675661498410006
2.3159039073117302	1.1613321750828236	3.344280690106304	4.757255419663286	3.575985479614584	-0.8541771403067495
1.0336426679977024	3.3587788892288355	4.2521914563374095	1.4925158028375145	2.2906113953506217	3.458036345643848
2.1396898527613475	4.3761465794039855	2.5176292691717195	3.0362560921078874	2.1838074719597285	-1.3873365599990504
1.601612747740505	4.970813093564528	4.283043040264369	2.4396054547028263	4.676940587642795	6.5690596746774625
1.7076637335265792	3.3189602592590566	3.0253551977526145	2.63197843052451	3.2815103776145618	0.9188152598911579
1.1186739086860604	2.063832299398226	2.8015389789409397	3.0657502515945536	3.6361871614648895	-0.2582510191417363
4.84277869333298	1.7661609033855017	2.5754989981056093	4.006389814731029	1.390127373270032	-1.6488129621663423
3.422801591280817	2.267531356957161	1.4695544514038366	3.0303427251985884	4.494901937464837	-12.227053430794045
4.796925679560032	3.432485770510687	4.442080071789281	1.0278146801770451	2.241785219105377	27.603351357632388
4.291702782319398	4.0143739447521645	2.250584314768865	4.731748691655749	4.082985839159969	-16.38943247416293
3.3895651153012567	2.8526266465212857	3.349269236951513	4.9765874473902025	3.842161512579749	-3.6270648237615744
1.20311490479858	2.9064919805474942	3.768919105458673	1.0187051615033216	1.597551643698301	4.00158733198521
4.025353275157373	2.4118147107777315	2.639705470824644	2.9918671277932365	1.6159758391094652	-0.6995634295881253
2.5914557043782582	3.9262703463155515	1.4361487986803487	4.559532860018873	1.5196554389834658	-7.375215575483978
