mom	H	kb	T	alpha	epsilon	c	M	target
1.0812956118043968	2.4241266563604182	1.9023415815410119	2.70058046237409	1.6976712586752292	2.668550752262954	2.52174271099177	1.8079990163642292	0.5482852467394612
2.620698476942989	2.101334727140656	1.0797776225394409	1.8989757362698736	2.460184747745056	1.8979057521952525	1.980351837175834	2.0119285723868225	3.535638657871149
2.432398586796842	1.8510755101330332	2.615776359911496	2.6548742314918807	1.6116339027805615	2.2065188299100993	2.412531419885241	1.3733489403696704	0.7087219806990386
1.0093002775997104	2.4627040746655684	1.5103192660883742	2.205194287958591	1.0511179066129823	1.7723353795484411	1.9370372711127344	2.3840532485606167	0.8605019587329652
2.6362805082193197	2.6584745134995496	2.5158580280136045	1.9965594406385616	2.4020207634279287	2.74272348776167	2.5082188684118187	1.058063678632855	1.4725653910517842
2.147707363034893	1.685051580114108	2.600202387799874	2.6330752610150605	2.2381984556354544	1.9929410859794487	2.474754644277686	1.4550751329663325	0.6122895691313017
2.6480334143982667	2.5918026353587287	1.91381294579154	2.346977034324549	2.8310062766046022	1.0821252075565737	1.553562111726926	2.7230907318923565	3.2681143739273866
2.8287228095561714	1.1448195225014943	1.2143876066976391	2.784606221139378	2.9715035134144223	1.8949013456215436	1.721280998145427	2.068184001972749	1.8733306012702555
1.3465066880311816	2.7391448424255738	2.667903386029229	2.751981640888067	2.8405944555887004	1.699847233146084	2.3250874618937685	2.2076029906985477	0.6275027897298483
2.445310810764292	1.0552306401455194	1.2927053566282782	1.8813742158860725	2.052537237710144	2.9675020714335467	2.7856127233073464	1.1100976247297454	1.1604687571581946
1.9739490518737788	2.4890496151862425	2.4039310688151994	2.736554858855716	1.2721173271076671	2.9652030896986568	1.671260791132094	2.6453110769896355	0.8687859238193874
1.9351548873519	1.7787575655659056	1.5634036694994884	1.7651964717566493	1.6743821140696449	1.352117139064605	2.3369257933124525	1.398150818838645	1.4696009674710613
2.4356255705512924	1.710718585271236	1.7039441148195456	1.624468516619764	2.480298163410188	1.5594429388366469	1.3654329339096076	2.6861344016773456	3.521644893049534
2.256040673731711	2.7124755749418967	2.1655281838805296	2.461001411582396	1.1354788822648227	2.7263997715225083	2.197478058639485	2.5287812942176178	1.2405773638766369
2.252184891785282	2.1736299667104824	1.7330055308200278	1.067568483240745	1.699528730690654	2.417852934338037	2.3987518431241144	2.038057317187059	2.9491019321408283
2.6878744108089165	1.787618037909876	2.0866244985026183	2.4116342161669233	2.089780330745905	1.2819052888697346	1.4004176264889123	1.5473511257373156	1.6418578134744586
2.8605284774433706	1.5813406108755792	2.7484112590494205	1.274807549273487	2.9514043506508654	1.5403350122343116	1.7620810452878757	2.2928221428346838	2.446243206303708
1.2776740644819249	1.0247598154701083	1.5055222211003352	1.0035590543258992	2.0155243670660368	1.3547410426925337	2.5499965083871	2.239920534139002	1.2999730872684458
1.1844427793590862	1.3554854669419036	2.937481402321976	2.0799267121222265	2.1858799331517567	2.503210339314591	1.1381418941715482	1.5421877051549198	0.4643174719689204
2.193938550677576	2.8319871391802436	2.3179831606108285	2.741671823162986	2.401384331821256	1.8108325366353837	2.2595744364791703	2.6177613221201703	1.2123895513574738
2.397311901716919	2.147405002269063	1.2771628123885053	2.636631105063828	1.3032760509558703	2.3089005961893587	1.1488093507352095	1.2416889884986506	1.9068466702145188
1.2463798003535758	1.2128867471370823	2.115165338586426	1.2663282703461098	1.6752273138333815	2.8351182293589834	2.0105474137588417	1.9976622521168736	0.7002710079969492
1.0471698341227011	2.8256805360839965	1.4125678644001232	1.5119681693466136	2.996099084762504	1.8191465528037944	2.612915568661248	1.6216179122188803	1.57724280764968
2.554525347984791	2.747675817407348	1.5427629464932615	2.834135277534896	1.656629381395632	2.8172274081958597	1.5939587705081957	1.3110865544272408	1.782583622453442
1.2366021929136186	2.83604204913983	1.3147870598218718	1.6610897749467062	1.9526350266147432	2.3451819504689744	2.323523092969905	2.8349754117542263	1.8533704649500613
1.9771575314418992	2.0736600386884536	1.9861065968048577	2.6768509488269614	1.6363687586867577	2.344119113815246	2.1702429535694794	1.2202011247803288	0.8384294390134279
1.1534767563013997	1.9269829181157772	2.768151631355689	1.8676085431647584	1.6971653714710446	1.5936938995069196	2.3721186936082965	2.8451860590218163	0.5500838158684153
2.0670202083146907	1.1693301118594073	2.324651463619974	2.778580880053166	2.608161149987666	2.257396602908619	2.445009434796204	2.8535908698634262	0.5506879420674612
1.9736498141156984	2.5596425057794465	1.090613082058485	2.8989726419544386	2.5815234482548166	2.0049178468208977	1.6222850705913374	1.286713813797106	1.9908175028853117
2.1493904563880615	1.2737423498942555	1.8144817747394253	2.137351809229574	1.8977744876497349	2.020415040891085	2.028753783992742	2.5511230504553897	1.0286143905574436
2.849184565913665	1.6382056255892643	1.2154246343732202	1.2347328692136703	2.5929905235336457	2.424047062483158	2.1148064030793248	1.8340847587441942	3.943029744364085
2.25912253331962	2.376954406869039	2.9379414286474983	1.024268227661317	1.301865072670341	1.2301846521367668	2.025229325352436	1.6059525080644976	2.095521041658626
2.047977472826905	1.2318918190140495	2.7209252311626724	2.4882284776314068	1.5827954645361613	2.5741656544035125	2.168570723431512	1.3152142830186384	0.4246594864358477
2.9845226330455006	2.5032494103171627	2.3664974479993655	2.4093459575342653	2.6890555206721203	1.9424002194108885	2.93749163418487	2.3324960137620403	1.5061929368179936
1.2452444795348745	2.6566881640185906	2.28635794030082	2.050607441939275	1.299920535089193	1.8097908047645483	1.3669474262625705	1.0986946336139456	0.8177894038410441
1.8698560706534624	2.7954402604015045	2.536581944521938	1.6884588937057217	2.765383327190098	2.2758304519843677	2.234449994876499	1.910724805628776	1.4234682869747366
2.874443656868657	2.1366904926903474	2.6603404541644005	1.518412130512381	1.921929009366864	2.1739347113287	2.651684237840196	1.876143132251232	1.6882946223225417
2.6161372296774887	2.404945162362914	2.1281069639880834	2.6877649489328688	1.3871276878858292	2.3501159128802795	1.0750034678830247	1.7676440566974536	1.5129018153418066
2.788169340209698	1.0075095360231214	1.661508861391165	2.8429285009708654	1.275028699442668	2.522492247364407	1.7386089436429486	2.7964450825072547	0.8707240782768175
1.6051664095483509	1.3627973055888711	2.4543466637803797	1.3050454803654858	2.809215022255804	1.3634268404777057	2.806669761721244	2.636484527441828	1.0285358609028437
1.0477148225615731	2.9189427302296567	2.682065755134965	2.5995225712226158	2.9413836705267844	2.9306066144318743	2.6943259706359632	1.7459449482639866	0.4749121456195665
1.9324246875455557	1.1255833527192751	2.6220185144430186	1.7047304633685292	1.5559366012511673	1.070717587290494	1.7609249762019186	1.7305789733832104	0.8372395464700264
2.6947998412840684	1.594637021906935	2.1402754616393658	2.6185951674338552	2.7147337838034904	2.5824023842731725	2.2015143043475014	1.7144149055910383	0.9455427363815836
2.5168434380773883	1.1438259217484872	2.328380961459368	2.3410133641970914	1.6244675339612842	2.4897082901462317	2.665180936081949	1.0006231555347764	0.5705913728343972
2.130482701600363	1.6681760302232431	1.376430639950396	1.9374550450918264	2.3609033120252403	1.7443440632081746	2.7440002770889453	1.509129122716074	1.5494232843747284
1.8304775698895948	1.8118157617144572	1.0065417695326675	1.98359729672903	2.554626627135903	2.074101939001654	2.6044392124428395	1.916045219075465	1.9800627582836905
1.7946983871599511	1.177654393920906	1.9409800293787005	1.5767503081470935	1.0137846784088622	2.599221781924837	2.106334160435212	2.928840446821217	0.8415890259530651
1.9302807786598373	1.3330372554771537	2.8996114987603354	1.387968094468123	1.6483740927875226	1.3263137757119383	2.5996113572634827	1.15451837842337	0.7411915194795393
1.8364227603943468	2.2076378644098633	2.574439350218644	1.8389488274871892	2.603088708575416	1.5172076718834695	2.5505244073052107	1.8502799996867256	1.045640453437746
1.0561941254837588	2.3187239691639574	2.0053653093291643	2.377577175919054	1.3815029189051418	2.835833142934643	1.2838433265005869	2.1187111400417042	0.6523654304497379
2.062958547514754	1.373679198849209	1.6058831124782285	2.7141190600018463	1.0916055635821085	1.1542554167662484	2.0542229360024065	2.024622251350626	0.8649425290150193
1.6448406881509934	2.754575938972972	2.241531346186036	1.5489001736527097	1.27140501020375	1.8165509570073148	2.5210946060025323	1.5905981861937115	1.3879796324367806
2.9699174990723436	1.0880855102486446	1.0425815394631217	1.9231610853779129	2.4793680148097392	2.229451873772001	2.4322632257206456	2.463567600824629	2.2976604516017285
2.095647136189207	1.6183942253706345	1.77987816217866	2.076304581437057	2.0967100839836443	1.4304221356069828	1.0263562523690697	1.4125395678928232	2.0323336375440992
1.7527313756510972	2.213730738261259	1.253692647072255	2.6427648892711355	1.7870598830804232	1.2742225782338494	2.1709431603913343	2.0586112786040984	1.4951593858150145
1.5831848447364636	2.264711121838273	1.5220882867802603	1.7721114065808865	1.4793450447510808	1.0558168812277977	1.0361968798383971	1.3391202968542557	2.3549624259299726
1.4887313124061752	2.611921714633405	1.6050121508296382	2.0936344003663048	2.0007095249089373	2.591526731784944	2.2495908030008422	1.9622834542230905	1.2897937893659694
1.8446821469291168	1.2750382421415802	1.7420377791865334	2.211586274325643	1.4104841532204253	2.776525148463495	2.261262792938372	1.3348147099349341	0.6739925588873884
1.6253652222224313	2.237837702793065	1.1986875701214088	2.1398903108962184	2.0189775743769154	1.359137503102892	2.53405616515294	2.6857165946997816	1.8117043049659876
2.3731891791620265	2.91118354711	1.7602265031743407	2.294759438327744	1.6631656938529715	1.2399937948847723	1.7819450246190398	1.1201666785255535	1.9883890595159928
2.411146904515599	2.613308122917706	1.3852582146878154	1.5189451533599307	1.0257273270518497	2.616173938627425	1.4223340533784492	1.1684518243165511	3.25411009106619
1.3529640670070315	1.3926586728965864	2.5363940085490704	1.4396856175716768	1.4081581195462838	2.4391675801055763	1.2145789717879838	2.5657364903216817	0.8880213361405072
2.1187731200996014	1.3140996940707323	1.5723850251179865	2.7080678032578	1.5248998753923708	2.6569312729369083	2.3863444379684147	2.6250587072732583	0.7855180151056339
1.9366263784133424	2.7391767356584764	2.9474745781910423	1.7642771685335212	1.6568821579947473	1.8037442198795213	2.132481655757312	1.0535014895673271	1.099366712619689
1.9350436723455693	2.5805551280684496	1.6805226958325792	1.2047526085216298	1.186505471453553	1.4335156896312131	1.4988668991495893	2.2568204781992858	3.2610592117641706
1.7937247272871932	1.8189080447175408	2.7406452939953883	2.744562950676974	2.095390174521112	2.2969075958706044	2.59210779950308	2.0932201910024277	0.5015245271610551
1.3954390275606805	2.394196303567164	2.5666932985912663	1.2081415905491923	1.8964794258008668	1.3666868859582846	2.186785971070063	1.7686196615773118	1.3083556685445972
2.3803439847255725	2.1134968780810786	1.818453074338673	2.893220827399304	2.5465457861808947	1.36460704628956	1.976780318059334	2.50349524005275	1.497135678286202
1.2340268644634445	2.063641619378856	1.8072296659754856	2.5517057003578287	1.6636823049563403	1.4925769660313766	2.7300056719920054	2.571888620545466	0.6551529895967529
1.9936169501612937	2.264493909078813	2.634478632319908	2.1689639582915827	1.4272784778484595	2.575198193543999	1.3078309050661243	1.6292717943517887	0.9742677574704138
1.0524212754012092	2.5912456343255545	2.49314572298109	1.573555429177128	2.93660551150522	1.4645690735449484	1.3844049476319715	1.2558940698932566	1.0476041229803241
2.4897698526064964	1.4908651121729333	2.0277335284241884	1.7114951994878502	1.9554369077928584	1.0681963753437294	2.8152526973624177	1.953026639094308	1.393196899231916
2.2485300562253308	2.1134393264293547	1.5717171465450095	2.70475450669778	2.571667962736428	2.6885497596525405	2.132810439897978	2.4676611573915337	1.3923139443528751
2.675160219478104	2.7180908435568347	1.6860026636389025	2.6222053777254075	2.4164756393657463	1.2167362157439394	1.7569623361182252	2.428100405732473	2.5899707907534357
1.028576808170191	1.6907345663972466	2.735474904141573	2.695633099533969	2.8659918608691504	1.5818634241284502	2.4750974396591983	2.9708324547467315	0.35839894276713663
1.8501291412187864	1.2831051674328549	2.663308124661901	1.1939168916628946	1.6843876403157232	2.468531397206248	2.2355071633889656	2.1750327885872887	0.9193589840674856
2.989236911505569	1.873216229298352	1.262505309156262	2.97330622146496	1.5071917247111613	2.478869305945651	1.0395484036494669	2.8318260560072384	2.760439120657357
1.1318838606826869	1.3324263237266645	2.2180645074160785	1.0133867273062285	1.359013424923167	1.69447573400352	1.7949446573277967	2.053852952914969	0.9284175549261362
