q	a	epsilon	c	target
1.5497464827830292	3.0654934726145684	2.4595447354863884	4.178509058394436	0.006672709484194211
2.38052915026508	4.885609714831672	3.7170185767974138	3.7901349399482034	0.03545885249617705
3.975335226157616	2.9423405257042385	1.3063950653269574	3.1097636664934463	0.18474622434377946
3.0047300985863625	4.228223408155153	1.8552548834864693	3.0256836991627045	0.1666293515093798
1.6661662137039477	1.8302949197535217	3.5453698639281024	1.6525273880193403	0.03083685836639715
1.864201476621219	4.444975648299992	1.3718232684097291	2.250628359232528	0.2329237741572911
4.583299139149924	4.469513494350698	1.4421018857313483	2.261673992367939	1.3344116737340614
3.842816543637104	3.293510598517083	3.1926398705265093	4.6985020979789205	0.025661858311565196
1.7995549574610468	1.212588041270923	4.803409976248048	2.5602452388081254	0.003133728086146505
3.6455960206747062	4.051205710413584	3.469835591970845	2.631746421394817	0.1829631090866176
3.0673795373036388	1.6322229429898742	3.385689314073752	2.5572754292448603	0.02348622649737452
2.2867396375203186	4.942670099568566	1.1706498962983305	3.676154638743685	0.1165325415426636
3.3016290362807528	3.5568991926956435	3.982490182985414	3.9366843095363935	0.0301128637816101
1.3779857346118145	2.7129075352653107	3.442065370627021	2.621225990106174	0.011959851671466595
3.2569798975749378	2.238501619278982	4.2433917894880215	1.694339400500119	0.1366247866225063
4.3592426648976295	2.699411399096199	4.546495992724083	1.3010314220725312	0.7337007336177597
4.600005569605316	4.691677482088976	2.7256908368553243	2.5686772630789214	0.5348927027637808
3.9938241791468636	3.951082018539244	3.7534596467263834	1.5748499918837982	0.901072057231778
2.874443665217583	1.1906081572802163	1.4162808289382594	1.5002555410416778	0.12992690481623492
3.597726256519531	1.8414885688495728	4.331631580365377	3.3220947630516187	0.014662418185955909
3.864935302751431	1.8384770288860681	1.9534779727844864	3.135272886385029	0.044490285310070286
1.519637657870327	1.3590202078820108	3.5433111210819197	3.30206312636077	0.001773639688742744
4.0076640158396115	4.992515016259116	3.0247822769744666	4.415539204120322	0.08155956331690188
1.637445690322994	1.4312245707586468	3.5202428534240844	3.312097502999644	0.002278065922935879
1.8267974904036737	1.5057440317369593	2.2359627613597595	1.4963317695229303	0.053583827696479125
3.609245346326948	1.5076134508502057	3.580135216184674	4.002239604843692	0.006843889815653282
4.706396956101077	4.302988985921547	1.1676178589225563	4.12207318603774	0.2660532883350881
2.351263934830752	3.979917299380173	3.8663225335505667	1.904564572355901	0.1739260171930391
1.2718776820030828	3.1740205260460104	2.7839583341072136	1.7470912440317232	0.058237073063324665
2.1289543966432602	1.4220593896696276	1.329360355934936	4.683946022038189	0.0035594975221439687
4.765681684919917	3.506021783263954	4.133709009153503	4.538828918933834	0.03831835159055125
3.5663019980171513	3.3248165464636017	2.144895238991304	1.991486270752928	0.4402835400175127
4.661538649894938	4.8100340680290685	3.5586726216155804	4.9546510942395905	0.061620680841573176
2.8102105997378044	2.9127045880056204	4.856394607987864	4.459498872526481	0.008252724516103798
2.0523544483028475	4.630237070161763	1.0104521400018056	2.587535263727719	0.2736752267520736
4.646791163216961	2.3200902586967747	2.365037118157012	3.0074556417051452	0.09584717018592104
2.0462385572246817	3.9933458408837	3.933128416015377	3.6375780068143215	0.01871156786925527
4.1491274705339904	3.9730615273069048	3.2623817917199256	2.6160353489138166	0.2468296938842056
3.04233604332234	1.7267723298546338	3.021776818951456	4.582806216208386	0.0050341544772183385
3.9272013139644866	3.642569403561495	1.6214499239656952	3.248356488418896	0.19533779552091846
4.659609175882712	4.02102032864596	4.439859074844952	4.753017920791503	0.03906545233243729
1.4224555250915052	1.1061533373392871	2.393945830085732	1.2984152016628374	0.02506408440130551
1.3687352421836172	4.032789158855575	2.0362410595042806	2.970501172677644	0.03028519923497567
2.3052816075026064	4.802440235809812	1.3166146055116128	2.4588894596630766	0.33219653719167985
2.674052165969049	4.808521668222622	3.4897662685357416	2.415567069004334	0.17832331988554814
4.672929478189082	3.1986064505642826	4.788183559358787	4.4665047969668015	0.027779520350499545
3.792140571999617	3.643725794879945	4.63943991773604	4.09245495160857	0.031852375699743744
3.1433699835043343	3.766831214865368	4.234152043346073	2.9674686321080173	0.06722291516454001
3.530366843901397	2.8899374873401094	4.8986454731667	2.729459348601361	0.05543825405105842
2.7309088149799448	4.110868019016797	1.0525832138514923	2.4556255209801368	0.4289804381479569
1.4201376602366165	1.9970579454758624	1.9917153669527408	3.8901884337171166	0.003639166362250938
3.201069936828049	2.4127120482944022	3.7596630022206803	4.211674052039993	0.01126644783668332
