x	u	c	t	target
5.642303735480023	1.938919244728469	9.37732171256756	1.2648757082830755	3.2602654204201755
9.16039525921718	1.2904629380877488	11.842039053059544	1.155803840353719	7.714817244069552
6.401575369907682	1.65082881504443	3.749935211330393	1.2485728026345595	4.834017660994575
6.0023206584537725	1.485831931217776	6.431408045742789	1.0968243163089548	4.494204764315548
7.533299816655158	1.341255484590908	18.247855480583933	1.6498243413118612	5.3348944226828285
6.714968109304119	1.5043981519990564	13.701362688072832	1.2971562007487385	4.7925051935141365
9.415312103587024	1.8155360955877264	9.599634163685554	1.1891754689056486	7.389683363806615
5.242686948363031	1.2428814314850634	8.375546904143674	1.831593074927244	2.999442826848396
9.252678771441966	1.8879402756834671	12.91901396718917	1.1419352309181674	7.1737879852023045
8.756884201629756	1.9681059446245448	8.245375046994798	1.8370216322893644	5.294465967308278
9.444661811259328	1.2975123959997714	7.135027080889995	1.9453097314823928	7.037948495375378
7.4097511152411935	1.303318826651814	17.5839870532832	1.1560081002550633	5.919386116493095
7.532612737810634	1.5974710431897288	3.987663952840275	1.5413348303659935	5.533823672964746
9.082959388570863	1.928441716414464	13.341223705138669	1.2331470476152426	6.776070490033836
5.798312593314352	1.4067859386264845	16.335803077195173	1.5469599394825893	3.6355770752801018
8.550515367053096	1.8079963115167867	19.164186632786496	1.1073292164665296	6.577806531602494
9.49019199712589	1.394699452625412	14.25344057304521	1.2316158992546271	7.80993651574427
6.692295789264025	1.390441094036554	3.691127855981253	1.1456650333481546	5.504823011937642
7.235326083691707	1.7803426548642118	18.875454361424037	1.5521219770225485	4.492043179086265
7.1515891403995395	1.732771675655196	4.475560162035675	1.1901066507783735	5.519895816354159
5.0722296956363255	1.973041781720045	8.684923359547692	1.8550529500683413	1.450047454625289
6.295543815639615	1.7053697259620435	4.798837380554931	1.2997553962280148	4.363828474017424
6.353922329742508	1.6932762492778075	8.560532248103844	1.7563789438717459	3.448012272924717
8.309610159181213	1.8811342262270467	14.727157919496467	1.526917370315969	5.482179941104793
9.631326073911232	1.5457074122041687	19.538730520167924	1.6364914821960048	7.124116761562378
7.524951736899258	1.4682647291454154	19.255828202459828	1.0990480981949315	5.928517873271329
6.189428009443767	1.7638728449829768	3.0613273585916363	1.0099862260569064	5.39314106259824
8.177070959596394	1.4165487405927533	18.606419008639538	1.3238545580154786	6.320109129378422
6.708109398910017	1.4244863993356762	11.746750133336198	1.602235301342886	4.4586518776953135
9.345312078360742	1.3087443348512586	12.038623558941381	1.082620786018179	7.9757080941748795
7.543641717689657	1.0728013730701509	11.665099779541327	1.0634071426486105	6.430067198169762
5.763540799143237	1.11382653991818	10.401804492753488	1.2180160532232276	4.432366553096329
9.296707583276913	1.0408980702927244	15.59015994801004	1.3444873809176074	7.914894258907371
5.43378020359318	1.647492155848405	3.7073308142704366	1.8394386835073848	2.682771426929231
7.816890610785252	1.588283601595298	3.6390180149637716	1.3453326153416474	6.313181774581281
7.65836763395129	1.1563952252128624	18.74427050647029	1.3946628888526569	6.057124002476647
8.155134881808085	1.8865724128012584	18.735689333733564	1.3710154928790024	5.597062291152512
9.46121661447044	1.59581631356127	16.73770889396844	1.0168442612242925	7.874391585668743
9.217839739296721	1.263053138905132	18.926314245853483	1.6365098486085623	7.166817714266614
7.794049925370983	1.0309391684939828	16.362446886727387	1.784731850534279	5.96595357849662
6.959269322810585	1.7925420030623969	19.915878389859728	1.8469318392051437	3.6634353821328474
