n_0	m	x	T	g	kb	target
4.702390971048209	2.674126057681561	3.5181521136847707	3.0919270307205333	2.8765605480057044	3.7963912633841215	0.4688587387179544
3.0240847027393647	2.8221224312707887	1.6595470615119017	2.8485788891218484	2.700560987921194	1.9732841017456284	0.3187047647689139
3.710849734840161	3.790039163175752	4.160154484739359	2.3396834844494907	3.6884349351050663	2.2152636252074043	4.9712545356461624e-05
3.820029138256778	1.3372065360875791	2.7859591390385785	4.226361571175949	1.203695349279656	4.215325527220719	2.9699732059195934
2.209768983499617	3.91571012481823	3.42190312786448	2.486436355576875	4.241144727785102	1.260824831672747	2.9636774944935156e-08
1.605545812803213	1.6141236522203577	4.417647929361461	4.702083673157725	2.5499833934197045	1.89149930808414	0.20784771386857312
4.85969192581778	1.7680322909460109	2.556967107759256	4.1040336532322685	4.070787899239969	4.976650044195567	1.9737424739054483
1.3636002627855253	3.4456320510914944	2.036066386842142	2.734562283814512	1.7702415469277248	2.483882088762543	0.2190871535118729
4.35000781805693	1.4062142230792831	3.759419751233085	2.8149821734474325	4.210222176333652	3.5642217115088113	0.4732140017389082
3.3156176421623798	4.245304602956249	2.8299742523459352	3.401907078677781	1.8022140658514536	2.1818027888966807	0.17933263617303896
2.3497806979057083	4.8585313433069315	1.813802367960785	2.674565756494297	3.5253452956615856	3.7107925686622383	0.10270329552511676
1.5527688610543389	4.324104081651585	2.0147198361624663	2.7975910203690395	4.164889201801182	1.2833012102806791	6.3372832908799e-05
4.826752404639646	1.0716008543335462	1.8921812566877902	2.7708130987422384	4.731907928697738	4.514399007725847	2.241447131155096
4.623027696886297	2.6060632231854064	3.9400155243436767	3.1619584014893913	3.8293582702524818	1.5209372765638722	0.0013005599650482062
1.3702018352050644	2.684539069738541	4.234623823088814	3.985233718518535	4.978032741107629	3.1239833912916066	0.014544789302005397
3.405466090000591	3.379836760922529	1.683183595862368	2.9890109385201047	3.2175762101398258	3.852900502509272	0.6948593566302564
2.2563091362260956	1.0227352606798172	1.96629578787164	1.7966709762938091	4.359204659034949	4.529890727129786	0.7684443818719875
1.6310178335420948	4.862192394262332	2.2497505169310767	2.5209429483900494	1.7368101088695909	2.0184519405053045	0.03898889397505824
3.2976775296206107	2.5044822024129414	1.4814944169301687	4.147733450892357	4.23261650278135	3.908951160996261	1.2518133078151654
2.641015164735323	4.865862969991705	3.881832251196683	4.183694817128978	3.9293422348207536	2.8145198446194555	0.004834839330139468
