m	v	u	w	target
2.9159581798452097	4.645788244181475	1.5498777599581377	1.2516739641411512	37.25451088995013
4.178750510085183	2.9114464582843165	3.0193339746943613	4.973717972600552	88.44486044221784
1.2109464952558977	1.4420908461024229	1.957617444394419	4.879105798444627	17.993190870314642
2.844659513549355	2.0325944475041475	4.465342520858626	4.113262531547266	58.30080271246135
1.1622343267832649	3.4851463999117525	1.464587352039485	1.3473802677635316	9.359876983543181
4.966108956872276	4.149646349912494	4.40987317740503	4.3614928029671285	138.27923239225254
2.5136658754779453	3.452842242497089	3.8260626360599264	1.879523580998541	37.82248157342627
2.1797613067229	3.9000015796863936	2.1616250306368414	2.230969683574477	27.09428135696581
2.519041248191493	2.3961240155476347	3.741732862291705	3.6421855263110183	41.573615057956616
3.1686323905778697	3.046289283577688	2.128082548853854	4.982994701299108	61.21615570692494
2.5543754848328484	2.022351505684158	1.6062738594525132	2.3119534380819005	15.345602333898896
2.3444462323542914	1.455254973669498	2.6930759414229493	3.8744906759053164	28.58126483068635
4.473003378807612	3.0594155613360585	1.4866992730024444	1.8871984987036925	33.84233311858611
1.7652064027285137	1.598207609597567	4.247679596875736	2.1779912650462983	22.365778948126174
3.0145340076968625	2.8604919231711183	1.4669932459540969	2.47991273312444	24.846468149596546
1.360691804334917	1.365162511698878	4.666515478439095	4.114587194773481	27.60154016413892
1.4786038024494317	4.8805639113835415	1.008111711190374	2.0303822440445964	21.409181580611648
3.3345890750948115	1.3748860004731296	1.2461303273565214	3.014086291783471	20.88764668610336
3.8368612091566	2.547040174766259	4.87254116918253	4.29491875908536	93.38037368208485
3.977439543567794	3.950222275856752	3.75417566720152	1.383380671398831	62.86707741062219
2.1367601620234504	1.1980355316924034	4.855769847434091	2.346094576359572	32.604769580993725
3.124371311402096	3.3809111003257613	2.809202393633788	2.322612846093981	38.61208730229223
2.8328187874784714	1.102627545989269	3.893802340379689	4.221389563622762	48.43782173995729
1.5487911400110228	2.29612995801917	4.022163183413548	3.674056762351814	27.06412043301496
4.747394076995287	1.5578321524915042	4.115785182159471	2.284062802854517	58.35371365791022
3.980938139568692	3.8924881798754174	3.239975465850806	2.670648505913167	65.25010139955916
3.4412935058887038	2.9785548568749265	4.074687807162192	4.0552905639102	72.12994431462883
2.9573295334645766	2.1541760087495767	4.660860558558407	4.780914147969677	72.78170672848113
4.469244819230847	4.094499308742568	3.9414192504514616	1.538424566228413	77.46644936819301
