m1	m2	r1	r2	target
4.72573547567532	1.1687314706702798	4.653194357381012	4.055338141653307	4.5346538039065365
3.3778621942921463	4.337461759302913	2.439455528353025	4.412275005436729	3.5485507641883616
2.6621306824638657	2.817019289222495	3.2240151686334246	3.5055275185646724	3.3687503417914253
1.0066822231505457	4.118325502311384	4.546212426314992	3.5064896207443152	3.7107176963767032
2.5260560711643136	2.006097495641085	2.1197201927878893	3.006118769567082	2.5120727330990884
2.669863766855228	2.600632315254414	1.3253638620861476	3.877557826888844	2.584698466696352
3.7403594397866256	4.876736859505717	2.3350542577172244	4.845288100453377	3.7556894092421533
3.9741478739167615	2.3726408764190303	4.869662801569292	3.1427975494225397	4.224103094686932
3.111577283280996	2.844080482195884	4.18854309242322	3.4319147352697	3.827220795609888
4.834388423929907	3.3102016984735525	3.825986601179107	4.807119958249633	4.224748141808424
2.7331979429628883	3.0455045908113454	3.0260395449887176	1.7992905258810912	2.3795155635880936
4.7608862352780665	1.231029941511355	1.9986246129444751	4.389491593419866	2.4898245483736594
1.7566571120175003	1.0382828126525432	2.956938990811288	3.879400653826552	3.2996211649738325
1.7921350653629189	4.626658433378394	2.9018259905131822	1.4830293636846426	1.8791591326290176
4.435947992778323	3.7536530287880434	3.197785927520492	1.8030776628117648	2.558530011595748
2.936783880008306	3.9315348078678864	3.081033083130372	1.0171409559868645	1.8996284182780676
2.2734736646677587	2.9621077114984704	1.742428168435528	4.965047663649528	3.5656728803701947
4.137823440025558	4.5818147163923015	1.6264106090165351	1.1136349486210468	1.3569678838871004
1.9671126844318056	3.3663378113374343	4.142750425927654	2.1228322343062955	2.867829623783302
3.7816766191321833	2.3921757084223487	2.3392677733279403	1.5863432030838782	2.0475329258367614
1.165821776949311	2.30996689681471	4.107080751911264	2.3969353154284025	2.970538885360964
1.5123936454162652	3.073508271741542	4.525513856729164	3.8740975890862415	4.088929445829163
3.647235431566485	4.166283753282698	4.683967501598978	2.5373058568533597	3.5393358288898504
4.496867063921959	4.51262072562454	3.5518081321294512	3.740594661220522	3.6463664492941135
3.481667434700402	1.7665538902219158	2.311680351038124	1.8037030690355882	2.1406949470109384
1.569747943437377	3.5231810940953276	1.2433772112505437	1.3160860558927423	1.2936756593398595
2.828791162346315	4.756458667188972	3.03112533596606	1.7399239815228316	2.221455778410577
4.692543647937997	1.6009890005529788	4.214726232712675	2.8396487259297047	3.8649252407697463
1.9682508421449276	4.697516018057098	3.0307301587059885	4.5853959388835825	4.126338144744694
2.02091423867554	1.6178372103115413	3.7173776944962516	4.01751035891491	3.850820662320179
4.134520964260842	1.1826648515500762	1.5705935777689617	2.5262979438184074	1.783164287417417
4.402992878961668	4.139604897979879	4.740187773844658	1.1268974458585137	2.9892456447503
3.0808752101949763	4.183352606260579	4.9282485436621934	3.2153443016468426	3.9418143890398127
1.3387244763321775	3.1113744099429184	1.5311393588601818	1.9956136518274372	1.855885722063876
4.399395361671083	1.2992728351512792	2.323807058670442	2.2792529112904867	2.3136488969061935
1.7137231615668638	3.975090532279789	2.0479905543220727	4.2749618700401735	3.604099273850886
3.72391924024513	1.6526889031725287	2.780360298992369	1.8607925003630053	2.4976989154637748
3.381870913939002	1.0652457519073804	4.4273193519169585	3.3541354883950847	4.170252888963113
3.748017798387537	1.2829214474576234	2.0679128057083496	2.899012485166202	2.2798485003467204
4.513796420730829	1.9337683602189628	1.7175615699872102	3.670158382098121	2.3031888670840632
4.834552626709717	3.6668660205884396	1.0288042311914722	2.159552390881544	1.5165230669093408
4.353561240920683	2.024456938724652	2.7732961107211422	4.164335209132108	3.2148280530104563
3.7519434599527774	1.3357491935144299	2.6744358991895516	3.978028950610721	3.0166879740903783
4.187650466452794	1.3161270966310203	2.873429282699353	2.1687005723982606	2.7049063835141967
1.2340197894474407	4.617338879378339	4.786315025925108	2.8925377360071582	3.2919250894120147
2.6713607064309226	3.6896913344924633	4.050750305888238	4.2010572612489785	4.137934983381927
1.1438301813017433	3.4889785842194607	4.638435081120769	2.817790900104669	3.267303899466153
2.135780658631902	4.191356484428386	2.905289538957165	1.4712846528344568	1.9553455844872136
2.844026753130543	1.2572031915172992	3.610836219600299	4.8723468210833	3.997543421030703
4.0511486226959175	4.473940526649037	4.131763908927361	1.6366236534143117	2.8223219883497905
4.1057058699060525	2.9231054778833214	3.09511194803209	1.074269011141859	2.2546943060614453
2.6306268740203955	2.1280021898176162	3.3397710404581886	3.88144925327928	3.5820030798956317
3.319045796928413	2.830724025850956	1.1071614019250635	1.2430294300660223	1.1697011233596757
3.975991380284004	4.2229533692035055	1.4039636593798073	2.306404186795526	1.8687752152808528
1.2561205784405702	1.788948658938304	1.4890929830814792	2.2245613523115244	1.92117352058616
3.1408672688681962	1.331317916738166	4.0071476132324415	3.6896874938048505	3.912643399452554
2.3733639968887545	3.7226860043621586	1.8998767066625653	2.8648367158449517	2.4891506004487582
2.2432825088906405	2.4133479319907796	2.545723580080538	2.512162223622356	2.5283300524576275
2.4380569405754478	2.6453363914253343	4.438885587987693	4.6457420288792095	4.546531177292441
1.5071441603215667	2.0096075738248387	2.15414749379537	4.03488994548165	3.228876266550216
