n	alpha	target
0.6900266293998883	0.2725149337777916	1.2006174332038912
0.8435615846279965	0.6544978903287509	1.6766347113786058
0.21841719453599265	0.73720507084922	1.170150721255302
0.3090458240957044	0.3055582944573644	1.0975005566773788
0.6744320827076377	0.5137525035235938	1.391735464175667
0.1186517487741583	0.4394555534266047	1.0530644687717652
0.04851253726475402	0.14455984021544455	1.007029396939487
0.7179395052926666	0.9791072839778656	1.918051427831468
0.9406517563026452	0.3010008752600544	1.312644033394183
0.6521984167821421	0.0912114852473106	1.060691457126744
0.003830009360269115	0.5685285837099374	1.0021790514033957
0.29153235966943725	0.12693282166066466	1.0374671830334048
0.7431819769444249	0.052435102230108936	1.039481674396252
0.9833658948144504	0.5932369537010374	1.7241928762041363
0.5531924232560872	0.3962954562281055	1.2365108851114262
0.4103975953337872	0.6969810623635604	1.3161866243675655
0.10216996942651246	0.9242107929817036	1.0974953048038427
0.03668954205205055	0.05528985150884469	1.0020299319444486
0.04602975281442967	0.23440092606095664	1.0108283605841824
0.755694697648201	0.4970971259013574	1.4294254041750718
0.8852488684649391	0.9211473047548808	2.1198314485411753
0.33732629728621644	0.4538496894948069	1.161328311295467
0.7599607698295828	0.5464278941274159	1.4819800455599081
0.8399454407202861	0.33626746938465457	1.311802115253875
0.18638616369343608	0.4334600713283693	1.0830269008113549
0.7125108189790919	0.12774011537091567	1.0938639273250454
0.8332590194167704	0.40977380205221225	1.3853011113575455
0.2365622192980709	0.0890460919088586	1.0212138976232452
0.20352074879624404	0.27713125262159466	1.0574826718351618
0.33382392351581003	0.7213755240011728	1.2618296868543135
0.6078364210737701	0.8979080404313862	1.6671547116140322
0.1218586749480538	0.9414366865820398	1.119283725388447
0.190135977978382	0.9393405344596436	1.1899084692788104
0.156469272072829	0.32485164899216745	1.0517053499828446
0.31670922476593044	0.34680877211882954	1.1140117956477504
0.868350396898919	0.3301177232653183	1.3169425462876732
0.2916112583735363	0.5439444746903997	1.1674753302890784
0.2565223109883358	0.28273451047044296	1.0743245737324258
0.8226842957926876	0.5303722404279637	1.5105907485849652
0.05645126244925569	0.2561945217443509	1.0145325632707596
0.6609192510918678	0.91939122983139	1.7619809108349056
0.3700590668497977	0.3355375161698221	1.1295298859836276
0.8314325970488405	0.13945846942581142	1.1206119833323098
0.9194868717087648	0.5579071856259693	1.6188008760679256
0.3692723120560378	0.9773725653682362	1.4102749810481263
0.033221807866393394	0.47594635961141	1.0158955777378698
0.8054989252433593	0.20027802694855312	1.1704918635548114
0.2103010833819208	0.9552085142064568	1.2152978273357038
0.12298926022431632	0.08321185863827107	1.0102691971549589
0.979925741829165	0.821982844945524	2.1011286357619547
0.4275811669274654	0.9321107994518009	1.459613084845122
