q1	epsilon	r	target
3.0225155483077293	2.8978951055581805	3.763503353821347	0.00585991617358612
2.0469307096476306	3.2520074523597384	2.3172045008465143	0.00932852583689485
4.087595464203723	1.966535159786996	2.9036542211601386	0.019618533201452
3.3430836665904247	3.7402512884828196	3.3941529492285984	0.006174101754982022
3.620362351303216	1.8122890996939904	2.0381136157759534	0.03826995194981225
4.8601930972835135	2.6151129667383333	1.417356810917517	0.07361983100193388
1.4175791319165891	2.0003499337603583	1.0395152512537664	0.052187890231154034
3.5473810739739258	1.1139769429363788	4.134483964526675	0.014824469297328773
2.1915779996769733	4.9164734818133855	1.1700797707916837	0.025909702419791625
3.43550334155918	3.1879658730093383	4.23416510386837	0.0047833402075917394
1.7755553520665144	2.279059959612338	1.31371865147102	0.03592227795087237
2.8859547755971007	4.494749942593419	4.6468951187940135	0.002366183276946925
2.2931627930872454	1.8316166656878523	2.313905631510892	0.018607976549039302
2.09656702153408	3.761437274622791	3.718445083831248	0.003207911055583841
2.790069719072984	1.2159243478660455	1.8158690414419032	0.05537702082181399
1.1387572447079033	4.664792188706889	3.589857126467756	0.0015074213398102347
3.6287126004725967	1.3619928724377242	1.8526322860743882	0.061771680621106426
2.5891575650163654	1.9470581157478202	1.2751453428683113	0.06508041652227736
4.432505296796038	3.741805810132892	3.4712032621944218	0.00782344553921355
3.963346638932475	3.0252430481711934	4.825242985930979	0.0044776850808493284
2.589692515560667	4.200331698143261	2.4971404277755918	0.007868080928649678
4.798503685424282	3.4426296813590858	4.579909267015958	0.005288005660819968
2.364728920186641	4.113534413546727	1.8263979987906176	0.01371404336929895
4.470413658299939	4.290376332142859	4.13796206490807	0.004842497991756786
3.060832736592676	3.371640016709103	4.048166338646128	0.004408307036744226
3.421332140202222	3.0116305616729617	1.5495635955958995	0.0376499902348001
1.8164200497845204	1.200290756502829	4.839429414460613	0.005141994902269138
2.0109908732237294	2.976874572899653	3.3197198784281063	0.004877944121219021
4.923165067834686	1.7360786814208438	1.3658240554714127	0.12096942446556698
4.094310035514857	4.791049438738616	3.053782932798041	0.007292289177685004
3.576811783857807	3.0142062165904138	4.7273304551317015	0.0042255314517389755
1.2815328200074134	4.8514940526327255	3.441856175645172	0.0017744302330204805
4.454919056771547	2.7301975711950384	2.1203789252810963	0.028880780076292887
