epsilon	c	Ef	r	omega	omega_0	target
1.81127319487972	1.155661542120292	1.7404283919886248	1.5891581270121584	1.4398176604994533	4.99767408478921	0.5495023495208371
1.952371835938755	1.8140966491115516	1.7357056367358572	1.5765586503955875	1.3320330153025908	3.8217563365119154	2.1241658883388395
1.080529968513535	1.8449151192689064	1.492670626312346	1.675990347256775	1.0155260213751771	3.5064207946588457	0.4381021415924232
1.6795912946479847	1.8908462205409708	1.8196177859640028	1.5296990138602558	1.4990108699912288	4.770089536035936	1.2375064015389332
1.4454613626179469	1.476831458906123	1.2443492959721576	1.1789427970981152	1.0250844759937898	3.318807634178681	0.21403987005166752
1.4881865558819825	1.1799255252676295	1.1712426388044577	1.3468686217411798	1.6940929424037536	4.44049416476255	0.5311229793787409
1.1537285167991445	1.4336561264983056	1.1797844662770292	1.6754364720786796	1.1896523277379587	4.268940908627082	0.1919183475945174
1.5683149178115254	1.724714434474298	1.6536187688593744	1.760073190035916	1.7537192986724366	4.406330123757302	3.4001351390148367
1.6514857176294684	1.818248234518853	1.540236513801231	1.47827449888372	1.0820604472789093	3.020051472174645	1.4144550893143797
1.0345361309769507	1.8135263691832213	1.4361123857284643	1.5717378453520805	1.673672306054696	4.85142654568067	0.7307387520415219
1.96990930336774	1.4906437743734324	1.004205392515906	1.1652591406748796	1.6920039494824723	4.350007761285339	0.5352171384829574
1.5770248514005054	1.3758840989426253	1.443209393630299	1.099202776481619	1.2689782740039746	4.944152969700586	0.11375304779055125
1.915400826861436	1.827324619595853	1.3668353444317418	1.5962250396838358	1.7121872040128707	3.0892477263655067	13.719600380251164
1.46753686092759	1.3728161759926578	1.2527149257875392	1.4509095899971691	1.7981376146453703	4.558435044549254	0.9466929277619248
1.2961130263118392	1.9299699023285304	1.067097480520443	1.5466171238852242	1.571343706708912	4.406827984625672	0.6055490765565057
1.6807287537028994	1.2847624631956904	1.0430021289180114	1.9849410239287824	1.855556484598733	4.801937230453988	1.1944614405428575
1.50854296812394	1.5644490161683873	1.8651138417308533	1.9671627218161631	1.774721256078481	3.1999225736096073	26.262929030490398
1.913594328030875	1.1355434901689931	1.7776539628654224	1.2861847177984305	1.6396137473450154	4.404159581959554	1.2318155326404334
1.6754214209409677	1.233484033911181	1.264343014309258	1.7389812911026008	1.6751663007858093	4.022732863199842	1.8417565115773016
1.8347004932262068	1.1911265239024802	1.5970606289965334	1.1867199331012939	1.9606205809024464	3.4650411377090955	7.292580789713125
1.8593012679499956	1.326404306513802	1.3805929823825769	1.1847066819479817	1.4610302416777063	3.3770053411059022	1.4655015469739388
1.9778660575731362	1.1427001136008372	1.2319063314157732	1.360948387926959	1.1142305444166407	3.4803098846316054	0.34706747781164365
1.385401001870843	1.293050786147338	1.4748480044665568	1.3095394682714758	1.1003139676961733	4.6949400123721325	0.0945421613578628
1.1044005227058928	1.410881439781808	1.7557842906889942	1.8008208848584184	1.4336409188932058	4.1108027480323415	1.2510810386174769
1.5778642875023443	1.7142116215732075	1.2074930903048706	1.991325843636328	1.2064523993829497	3.911194705110088	0.7243108109406996
1.954918982383405	1.4374723742314677	1.6484749923376136	1.432227877574234	1.425157463453119	3.8447557316419574	1.6648066607214176
1.0583491327366932	1.7026808343845723	1.5561724659461365	1.2305872050584619	1.6098533105473345	3.9417406490665017	1.1093938695484422
1.9917191414110016	1.7788357376232984	1.8416852176111944	1.3809830765828366	1.6374302903368676	4.328337376183462	2.6778193374134145
1.077636314512533	1.1406368578960888	1.8644141761792905	1.4430801850387511	1.34182350728313	3.7421208335496656	0.8113792084120016
1.478543550918071	1.2989049002094748	1.4003581092451962	1.1894667207761245	1.7424837412749759	3.9365995178730566	1.3252026162724584
1.847615229903468	1.3135498355707471	1.4884556857194984	1.0634728499270274	1.4351163655334038	3.2269618293118274	1.5483159504981088
1.5537586307531763	1.2200874645079198	1.548633835124792	1.9918529843659945	1.4044155406631007	4.694438521816147	0.7300680408214578
1.9345302641625255	1.0957898710306109	1.9663275257125403	1.6120770863238585	1.1362874322285783	3.993601676151512	0.6923020110472922
1.1972985362581636	1.6042370429349633	1.5617687903845878	1.1080474529465247	1.6012149544800092	3.3024026913550744	2.27599165451622
1.1208268583617431	1.799725790406791	1.2713893139783132	1.0523156494794168	1.2789284712899776	3.799483356368274	0.2469559663666193
1.4076728803031022	1.0401646704209546	1.0463413801242327	1.916973758384681	1.5206630604864937	4.165398586864056	0.5834665302894844
1.9147545592649868	1.4624824416464752	1.3034631382399111	1.4411340774231782	1.1738939365781913	3.233127207944356	0.9543611274265146
1.7438508188121022	1.5943741672945952	1.2652093061599048	1.660745915445344	1.3637926355851238	3.7884081098458537	1.1398334446566911
1.6044509810336964	1.8719807317252477	1.234160541788273	1.849372688036082	1.9103202790902876	4.374809222063183	3.637903419791144
1.44807732472053	1.093790845804971	1.433030158342148	1.7842643136739622	1.8980687892621355	4.717693560271106	1.6178902247464606
1.5905507593786683	1.6980746605112784	1.4268428640156359	1.4199195523467991	1.788412441633953	3.1745262033247226	10.038477848495047
1.8802385135748632	1.7093022750970286	1.4634816019627754	1.5944633882641344	1.4995572186595032	3.6317582352175246	3.0964388517450177
1.1466319349834737	1.5261910224511568	1.3031996188688977	1.8367426795422013	1.8468670379507508	4.782490101344324	1.290146913234129
1.4113089037840072	1.6865289684391227	1.6018922162397955	1.1205411298963366	1.852408549074636	4.2469069810406825	1.7733010582052255
1.5621260004011868	1.9823212258754408	1.8857140362166784	1.3748062236680272	1.5006931785154418	3.024546450337527	9.29847043555612
1.3675918506879805	1.5751258869819869	1.0807464199978458	1.0696512090604453	1.2226152325980766	3.531730002723449	0.2235522824304277
1.3321193897683783	1.9454446721844376	1.343713405737904	1.1163214307072653	1.4914054037360145	3.9767428779179017	0.6542956222359723
1.2913279444246557	1.2120212401313983	1.837610605363724	1.8029033119963096	1.943585604765245	4.775013741300536	2.8374836076326204
1.5052151330782209	1.464812288140397	1.9247616898266104	1.6386702542589433	1.7033045550348491	4.678772538812446	2.1445728735590217
1.099649748124147	1.321525290306525	1.5869199185103768	1.1761937881865414	1.4346853876542554	4.894876878165421	0.1873118840361528
1.9441106243858093	1.2027010286915674	1.5269081335603525	1.5998606476306867	1.093427051108104	4.4729570737737525	0.23607917949209725
1.2523525451109054	1.1575033500720973	1.2497038022058191	1.2624945117631832	1.40312089595282	3.7505184984088342	0.400303742556083
1.0207502859662605	1.1028003553527528	1.3765654888792371	1.7423435910580876	1.1833286175400513	3.408372619891004	0.5095225311717976
1.2022044945525567	1.2548675304270538	1.3069020051055644	1.3977137878408366	1.3476808458128329	3.4864809600439686	0.650658109254877
1.037918006037699	1.188023900095692	1.7191711091278417	1.9526259345435923	1.753112135315234	3.9101028114224587	3.6844214789140404
1.4515203403940995	1.4024600776811686	1.28868224184655	1.8084619324496056	1.5761542541327391	4.202955874862829	1.2403123133784502
1.5747774123734952	1.7191483562918748	1.4305077683410188	1.5481235886451326	1.712879565688768	4.7085809956504345	1.2937651859415642
1.0758559459481285	1.2548173045687017	1.6171404540049967	1.358465950702177	1.9248909063894295	3.3042639656059603	7.201355092668175
1.401176219038316	1.2697593528450009	1.4541755393315237	1.8594475759937632	1.7818515137102215	4.975766084689901	1.1791160762961952
1.2396403049684812	1.3359368223840395	1.0772223789136814	1.0672886898025522	1.840085755104781	3.554506893955917	1.228979620757518
1.1913407034392265	1.6503689414604603	1.6831135429258066	1.2528400960592876	1.0304892593091886	4.862330414357425	0.08099091936654246
1.145864558146239	1.6525680608701443	1.167131254593729	1.140612879893816	1.5638078011236884	3.7066497939671335	0.6591036994383451
1.5885489172820946	1.3000287604880878	1.1170189135756063	1.960382433583596	1.5115633717424397	3.4611683340056048	2.3039176870579263
1.4737139457910882	1.9398791641693471	1.6539176279014582	1.4354849112029593	1.988591512487964	3.226296343976025	25.337263210835285
1.2539721560150403	1.3207233143657098	1.0796980624796575	1.0322274956127404	1.6470836197695031	3.6260232758090765	0.582382312478853
