pr	V	target
3.5050277679496395	4.780071239089807	25.131423638680825
2.290557929587896	2.9556327255408337	10.155071964655562
3.8637908817943263	3.120462870845806	18.085223981027656
1.6163499176141447	4.641217394202407	11.252747029122595
1.0604797982104308	2.9817521290154296	4.743131844137709
4.849789984285437	2.8734127470534645	20.903172542066997
1.2391376821008897	2.600069841296456	4.832766774666776
2.3596931308463267	4.696359268047206	16.622950057196213
4.657876175247666	2.0934569057511183	14.62659456780875
4.481850466658829	3.6535769399826585	24.56217827015282
1.0046958908169632	2.9514690387877898	4.447993222715377
2.487122917444478	1.9367298518768503	7.225327799252646
1.5268059457769019	1.92044178566634	4.398212905310667
1.356908187069782	2.1055724590353395	4.285602762200559
3.703795127729674	1.861165892521587	10.340065746927156
3.8062952424654366	1.7505390248620794	9.994602543123928
4.18874769582454	1.934073039360332	12.152015980765436
1.6719146543590635	4.154485411303913	10.41891756071993
2.8285235553217567	3.089532647627756	13.108223803126045
4.462927994182733	4.858685517502668	32.525945416489314
4.429100916695353	4.1129284716638415	27.324862896223106
4.588490922788775	1.7951382388461763	12.355463271145062
1.765506675658863	3.6351514999095933	9.626826360182577
4.459966879646117	1.8773754227452248	12.559548309157993
4.4779782304080005	2.9332045825288926	19.70223939884605
2.298535905752868	2.2158523089288686	7.639824140877599
2.6732665307732404	1.028838686797804	4.1255400404718925
1.2427252147417218	4.329828631642586	8.071180824079333
3.98947936679022	4.572345571730459	27.36191747437995
2.046139988624525	4.12556466426957	12.662224252827425
4.109675125712985	1.0490705129301388	6.467008488161929
2.0783799549586317	3.8130770514897567	11.887534365793607
2.574076173243569	2.207046483864356	8.521658651034354
4.537476654187321	1.4087280694452469	9.588106090809275
2.873338989101579	1.6642465297002014	7.172916661896879
1.7099616947714749	2.898875631695246	7.435449432158
4.21595472309207	3.4386947219038926	21.74607188112373
1.4003923566060197	3.1835534172287416	6.687335808501158
4.15920303171813	4.3014365568537185	26.83582195201377
2.1384162179982047	1.8673911578476563	5.98988930593181
3.2416183109067034	2.8618264604388157	13.915423585193672
3.0755812893611325	3.0014614090087792	13.846857825430355
3.2302412138377763	2.439946801888938	11.822425078549983
3.2079638103328434	1.102798116033462	5.306604669507878
3.3092929504099033	3.198331491326433	15.876323785980832
1.658029791050862	1.625897737151481	4.0436803280990095
