h	E_n	d	target
3.4841871095776815	1.8945638065607409	3.325662153840384	0.0073374932416811565
3.797072631878044	4.1939838093355215	4.917607372089785	0.0018004191551056427
1.9904364817822693	2.0910926746381833	4.779335630077281	0.0010505060866140006
2.6494747806636028	1.3947401225973963	4.3185183738632364	0.0034179602658527264
2.7723948656917248	2.5033198559017156	2.0206942479753844	0.009523638123080434
1.4541956777980594	1.0509387254938218	3.6780101594395607	0.0018838777731111733
2.4470221407262147	1.12941570428355	2.5943614134501183	0.00997634111894839
1.0217409274224765	3.5408204889489627	4.91888586346786	0.0001543314538107451
2.445252556823277	2.6093634813209	3.7515391829956464	0.0020620735771807387
1.0678705313528334	4.121383156686788	2.164368127542632	0.0007480699680967327
1.3367038641811515	3.9836228780151934	4.300006514738143	0.00030723043069643655
3.915288062762603	4.062524165769271	2.218682893209569	0.009708480913562459
1.1676803879993172	3.307848926537621	1.131741633105935	0.004075848080102058
4.662019437359007	2.74193081782728	4.239534714408046	0.005585544846388064
4.650420069422606	1.6242537755326247	3.9543176583401074	0.010784441098786651
3.8472962888762683	4.631448631762486	4.70227829958353	0.0018305771016518821
1.170958487958213	2.4109741449817337	4.103015419627398	0.00042785283536946956
4.653790417475454	1.998753662058008	1.083327964063492	0.11693505645193818
1.4842461781159892	3.0260962850224735	2.605510865966235	0.0013581684150296288
4.3984030512985015	1.3702811623453703	1.3548332664309948	0.09741344993866742
3.1322937991600486	1.2907016639273905	3.4673999241654894	0.00800758409801817
3.2148040682601398	4.996556221533928	2.8041566521189925	0.0033315318121063977
1.899408813965828	4.319288270665586	2.2343891654502994	0.0021189335722823274
1.6644106348572207	3.881281725802055	1.7944444970675626	0.002807346403888776
3.1150942758504776	1.5085161041734303	3.7974708605010736	0.005649549344745224
2.4596102433970346	4.484411916644507	4.2904797839807856	0.0009281659577171687
4.1093139314060805	2.140755354718179	2.8311320804730444	0.012464119603156423
2.070469779104241	3.143966717074505	1.750450473255286	0.005635993253386808
4.860421364164413	4.755621920966735	3.373561117994445	0.005528071155890846
1.8491472479372173	4.105424331902366	3.963941716938656	0.0006713371585180804
2.641891291450186	3.0086798845060647	2.0586968410450157	0.00693233235075429
1.912345336683555	3.0081378676228074	1.2911431571854468	0.009236264839314988
4.313468437429597	2.498341707519788	3.2799917445233646	0.008767306253698395
2.5267571290877853	4.339201980936128	2.273597441654089	0.0036049583971357172
1.1291752032591809	3.080179969182849	1.1752592441288812	0.003795679100043281
4.4642433488471385	1.0850849963612066	4.7133146366071585	0.0104710290793039
2.925320181436296	3.316405481627891	1.932399601483444	0.008751763626600687
4.28645565637032	4.137493761372856	4.8346580239935015	0.002406235147864732
3.648012374597824	4.0872757353972	4.249916983691629	0.002283116342439261
4.667673196283326	2.838066299337044	4.990016793613684	0.003904672373904762
3.3818219330239105	3.640288239543485	2.316422832607712	0.007415497516569431
2.5615413490119647	3.5091873126047526	1.5749082692391625	0.0095476377290476
1.1314368499677503	2.3546712331516795	4.5685425816741505	0.00032990224709001704
2.4616956260332525	4.922096504164112	1.2245546076205551	0.010398544093587364
2.266011852826663	3.6160720397084174	4.736509984941415	0.0008016423153719112
1.5080482399087862	1.8518121364158568	1.2554302033443978	0.009868670851196616
4.613563827533136	1.6057355109636036	3.3666207346738046	0.014812246630677185
4.589547124960252	3.2809313494083967	3.855749320690297	0.0054693436254078225
4.294668885196002	4.204467608215558	1.0966922355597557	0.04619437448591462
1.6196464197877445	4.264529959649715	1.8725582238188931	0.0022218199812102553
4.830212806896943	1.634436599830816	2.8232319442508835	0.022682013274472862
1.1855626910282813	1.0572307698985943	1.5088056555741236	0.00739644299202213
1.349506849160948	1.961148193879521	1.2858070173552454	0.007113747700515817
2.7454723537319614	2.1920091368265657	3.3525958895077896	0.003874713900690678
4.0976139592642165	4.005488509445495	3.744724000858284	0.0037859705401332975
4.19670708801941	3.6223548732997495	1.045223902259108	0.056366091885774426
2.4169932043374693	2.9364659193062	3.4431106178853006	0.0021253683561544725
4.762544715946089	2.096305493567344	2.5676327565293318	0.0207858607130777
2.836806484668022	1.7327757371898262	3.578385558195968	0.004593598851704606
4.8167623363320935	2.1574037313198415	4.239660142622734	0.00757752172462516
2.8963388066756783	1.251240992674037	2.3411953954988847	0.015491472745747041
1.3200682858988422	3.1355518873981323	1.79053791391209	0.002195442300407505
3.1485576241956545	1.957621423187229	4.8808818305326085	0.0026922058540193995
4.101476262645408	2.797750348411268	3.3570243821224945	0.006757292568413303
