m	q	h	epsilon	target
4.860708040309508	1.59471364168466	4.201189014177164	2.5054087941721157	1.1386970947753317
4.942160075083855	1.3373135644145382	1.1397607694457077	4.537652541260309	0.2122880104091321
4.628678261008278	3.643301071811027	2.3868176263772374	2.681912582495685	0.07915641208389114
4.663145612843788	3.574445567483373	2.5975930063259782	3.254920365596808	0.11733737135538196
3.4835766373300685	2.6822491202544643	2.917148286841289	3.7631784904347714	0.4067226559600201
1.6385303651301908	4.761039654501836	2.8840309015661147	3.6858812940543535	0.26274423697828475
3.0111537532531867	1.6513292777448454	2.5398045537771754	2.4760054320704885	0.6191587602385806
4.634973790232172	2.420234594632234	3.7415390248833433	4.8497483937642905	0.7959901294918102
1.9396349739849792	1.4843539144613	3.2076733803273267	4.305940671100965	3.2999208135780878
2.8391950026685	4.314852710955602	3.429757070257037	4.233085602424799	0.2998518450083874
1.3598687553388844	2.265133445323126	4.592277283241543	3.4576492482642243	3.3266161230732
2.3882127812476166	3.8787765667564558	2.7598772101969877	2.6631114472646544	0.17970346228826276
1.259429341690998	3.9647051230137618	4.4073404114627985	4.96837389315932	1.5517508732814354
2.190719299864716	1.4685667614772604	4.140861919374268	1.5745517020525732	1.81892347258644
4.753565378359252	1.9869822407163664	4.735794973931147	1.2519585237470623	0.4762318209888889
4.989290247360696	1.1560741976938822	1.928792064427788	1.4839849556267364	0.2635361885788865
4.446318613191695	1.2470123960328787	4.3651220024688895	2.3525248217187875	2.0636450179225534
2.2631633669982465	2.8424529967525864	2.8678239027113763	2.400183306777369	0.343634698406358
2.651716245766082	1.36276815920957	3.979630341329327	4.929647734210982	5.046386098900285
3.849082229088269	1.2355455312497137	4.708761890844696	3.56868062182492	4.286438253461544
3.2495869545233305	4.209171481586386	3.7290895704805553	3.4973715287666125	0.2688909133886085
1.5048065993276682	1.975706384206663	3.172245108060497	3.0834559915604216	1.6814960860398025
1.7863571603178166	4.594120028268431	3.8234254188857633	3.1053980866769137	0.3832654617766357
3.2143043342140265	3.8759449745598458	4.760813224059153	3.976743136083837	0.5941522621131833
1.3968033639337392	3.059661288390036	2.377283952214845	3.5207425693278123	0.484355839752679
1.5809386266908296	1.9951290624328064	2.6893752526290142	2.5975805325700168	0.9503092491472842
2.895029641705288	4.9520275248339125	1.3125714345720776	3.3676173967789658	0.026013551842027825
3.740162621186841	2.8337482131561003	4.917930594606311	1.9473103482824472	0.4991569077482842
3.8854611721318686	3.3214289169243205	2.882062762005221	1.5520795728196781	0.09573670596162882
1.382783596435842	4.659490870784762	1.064262080466539	4.124433189018676	0.04953137999536323
2.1871227534711206	2.202588476776225	1.4437620278703664	4.480456169111088	0.28017133964749064
4.0278286676277	1.7899069335009608	4.295033344646393	1.8995832927161096	0.8643898505403596
3.1543173069971644	2.194848588187289	4.34052223665974	2.686377434259092	1.0601971161945656
4.310261124559155	1.8987803668682304	2.0200146862887065	4.191893963692096	0.3503615371995573
1.3934139837662072	3.0275907409946687	2.2994638828730363	2.7745807849359165	0.3656168354611202
3.3348315198083562	2.6037608068892992	4.0575614099972865	1.2592957455712726	0.2918985903777409
3.0342193433941436	4.027448210670638	2.801233342184601	4.535543280379375	0.2301818706230415
3.227748955651465	4.8816632818964125	2.252968943189121	4.870745206002523	0.10231058304009223
2.403255318757899	3.0060960450199183	1.8380197413347081	2.6237512487857817	0.12991745735235838
3.2912412963373083	2.9139549514005263	2.008392141916247	3.703912370962248	0.17016979163034596
2.7734535397819498	1.708893792086426	1.8035315333201216	4.367189905047638	0.5582755980054513
2.2323441124836125	2.144023092555999	1.4021427352929652	4.874781676019769	0.29728273716737474
4.666644708574731	1.3014283329824603	2.889232483861591	4.518143851437591	1.5189025361055342
4.572543693533693	4.727352312711409	2.9735876409782938	3.5886368406717013	0.09884331917888994
4.729582354934992	2.3580494195993777	1.8167594862467056	4.5904480697662	0.1833882395805763
1.2033143659450103	4.804033449037987	1.3567454919361392	1.291330629997085	0.027245401197308085
4.963787236383926	3.0740619907798417	4.553433962455707	1.7472081269008377	0.2458297576995167
4.965396470976853	4.6501612936966845	2.1351816494730245	4.620523003198055	0.06244834821070349
3.7068159275642074	1.9019818268435271	4.019103452637663	3.1921817487457207	1.2240026593947548
4.751576496509287	1.7695315700625134	3.1372097103122734	2.8771234061143494	0.6058168697124655
2.63535148791866	4.741132050091768	3.2975674902551364	2.1385033241919995	0.12495245482105267
1.7204901173635694	3.6788736051456032	2.804657801119286	3.3217926814595113	0.35719098970482666
2.0499737941943725	2.9225615556980378	1.3355901571494029	2.8209115437050336	0.09147667518709636
1.3807115709800248	4.417809070905164	4.3058673355410155	2.0813886383432445	0.4558350829984345
4.279548245610043	1.698961224601185	1.6945794589087586	1.1692519143053817	0.08652014357787195
1.574828786845455	2.4655749245135667	1.0832065719518216	4.686809695574595	0.18284381141688472
2.265576155686412	4.58389575153722	2.507634004800711	1.568293588006867	0.06594132438778197
2.93143335037382	1.5614822591974558	4.585432293627046	4.8958808535763945	4.584451735543071
2.8347096377502514	2.8278007492379023	3.3125586757363297	3.1884661241505987	0.4913069449743087
1.4964581758200095	3.7152364567023377	4.368015253502928	3.150061481595647	0.9261897009064708
4.1501630803652505	3.915908318128916	4.196339799957976	1.0110929708402012	0.08905377244031785
1.1361954382831416	3.2917499079140384	2.6620905956041163	4.852528284182165	0.8891134082965751
1.7402145905525457	4.663289895721372	2.719914160314109	4.759303104955556	0.29615307985305944
2.0929221420199315	1.696345114605638	1.1279295222945072	2.295612431932877	0.15435870482802144
3.3691764724126467	2.893654204745492	2.8486878339544366	2.579701891314852	0.2362067746306568
4.861121993582071	4.377050798401907	1.576187111019451	3.365481443357396	0.028576772490399555
