n	T	V	kb	target
1.4936278278432984	1.7303581032133133	2.0016177749754234	4.301209886884715	5.553769790548212
2.2737921795080083	4.9117436135383015	2.212718211384019	4.529757193136066	22.863108145944363
1.1717855445816652	3.9092838528418237	2.0294791414371542	2.1236502360520544	4.7934007553871485
4.3123056110672495	1.5427237540606442	2.5486573941546093	4.963608783381206	12.956383179771436
2.3852904464323843	3.8553544579098213	2.814530975163615	3.4363855488374435	11.22797489750165
2.2900038356377586	4.981641668786273	2.521171481064516	1.0103341740854326	4.571632930145421
3.589963517296182	4.141516519556458	2.3632213313388233	3.664383248000532	23.053980638524926
2.592875447326306	3.8167478989403607	2.8526850861476163	2.7403971687123048	9.506809883194578
4.644874840710843	4.466422792891733	2.2972609313816603	2.81447883985078	25.416837266594037
1.7265484032667833	3.986262280247949	1.7261153375497544	3.1121895855051287	12.409116500611301
2.322892775850983	1.3399755846315964	3.848603902883773	4.153157941071924	3.358932526633873
3.214507087548206	3.567118603318221	1.8931947772092304	2.8275314548656985	17.125532502135027
2.4420870568321584	2.528366827966205	3.189475210588089	1.928381011676183	3.733144847085727
2.3190728996732592	2.3490893287057246	1.1490082761270504	1.9327529062093445	9.163620833677143
3.133227001048966	2.011530104269102	3.947399220582012	1.0136839037994312	1.618489537917282
3.495945876481163	1.4150030053313851	2.9017400445614823	4.471589561204649	7.622992511460898
1.3617672625101291	1.4323963377504632	3.180652381956867	2.7276387311674517	1.6727719326135535
3.2344397965674405	4.4485244720929185	4.285424667143725	2.0457028110179047	6.8685289452738285
4.8347349732351725	3.8454944055447267	1.6366190293308949	3.4294616797094064	38.95858853922876
1.0011473119178875	4.580327009720574	3.3958006545969646	1.0079636929626905	1.3611223718088639
3.07774616326588	3.6766292087965713	3.737720315675801	3.8972769799567364	11.798779986804647
2.8657130090791565	1.5512777755863216	3.31516458926772	3.4507662832821078	4.627353914044186
4.933316358952759	4.378097941549685	4.771476279868674	2.0722558458294698	9.38026361279254
2.0878323463552766	1.4746749533360637	1.5983524003673786	1.40944993801513	2.7149950556647795
4.974416155696579	3.8473705260283046	4.618901348185641	4.86011881887959	20.137906919426012
2.6163416462021565	2.5536000529686267	1.0700240678267492	1.0754302531866529	6.7148456798057925
4.894761790539136	3.6799316312673342	3.113039484085369	1.0428008782210232	6.0337605396596015
3.3385827118625944	3.4540581127996477	3.3675414246499686	4.123735548042782	14.12113613979372
3.7804259067397568	3.634326142395625	4.575815658967084	2.950210873595096	8.85827519033673
2.531507369539589	2.8268029838607807	3.667794750814034	1.2396326735298415	2.4185926406158083
2.729914947081302	2.4096801901398863	2.2920195247364177	1.938153597924156	5.562607315982619
1.3892057848559691	4.649972571848808	2.4284072183910728	2.1680968412444765	5.767321154465878
3.45485599444777	1.7300550112083606	1.6517413190316734	3.990331590595428	14.439654967673693
