rho_c_0	q	A_vec	m	target
2.888038262973773	4.419259243879372	3.9192676009645684	1.6505049715241968	-30.30682926720633
3.9140422803591095	2.866069313216121	1.1539947237349972	3.783832738077824	-3.421244360996908
1.9597732265921983	1.5941703245559289	2.5903335574898168	2.4079132258922997	-3.3608985274018766
4.365382261162772	2.9241446606442203	2.523106853865534	1.9668500984173918	-16.375158587543382
3.48691833504074	4.799921113517573	3.029179398458896	3.198957528517409	-15.848654443086712
3.0014024600408415	2.8154586070139787	1.9776509695217264	1.7006468017698864	-9.82672722152027
1.5843728656595206	4.206862328580372	1.5508043894227006	2.3288597883998112	-4.4384300031520265
4.227816901224733	4.271726890828297	3.730298850914256	3.386234742777741	-19.895104032922703
3.910944250855793	2.9852842107503945	1.4885038598583265	4.931079806557592	-3.5243192580719405
3.1073457917626075	3.0661197786535164	1.9148661316980604	3.942032119505279	-4.6280384777830195
4.515840780066494	1.782919243980457	2.9863026515542352	1.1632887325673984	-20.668863254624878
2.926808430883949	1.743862424008936	1.604612895247731	3.35898270345329	-2.438198319940177
4.862075202010024	1.333306434854325	4.39053997833906	3.732563540808008	-7.625395491909663
1.2366131608231186	1.9886474441130395	4.794203846523422	1.9868356770092488	-5.93398175574945
1.4380831251796171	4.029058969385121	2.6989119214547483	2.7304221938853988	-5.727255002506618
3.7095006866234916	1.2788532423906882	2.6079789674592693	2.3529977346286333	-5.257977705321927
1.2903897084795668	2.7043748821785885	3.5691177556909435	2.4990883354997613	-4.983873994699182
1.2851591200899095	4.561061388392181	2.7765538600495603	3.7902538070215392	-4.293986056506433
1.3693096271106762	3.767223036224287	3.1347320240797014	4.284114939625408	-3.7745249561481193
4.5929983908033085	2.7975950304036568	3.330399462488166	3.8479844663743186	-11.121008141109991
4.214204021525648	1.9332553743372167	1.2375060553538422	3.284517825255939	-3.0695908591332643
4.188855528890883	4.7890654773775045	4.987212079683763	1.17359563855721	-85.24825676930301
3.432612296020785	1.4164868633726262	1.242782677420467	1.5240242018301884	-3.964976635454798
4.786466355576616	1.2449423013823488	3.8458517102746974	3.5095902099334197	-6.529807210054001
1.3690848011976209	2.3605894354076558	2.5766691424068204	4.4521636357488354	-1.8704165935779316
2.658756843979906	2.6326081684446803	2.330242940767611	1.1127302435172006	-14.6580484949816
1.4490070601635432	1.696140656859212	3.1421303790869617	3.0950383735894977	-2.4951147847941693
3.1905098630630926	3.1387909953352624	1.7345200596320167	3.292836463419786	-5.275111625193548
4.582245303431219	4.626694990513641	4.38708350581676	1.8574773853542037	-50.07276468721626
3.3225454207680665	1.3156487549772535	4.5155568818782665	3.7507469816395007	-5.262649358901426
3.8249760370860497	3.644357389447973	1.9127606158734567	1.3921650817571407	-19.15223946721724
2.214856319459127	1.5742709521813976	4.6145024546212285	4.300957370493162	-3.7409748082478234
4.653921773966172	3.311344261000088	2.714956436130461	3.8083721515430793	-10.986184744039187
4.855428270047929	3.5587233187849097	2.8224843168962863	3.666682958050721	-13.300866793983488
3.2427810235388685	2.8688678573820585	1.3223669369713713	3.940762106491413	-3.1217630166798704
1.7533051416013956	4.144686365342641	1.4007870788742398	2.307119216544776	-4.412160165351877
4.088605308195218	1.2273519273188769	4.275260033273132	1.2981192321538884	-16.526932286473965
3.792467566370226	2.352057958065741	3.6362898363221454	4.125227633450376	-7.862858647213286
4.154855857747986	2.7542335184829043	4.096211176235375	4.799946074902597	-9.765684754996824
1.3825375669848934	1.598009739605009	3.775671812177164	3.379640138965553	-2.4681988244564863
1.8437219447670752	1.5148101096083455	2.8444281101799187	2.258755417914955	-3.517056736969894
2.554452763373897	4.869439857263588	1.0914627321502444	1.155965175434727	-11.74467607023439
1.7040522108985443	2.6047709242359813	1.9911852559145744	3.0900515347723196	-2.860213010493465
2.064566455362688	2.636995175302001	1.6109128616709003	4.973099093379437	-1.7635311609381796
4.6483694909820406	1.2073280252089955	4.356386937637793	3.2723794086280438	-7.4711717439215235
3.085245171374858	4.186748275355502	3.746431760194351	4.4283624521458185	-10.92801287800562
2.543729872786213	4.591678966983363	2.221928118900251	2.778715113746105	-9.339604553937052
2.072629404897809	1.3421355915902544	3.9577178362894148	3.767293270556256	-2.9223581981538187
1.728641402298365	2.9970428969338667	1.60205884276355	2.3056776274997826	-3.599794818220201
3.2547275969031664	1.1655045708413607	3.8922655364658056	3.5741558628907586	-4.13102288436957
1.4113489820273584	1.9373482672613047	4.013012639849934	2.8915508115322264	-3.794738140152089
2.4152753477672047	1.100299729695847	4.79682223839879	3.2649030829468253	-3.9044600677164953
4.179429508794174	2.264510423414674	2.5281604949432954	3.4680464829543483	-6.899395796307707
1.1879390504677816	1.6443805537094711	1.2344511555346598	2.3250326031880126	-1.037149481123404
1.6126332218253836	2.4783143334077042	1.6213789745384355	4.8558209001961465	-1.3344855267655291
1.6739717289640588	2.3549729978395813	4.6364344058563844	4.1261781661935615	-4.4296579721794025
3.3530991744553624	1.2938831574410758	2.6156562340903844	4.671603254316759	-2.4291602832156745
4.900825947859985	4.047502918192851	4.77613293895626	1.0855245856589095	-87.27567005824548
2.134169317708474	2.1986727663752603	4.586625429245683	1.1908259304967137	-18.07317528228518
4.5314904547028085	3.6686811740446688	1.1897151220555164	2.510533628817329	-7.878217730886298
4.087224375408513	1.9884086752609296	2.1721766821329878	1.440845421907026	-12.252138158249162
4.662367973727475	1.540930029544913	3.226855947510096	1.6390778044557286	-14.143909683413488
1.1818410166739597	3.5438027024682053	1.381364612867971	1.283811956188083	-4.506459825195389
4.388529428174731	3.4271256343563654	4.974995537027533	1.1008412200376	-67.9699660353981
2.1851045797268256	2.2826197638359926	1.6819627721735464	4.1978933194428	-1.9984384726796247
1.6471554727090236	1.1452935858849735	4.772248071459669	3.3921095045307013	-2.654022310869974
3.318217624419622	2.17838728278209	2.7636516249124377	4.632320181462996	-4.312456085472475
3.450079278295538	2.5521461771530296	4.720514463735026	4.643814792820711	-8.950536381795196
2.8794236296252103	1.5097521815003954	3.312383968781608	4.740958214710816	-3.0372866174236073
3.092519162649802	1.4048667562692887	2.6414755140220056	3.4702831604478788	-3.3069620538497753
1.879505681675204	3.9662354102379815	1.5287148510479658	4.294939599451114	-2.6533317537659245
2.18293625200964	4.234134462374313	4.030983191811037	1.1866852734525493	-31.39649252184211
2.254932108128905	2.265273345833647	1.834341420299591	3.78299236687954	-2.4768447936558
2.374158592031665	3.5396231402667566	1.41873757373653	1.4610849677966629	-8.16005995885536
3.923100916165085	4.6851015349883065	3.2755946570824053	1.211428177375633	-49.69823556480638
3.33260909865756	2.3289046707005374	3.913015478403216	3.1123314998791907	-9.758022274356312
3.5181890150790163	3.3292382842077464	2.7880854817262604	1.2666306622286727	-25.782209688546924
4.802439598066284	2.3896449579250687	3.790307770513398	4.160402935107566	-10.45524883204734
4.604388877365331	4.336045167689806	3.903236252623147	2.416702002026236	-32.24538232175198
1.8477031206219787	2.3156385473539016	1.9472149761892352	4.629515354156774	-1.7996221713536766
3.797009701773464	1.7151417775503477	2.6245180530257395	3.2765077831631135	-5.216510585110937
3.1710911366031107	2.0115004707118493	4.036949978915661	4.703500376895889	-5.474709094069244
3.160346991106861	4.566183762120243	4.3646880821025436	3.8299768096300095	-16.44542958078417
1.3207190134590778	2.0559243363677107	1.945484307595286	1.1301029441482524	-4.674415175760228
4.949219327512213	3.988775303447664	4.264499787096293	1.7539240013159219	-47.999155713266475
1.030718321300612	1.1372132843139062	1.1267098139654266	2.0769757027296203	-0.6358615746561872
1.2987256029225678	4.575515388610847	3.5370044852364453	4.756158956629777	-4.419128927969355
1.254214944628096	2.095499819051934	1.3642740842458363	1.7050180190192823	-2.1029660195343225
1.9536220709269991	3.4279808907467992	1.9131562117355652	3.63059452110917	-3.528999766280044
3.5937596521132598	3.7410823574424468	3.92239006402944	1.5123573122186973	-34.869254884677176
2.896382561991889	2.5342049445906087	2.0121832121331105	2.897767694440406	-5.096847188445791
3.3215917457077015	3.161784451631616	4.145477686893174	4.62380300183165	-9.415725119627623
2.4473314247501947	4.21490444092486	1.6446568639398262	4.5012614918907445	-3.768960434566904
3.0807445225083896	2.9217862213176886	2.0527801278177624	1.6184705519579925	-11.41673063951442
4.4953208557477575	1.4515098388358807	4.928005154199661	4.4109169180941095	-7.289923230476216
4.439781445115108	3.018780277528574	4.181824878878268	1.905605907972352	-29.41208736088489
1.0621523588157906	3.4640656183767398	2.397867685745944	3.995370862319769	-2.208213420720744
1.9460816364374456	1.0496121711172863	1.3098110359614372	2.787905478817377	-0.9596668930553306
1.2514690986721253	4.5473743466816865	2.4724390243924623	1.9243512269058405	-7.311762674419067
2.8464684348265186	2.558250623314955	4.951444956022309	1.0925155556864388	-33.00302792807009
2.5310871826118144	2.128059821079829	4.331052306310877	1.5600428978315763	-14.953671115177446
1.7886063094310622	2.44043864068798	3.7221201026716475	3.417598334588078	-4.753921590380539
4.2630631571635735	2.8686971216444332	4.449582236912608	3.728754557986656	-14.593582075069358
1.9435278615362468	4.486872755666344	2.291996188408821	1.6189963279127697	-12.345325685061908
2.623817138940237	2.2129942873940154	2.055782100098311	3.8724904947911205	-3.0824821990521936
4.92193867087308	1.8949442884212016	1.943072771369872	3.1561966326014206	-5.741926883079577
2.346724761982854	1.7710453004752562	4.326049637901883	4.094976007893036	-4.3906817827095725
