g_	q	B	m	target
1.124212537795323	4.884110467636599	3.993242078366568	4.357022510965448	2.5161686209623255
4.250860585723712	3.2997391220090733	4.271831791419372	1.9480589877176708	15.379368821652255
1.8539449919407585	3.5210017243741865	4.556249971625885	2.8504462377883404	5.217083347154378
1.2495572593101656	4.18427188590643	3.6214977573954026	2.044216022388807	4.631348854577083
2.2411941246909435	2.4144211365399992	1.3822888774238846	1.4819272145197102	2.5236809176513804
1.4664197839658202	3.7936092826539234	3.70311282525148	1.510476448564103	6.819207425481659
2.595408450941618	2.7151951126797638	4.708638706267706	1.8310084625076375	9.061117847244386
3.3033739549904357	2.45725451094421	1.5288175142531522	3.6614038757562177	1.6946729528609967
4.572356160307619	1.2754929749578705	4.618244337857648	1.9985170993602408	6.738405860701902
1.5192289106949812	2.764787854850208	1.4155788135188088	2.2249638657620534	1.3361835646838975
3.063036417692385	1.385424301668213	4.7369156134888355	4.934119030556872	2.0369998254653874
4.399734581563922	3.5046391338153278	4.720975104446351	3.290882748006831	11.060100919162624
4.3680136497914654	3.7618730885483473	3.4966533386673637	4.834941342693553	5.941820115091836
2.5227195175296333	3.1449973558099247	3.4226605962523364	2.702900330808036	5.023345619399199
4.6912307712725365	1.16177283057143	2.926849440212034	1.9338901838664917	4.124265268913288
2.1852951958124427	4.448245136112668	1.959572354865172	3.0244184174320297	3.1491130939950334
1.2720086087615594	1.7866385990687137	4.45330073904435	3.1239913043306653	1.6198282756042972
4.960655582328533	1.3712620447750161	4.545239211708719	1.9111031136564849	8.089136413626195
3.6413452595153535	2.5298621870597997	1.1585743355125615	3.2625642031394935	1.6356620008759688
3.427380760411371	2.9422550940226797	1.3450831990201269	1.941710167692112	3.4928298152079438
4.6226311841593715	1.8621085584180848	4.956632639741904	1.0329974594243019	20.651505827677568
3.6360750823831416	4.677160858227343	3.7336349551673047	2.5414383966460066	12.492156610097686
1.2458390993708464	4.1705425044914195	1.7024647058648767	3.228568222695442	1.3699119749162791
2.8966413249412923	2.6072574812852283	3.951096751769251	3.465065112656556	4.305810509898956
1.7016201238200286	3.9747971424529216	4.75203895189042	4.876447735829147	3.295520398520821
1.0573245852566189	1.717656470081283	3.8152579136734666	4.343981611301427	0.7975365004864928
1.4857481402930297	3.0537245139769014	4.051964432197656	2.329195028589805	3.9464338276194577
1.8218934579333563	3.18046510350842	4.915999634307294	4.034130917818383	3.530575225266116
