n_0	kb	T	mom	B	target
1.1890012299344477	1.173024012548075	2.2321135500515448	1.1244500064682152	2.455490827012915	0.3693744155341252
2.6366660257886547	1.3622346856329406	1.9983285533190858	2.664322175588188	1.285482684483467	0.6932937378570563
2.5528028706551757	2.4817227986226005	1.3522559621564068	2.9098443632039084	1.897218696152924	0.4750112980752833
1.6340815476598616	1.4427701523056513	2.4088340433270967	1.1933827748944177	2.726463447410117	0.5553532005469589
2.4466676254828577	2.8528456477646618	1.705097235483351	1.887672072038984	1.4435282789655983	1.0536493444813309
2.9428893502299776	1.0273245142300085	2.0521277666289093	2.0660781152765564	1.5718477195111928	0.6029354757663766
1.8274261064132504	2.599624183233026	1.2526420776738365	1.7405272671349137	2.897204377951864	0.3716430429499595
1.6262628962813517	1.751805721239012	2.9276031816572483	2.493122904523453	1.0661686749149295	0.7149382184870979
1.722485080183633	1.96771429747998	1.1469454910002477	1.857441950231812	1.5624506627758132	0.4422958018134507
1.059632903938314	1.429554387030073	2.2559081810240484	1.3152530947231666	1.0333724915802374	0.4860114689085888
2.9867983787346817	1.927387917944685	2.2327205610275804	2.8755760676942788	1.4486334280745234	0.991455699994986
2.324268165702418	1.1178247664077563	1.2007091654753388	2.55629314953872	1.9316981045590675	0.0586419749791851
1.2940675233484873	2.653320010880144	2.993843706073787	2.872434510757823	2.3492138684940316	0.4678360256041238
2.4918601967065026	1.4685510388804537	1.6474296534938042	2.74077190748272	2.2670461506224826	0.1899334135637631
2.493005294248695	2.074168180034796	2.787754822507588	1.6527968198646386	2.654410772286594	0.9574384290963642
2.183444949313773	1.4137012239224962	1.3270190112106166	2.437255792149606	1.5009407349677355	0.3044904756184473
1.8583770641068047	1.8284755418539376	2.036433358774201	1.367385004463938	2.5260189129632087	0.6355666660170329
2.018919333401672	2.234264442064664	2.2829214518276686	1.2150356234427366	1.0230417887282235	0.9802080229024656
1.5113227857016196	1.6379790615239709	2.2582005610748563	1.2947955606508592	1.7734749385963309	0.6302595838429348
2.356989075340888	1.6680457210177617	2.7471085051999564	2.423865444817601	2.4893583014191933	0.5893397070251157
2.5416271572770954	2.077269816938352	2.700395909986727	1.1757616526690735	2.8812537836704677	1.0697345645323977
1.4256472044291941	1.5640901139165606	2.6314597264525887	2.4827151098884475	2.5010084849468117	0.3006579165454481
2.9955417598691803	2.0288858859119294	2.9934897209070646	2.9683471887074036	1.3505832100987467	1.221789470889461
2.5559134996768953	2.448296181708621	2.3796017306386936	1.5365478948894908	1.6104563461554462	1.1707533786322843
1.207368837843646	1.0170214581237484	1.0398987024300204	1.7120621337295543	1.2864277163523468	0.14816021387446268
2.6666375780363687	2.3596302727151675	1.6517256596276928	2.943326974854937	2.6161989207479035	0.3627813709606314
1.9189580999539937	1.8919040882426157	2.5607656339568456	2.752720847961747	2.929082564950892	0.35074027806264363
1.6173171780938012	1.7836158212478552	2.898975251468044	1.983377068204479	2.118486127119895	0.5995634901470577
2.4788820413137453	2.9971561037868986	1.3824213461411716	2.9961363596056825	2.2214550862574574	0.4780535738847557
1.4131733771889294	2.6142456481047827	2.4170622651802405	2.554494764528417	2.43486919772879	0.4633753980905866
2.1959457872865547	1.8701636863217783	2.7417100781533557	1.664618565050115	2.770015214324128	0.7665538262781025
2.758250150456832	1.8460847860605831	1.2221309932894109	2.5311489556910933	2.337847897239648	0.1991978683839251
1.6121711670704628	1.3202498918292476	2.2362748896822886	1.5695396012061564	2.8201887162014647	0.3429017568914902
2.6645113970189698	1.2955546209784528	2.1578589124095178	2.9131821919487546	2.1121635814874318	0.2913762904680597
1.1756460580093997	1.2824745180002282	2.136379541801441	1.7834951839545867	2.924902638623022	0.17134315837540073
2.015615818210025	2.4448839420484467	2.651448347678404	2.940436016926598	1.556798417801276	0.7999331241214118
2.1110034032474316	2.956704466656848	2.0960058812954316	2.5589450324042198	2.316284622220146	0.706813577816317
2.9561072799381263	2.612667346665541	1.572644090744478	2.454506274455522	2.8841775075026304	0.5114777732937514
2.4720321591560888	1.8477717998834464	1.3533624421692203	1.7303375940453354	2.7486642375786032	0.3609879376793785
1.0781797905389443	1.7532528015425115	1.9264699887316572	2.2830762865983214	1.624882624030058	0.3235251657722376
1.4912419778098278	2.525498880148721	1.0341029954387466	1.3279347069549274	2.390798590356036	0.40644324071481264
1.8910731544204404	2.7540088800871114	1.063809059081653	2.9659056254485696	1.0774319981970226	0.5709032246875057
2.3888552959219918	1.9785050844855208	2.3168811848368187	1.1963144004047748	1.4595957451640549	1.1127178530960682
2.4474486569545286	1.8118923088405965	1.6715342538752342	1.8401936238781849	2.9154616489828618	0.4045820692452177
1.3102825009661652	1.1355354074368558	2.615695489371844	2.1168479837723844	1.8562206252135307	0.32588406323940217
2.4078422933678367	2.1906792132808297	2.3233304319218453	1.7293198117673128	1.482457618349811	1.0658326816122374
1.8760618470724504	2.661468169306729	1.3656366672667228	2.9881941160916847	1.927659496463314	0.36905326924268267
2.765694218613749	2.7103732966111	2.652860890257001	2.9368013741176213	2.619442507117385	0.8488646704081071
2.6636142409558143	2.254812481199002	1.4545671845825219	2.0993600485798862	2.838456667667089	0.42178278457051255
2.081062615090815	2.8171609154742248	1.498380914959769	2.698014096288743	1.7584186667568948	0.6117398032208671
2.7926177277943465	2.6815620896671	1.5346060325360755	2.54545562835254	2.278874099430091	0.6436644592832708
1.8417063734219767	2.7663458988404144	2.6016455910084515	1.06602486715928	1.665694086769	0.8935198872884966
2.5431838036630188	1.7369552268484043	1.6258347650923934	2.7689969303925164	2.8938085829156317	0.14845816638848205
1.5632398694301504	1.469230689171586	2.2518351766808014	1.2402542301044208	1.8564826582120202	0.6242455245184875
2.3053321410856924	1.1234969397899466	2.111470187837112	1.0827389342024614	2.1053142309948045	0.7693096905010168
2.293429672285975	1.5050963789751364	1.823387178582297	1.1696084172241117	2.7219195279379376	0.6546051427688625
2.6784467998234405	1.5454342684584448	1.0656317826783088	2.6440429067206224	2.7933670592117354	0.030208075919754874
2.9095779654543685	2.467511418236513	2.820984899657533	2.4624650398572965	1.9680835738965743	1.1616758592590672
2.7229330566559935	1.09701020514497	2.5124090135782198	1.9593473127422683	2.001405378694647	0.6202892511636753
1.4957632854890759	1.1179362780067084	1.8783441835452075	1.4313890845663548	2.4079416041401083	0.27926642457415674
2.0735648645371727	2.3983558817430404	2.4522603931203344	2.214904996062814	2.009265543523908	0.7973990512151052
2.0186101804298366	2.8193907051922604	1.6045075934391324	1.7285973146168507	1.1013638001827135	0.9260764856549444
2.7676556395018435	2.6225024602906424	2.001555303835406	1.6710321984572543	1.2052003343011986	1.2878692238969998
2.13618229150492	2.2563958894408707	1.372370650508148	1.0291939592989228	2.131648901422931	0.8465859665158134
2.78289897281878	1.5448450988949185	2.1797069813015906	1.1536242727637818	1.6871365621599188	1.1874992914771865
1.5782039521325897	1.3999818473725878	2.504185940090605	1.491261633265076	1.6941898395880586	0.6207995946573663
2.5242056889968403	2.2223198835870663	2.3717301448659502	1.1533293474583672	2.3728447765614598	1.1091997315365674
2.6010998479861875	1.0404886205254271	2.5581808788106786	2.4924949995492947	2.1011019860749376	0.35668062556256114
1.7945562962141717	1.0117918056404098	2.330875998717155	1.5525728483407983	2.8509929554691618	0.2683973429892479
1.7587182859630888	2.3550535883336865	2.493490319271416	2.487957929888326	2.4148352210744597	0.5598684164173755
2.699599753383472	2.4638585879107184	2.1124758867502766	1.9426334549082296	2.7662925851786677	0.8531852486644476
1.0818448529014195	2.564111003757052	1.185127665295981	2.9430948104691934	2.791586507650754	0.07211639167402757
2.834015737698081	1.069838821437422	2.4177986999380474	1.217742362007687	1.468694993017578	1.1347734467909203
2.503271425647106	2.6863442301278777	2.8547873643840798	2.7305497417383666	2.211402308786562	0.9436833649665176
2.5921326297385328	2.9549048253421573	2.968727886767886	1.262454207555628	2.4772227818572503	1.2178508480577892
2.269230490092855	2.9868507248312444	2.720064169357128	2.0845183753259753	2.529991707742985	0.9313957792892752
1.010542810756397	2.9714087350671656	1.6124350646143566	1.9789712359638536	1.8508003536702464	0.3866746981164573
2.4210149975365485	1.341582217033546	1.3284949469709175	1.0656535142191128	1.9033418557283683	0.7035628731369331
1.0174756960380462	1.098217763771764	2.9070855795231383	1.0744883683611417	2.812001988186214	0.343215818393258
1.934575847396797	2.062985978369528	2.498381352248651	1.9024778490919556	2.883706458842712	0.596336450951261
2.1116114809665363	2.420254945755413	1.0753778871397992	1.807552539912186	1.639426371078336	0.6133798837008998
1.8832139086086197	2.7510325318249	2.627242915793194	2.882502233942185	2.017321615440455	0.7019150782027216
2.8374629317765647	2.4780729479991788	2.529131560937321	1.5766968836460569	1.820535874763172	1.2819169885653934
1.310057829042463	2.7782072769653183	2.19043003374497	1.733412467870293	2.5625225755544685	0.512369188775744
2.9802499987004483	1.3236212425436067	1.3608618805495705	1.375685141819578	2.8290793724388594	0.3389686802565909
1.2750828736272075	2.236894041450135	2.3171122852979567	2.650331995412753	2.501243011745553	0.3293687078530967
2.6306103842952795	2.287917847867732	2.7004115742897667	1.2434094388750812	2.2318957904974197	1.1929257435207832
1.8676895554009891	2.6088155064928635	2.515570561750772	1.7283204570576989	2.5206356854960936	0.7601234470604311
1.8344137074335685	2.968904256384241	2.4955819632199447	2.9660517850247583	1.6475349314282548	0.7484345940519979
