q	Ef	m	omega_0	omega	target
2.1679806562499855	1.4246582759173172	1.3144651385819817	3.563720431565745	1.966948490250914	0.266070350499114
2.0663206933647382	1.890374825289804	1.8128726279099976	4.376229335617682	1.1763273362757254	0.12126868847993585
1.6919333998323844	2.4631781453535	2.293612842096453	4.858901489806839	1.4172696358699317	0.08412010102689994
2.2485497761717417	1.6361093716169155	1.8441800264079395	3.331431841450649	1.885463126851484	0.26444815083018336
1.3099611020793749	2.3209620832644258	2.715023624347446	3.4170065970251913	1.26923425897431	0.11126023732558232
1.6057645369593592	2.1924393672266635	2.7067880535646425	4.626958155229457	1.795657483301572	0.07152490316120051
2.8132401830621343	2.4417572385651725	2.9741683832960497	3.1738624371964135	1.9255555535080382	0.362828811430962
2.6201061655591635	2.6741146764745096	2.657126949711542	3.7586334498431766	1.5660027360454096	0.2258557646928919
2.6834533917039667	1.6607092680608249	2.004840976019638	3.4536043521385515	1.4545495048482238	0.2265504127601404
1.8229108175039817	1.7328913132222648	2.193609191218945	3.835242701006834	1.6559151190266967	0.12033474677602188
2.8886881337188504	2.8565459398333974	2.9244326766378017	3.2461420115499404	1.859578837821024	0.398568997711228
1.7465128924598463	1.2802888281328588	1.6739177573000041	3.4442827187745806	1.2492035004888835	0.12965817070906194
2.298728700194247	2.0564874423028456	1.2054408772677068	4.3066566387651894	1.7763248528694011	0.2547850253079067
1.9978281484956308	2.9189860896514093	1.3711320619179461	3.7999564132356314	1.6196670130867252	0.3599379279105614
1.2633323678334294	1.7443318206610896	1.4372540837641827	3.771295542057408	1.418450809057314	0.12556649585344992
2.22140377656838	1.8750722017530164	2.6439351893579	4.324257688485181	1.0165561814298425	0.08917865996196775
2.373657464544833	1.829503247487944	1.0983785550183771	3.8308506052034264	1.9646342218685215	0.3655505285352028
2.128059941326588	1.7932663464215244	1.811742407403213	4.478704345986884	1.8373607806926369	0.12625852486759964
2.906478956883833	1.2547376940891108	1.0808852197706629	4.777005123947632	1.4867056205221898	0.16370932725894366
2.2820636761800026	2.9267460113134534	2.0753346336586134	4.16208988087066	1.8417467389888358	0.23101680830197915
2.722601322788252	2.5348261532269	2.6914068498405266	4.460280221364291	1.4798109582292331	0.1448355318105944
1.987556209993453	2.9705413428927545	1.9667357444561957	4.949846978027579	1.4776256896516562	0.1345121071337788
2.767376490462448	2.2942320835728065	2.5441349032818974	4.759622041151076	1.97717576107768	0.13313282848025812
2.1774193861531668	2.142825935046772	2.8391788480696003	4.8926089845106375	1.2566752599282056	0.07350141531928503
2.312180852991569	2.7793202858681765	2.8227169373346066	4.600031375188483	1.226494591322799	0.11582383281903308
1.5233275488157867	2.698798883023588	1.5768943766677146	4.649465391875409	1.1286656131125292	0.1281540988318939
1.8439850247296792	2.0437982286267387	1.4930236350987067	3.5810686893298436	1.4379791360702068	0.2346751326804297
1.7422744292364103	1.392953077203817	2.9776264902312897	4.3370942310933325	1.7062513482546426	0.05126376375077226
1.2071888164598767	1.4707933873651302	2.439259714868105	3.357208887980163	1.2563298063053507	0.07509890495440683
1.033208100984152	1.1093099723110862	1.220464032160253	4.515923077311365	1.5677796472467682	0.05235994019276529
2.2889486458818773	2.868035079329471	2.6818099089188303	4.927020551118791	1.6486199800387342	0.1135513852033004
1.6325872422646923	1.8985829780503407	1.7892464924217255	3.820876854060384	1.9010706118328606	0.1577010340934571
1.2364026875424317	1.2912946661751827	1.9401078447091493	3.9405077525857872	1.7215995733914302	0.06550010520996563
1.7727224269479382	2.4252091538857723	2.8830599625437427	4.100207140002846	1.836676059846211	0.11096634866581666
2.4768283316893385	2.2042402838482262	1.5470151445977027	3.5609176578127744	1.0894918912119531	0.30705876914016844
1.4159487491761735	2.393411931750581	1.362085821320722	4.9556202963488705	1.3852052575856555	0.10989957310674103
2.663231127611392	1.6568417505901771	1.6011066281705677	4.246270783946272	1.3093425455018632	0.1689056924202897
2.72326867506853	2.5627268267194383	2.2605495210201614	4.0906191449899785	1.2584096502969513	0.2037879356849356
2.07003854410907	2.639548331692489	2.995675329248624	4.299402670509183	1.591648910717847	0.11434345611876567
1.1528349163693985	1.6153831932504552	2.7711606449900303	3.956219936276732	1.6406559245507235	0.05185355228195489
2.759925575797962	2.45204466634086	1.0653549254626609	4.1863207526616835	1.072671253429708	0.3879352076447504
1.5088857601155108	1.8171953343624447	2.6978779281164496	3.4693800124198058	1.3643159965537317	0.09988287543514232
1.9421019526530716	2.1811563546485235	1.3656145748926722	3.6749267271404666	1.8894586666324744	0.31222048412933057
2.94357086830921	1.7723875219949699	2.662645932585368	4.617321895528904	1.5299128087629916	0.1032394749973778
1.507215705240055	2.0122154493662934	2.500909013253401	4.889097358373074	1.658077237927163	0.0573268941294303
1.7229174506524496	2.3435431816162984	1.0583928757909578	3.119040375793862	1.9026661388567867	0.6245568578756414
1.2324510483379338	2.9576673909010625	1.7118541746880611	3.682887478102274	1.8748975506524577	0.2119114846888863
1.629867235902679	1.418839492738235	2.5887724325804005	4.935567023088501	1.7329771097641946	0.041827245119340814
1.7555550721477031	2.2755122569669286	2.385263382663227	3.655070846316145	1.3308185533909709	0.1445211428984904
2.2168862946567978	1.9180896191451533	2.4441104105549565	4.6721866732120425	1.987557956247147	0.0973082550456825
1.3282762667593777	1.9294462667954293	2.0166417975002866	3.7100060493075584	1.0203521468491	0.09988537611680222
2.5579040442936707	1.915634275189048	1.02388981026401	3.1272869660223486	1.6862951030101332	0.6899438018424224
1.4715347701336006	2.8138484572131635	2.465926432987596	4.323979443994946	1.8882806455732457	0.1109731476752224
2.623146309458823	2.064035793196077	1.6969780032160442	3.3816774955741264	1.940596193902928	0.4159851613701591
2.08800541602688	1.9765300297690416	2.5946028947025783	4.5229344751581175	1.1677892436318698	0.08330773259500615
1.2776545564613522	1.0639937452630248	2.87586097006074	4.0095880728294535	1.7861162960956007	0.03668147497666183
2.0332312326292	2.5564504814565243	1.3740596568687198	3.3540449165242743	1.726384720144723	0.4574613260128525
1.762798982616725	2.5783317878854697	2.3011744812377786	4.251290751498277	1.4616338848249162	0.12393180141418506
1.8833648077310825	2.2318137044518758	1.4795092308130675	4.7180659340010696	1.7929703232081184	0.1491710449536229
1.6582257558945939	2.406777677138079	2.740198371793204	4.9642703732808675	1.526268179125375	0.06526956884073039
1.929539346301537	1.1978946249504303	1.1448368272141227	4.406777672517031	1.5263705572454915	0.11813799342525905
2.799899691913036	2.8944695869934485	1.7094195242353014	3.891082500678052	1.9822416368625997	0.4228721758968947
1.821051635262264	1.5233539899591484	2.3669542199621345	3.4706634059222723	1.4635715889887684	0.11834397897342425
2.8275682113439173	1.6709026481568066	2.401549580032172	3.2313126344241843	1.4860419736975023	0.23895238466338636
1.0777784792765668	2.4078178299256923	1.0007237802500086	3.765867063075533	1.0690633650970582	0.19888377251195294
2.6409461137698833	2.8277026402738668	1.6586167695063552	4.730177723661531	1.7032387806130602	0.23120748815578204
1.1232647791473116	1.8489375832480024	1.5846875647302716	3.9556228669548794	1.7008524639277007	0.10275726086076256
1.2330815506541868	2.1662188631191297	1.5379182266827862	4.597696320920722	1.9410037732859242	0.09998346266002082
1.6346984816110273	2.617855796228225	2.7187074130939743	3.348346532864209	1.9962526787384771	0.21782058782772973
1.9885288978824731	1.0591329659745023	1.3278815209811978	3.3558437820421534	1.514548029420096	0.17686244044100685
2.67419018609844	1.6511802537005802	1.927064469822539	3.3048987854833185	1.080971731172829	0.2349168608078439
2.573841957485232	1.4365103281824767	2.8669167217832414	4.90583657029165	1.8177591164895581	0.06211346783043325
1.542152391035179	1.9497620802549835	2.608535585190812	3.728037184501975	1.5800430415078697	0.10109776968260308
2.930245436555708	2.541393996314234	1.4675370607162443	3.4774305875310727	1.6100504383164425	0.5341354221911941
1.156109109755643	2.177466982559358	1.2729094416063695	4.797268307583439	1.9393612364083528	0.1027216827689733
1.6787506905725031	1.5495516850199729	1.1121009769232186	3.7714068828991234	1.1368634688411974	0.18088985601381705
1.870767052255192	1.1077978277403575	1.1432317836287151	4.53718434158579	1.5030329344048474	0.09891362583072796
2.6934297416060446	2.6002902547977205	2.4964620232069303	4.503792689938644	1.633679570871501	0.15926265809794887
1.2162434414145242	2.8383319997925334	1.9263291860317309	4.672917235164891	1.311508160748455	0.0890859826396127
2.2910798702551105	2.964973899065523	2.4874539949682077	4.416244592560988	1.9442397575729	0.17368669154465993
2.9074652230992744	1.0093109231494022	2.6842647260976853	4.857654030057223	1.3815208822459353	0.050406970137049166
2.9173411755293683	2.036992422352266	2.579992093742723	3.1118183729874525	1.3855461905368731	0.296681792428083
1.5549374755392649	2.6907349626998043	1.0721811798570389	4.693218423356472	1.3753561736854798	0.19380752114995212
2.2099413776652583	1.6753129717286437	2.6436312130126534	3.923217130264481	1.9805743096317951	0.12211017941483353
1.3485073595628942	2.031558565541223	1.5715130099755523	4.190226363026277	1.6504700593082389	0.11751897804815745
2.368812617221254	1.4514661997728209	2.135045102996066	4.029954796432181	1.4786310385105341	0.11458423940700688
2.5234281311148714	2.6285316793190594	1.5482383395344042	4.601810586603381	1.5623450802060508	0.2286628021126263
2.201938915600706	1.855520989375208	1.7994977240772152	4.061730264455619	1.453330042563704	0.15783210268498765
2.7714605564091737	1.6439434222271556	2.051633328099265	4.96367876670997	1.2780441687198725	0.09653372404412712
2.8452354178628187	2.992273384633939	2.9132833618218936	3.2816865403891833	1.0298869670291964	0.30100327448530856
2.2029366669984505	1.778929491386363	1.7844264963222112	4.1931538607902015	1.0232882452774599	0.13281491252460306
1.6951417443863623	1.11499843886507	1.9259309386480097	3.81512752329338	1.9919992195385532	0.09269600772044392
2.028837158373687	1.045068158096347	2.4560537968621565	3.3132511237506734	1.291797219198772	0.09273760898766986
1.185039587015526	1.7537545168143869	2.6891042236499394	3.527286213500659	1.56658502345386	0.0773810558204561
1.2953575060525575	1.4211055221003268	2.0771236574902647	4.449567116238337	1.1283265723389093	0.04783910624384631
1.819767506233434	1.3584542792664804	2.6140955244208843	4.031458065751076	1.1406269434173324	0.06324862704750353
