h	omega	kb	T	target
3.410331260887744	1.5887675303158268	2.6676830906754816	2.6654509249781517	7.755810318425425
2.727196576517452	2.956362347144744	3.0700013003278146	4.061490787354857	9.225520694455435
3.4395931513734204	2.104547653081199	2.234245753235208	4.501121069346139	8.238568147137995
3.5631711038521154	4.660338632803175	1.321233808495748	4.090543555305602	1.5855564775252269
3.650465946019384	4.37513132818736	1.094552234055178	1.5476826063634612	0.28702558215392804
3.977875446341201	4.2779589708685135	4.936086325770211	1.5635590865242175	2.3788178910014404
2.0678770235239754	1.0229520172494513	4.203258977567832	2.407720948254783	29.562995164677968
1.9830913115950413	2.033603716134828	1.4102428040038557	2.148779590957293	4.238883119406732
4.902231682446457	1.1421067921250678	3.9147777578121463	2.4767009662825172	10.388437137591977
4.549317949194119	4.963337442777952	2.0275976141395207	1.1447568803849741	0.2700293530160037
1.7019517212081832	2.504459262308267	1.164119035605161	3.368868108347332	5.295369217865604
3.4219667339947004	4.956711420873648	1.4782537646605032	3.6024135743397383	1.5147277628973248
4.4035159773448225	1.881978244598259	2.897031891567817	4.434723391823001	9.249149196731132
1.7122936854408608	2.7624070936876803	3.8057645341582322	1.566785544027992	7.431251650850243
4.804720707753836	1.9638305942598984	4.707982575300356	3.331924070488752	9.953678781609632
1.8562767173184955	4.0884358212617995	2.3445591405215307	1.5563866808630618	2.54858916131908
2.559937602693451	3.4050064874762445	3.602578043743053	2.6433092456602028	6.376398926068339
3.2131628463842854	2.9858832743245465	2.6805706942532854	2.701363135487873	4.259810551508078
1.0229823680328844	3.5504749028112164	3.3825327050781384	1.8686552224373016	10.442057863981457
1.0717822404663813	2.5150151135063	2.244479663099024	3.611903747079951	18.401048284288407
4.029046544085272	1.203293645342744	2.1208589804040328	1.552975825359145	3.788075105191828
3.638035902969741	2.9472929605741696	2.377042398107569	1.2812799978347358	1.3311720192534495
3.805319581499612	2.3313890837317697	2.001076437790585	1.555076603804418	1.7415704465948625
2.736954503845751	2.299558532960405	3.240723638424668	1.5675176309434402	4.587756041084297
4.550627916537137	3.8045918289957954	1.4757355825247704	1.3827727348407255	0.34980913793245705
3.3162612156101883	1.5456213674543742	2.9511109998193987	1.7245451216179148	5.751966163987593
2.9081713200895893	4.3252392066629435	3.172506441903	3.6408384095471065	5.284141803704441
3.887300718011813	2.972047022453536	4.913240145724052	3.2139447344733965	8.097511927293942
4.75289602173863	3.826312794713085	3.2710205335005664	1.010944000569582	0.7145130711203572
3.1010098386145737	4.848740296296073	4.405094136657109	4.7671806794060165	8.28484746576946
1.4936909410783228	4.3576711826725685	4.452328076856347	1.6357353489223447	6.5420040869521605
3.7001188174964543	2.3133972076818208	1.893360085765764	3.527862254409053	4.419950141758672
4.174242608557176	2.827459213951585	3.5464555073251915	3.659535712971968	6.421234352400173
1.205524276142262	2.080015443249367	4.962495895636098	4.1583481240530356	51.20968462334465
2.818933508176716	4.3686169154647985	4.630102782779497	4.991520567292282	11.29871603477318
1.3961664925871764	3.529967302222625	1.7093458753177169	4.163032341628135	8.581364767203537
3.3963923746372986	2.9980341681541187	2.9842683811599606	2.466802806341163	4.060859713600208
3.4608609830439563	2.7993590101227506	3.2683590616467213	2.036204927265406	3.835359257291502
4.342685298294878	4.921456079737252	4.761663373524058	2.191825692153693	2.5953749272220317
3.0894836493277604	4.4247200477733415	2.665390367410186	4.891701763288016	5.5066878395533285
1.8498693726854567	2.723962613450431	1.0777540976250792	1.859308056629148	2.031931219961176
2.3590666546011834	1.6520404824255164	2.5569164931925963	1.4254944892616384	5.390435260696892
4.170498982932635	1.7651275541404812	3.5053592646250564	4.506905866925449	12.990428901429516
3.946141557396447	2.171521335507391	1.8824505144052333	2.169614570498449	2.522447636999954
1.7076143598320117	1.3832441533530426	1.189903808697092	4.1183637933772586	12.541895012578115
2.151197663090229	3.606999538332685	3.4329532048408136	1.7641840353706195	4.4211474172634535
2.4525850223220056	4.846167527290502	2.4330356364931296	1.9103625982748385	1.9909154673395075
1.161475010580456	3.917660398414371	3.3720208735106363	3.849433500802641	17.42845724638008
4.49787518723755	3.9154351132802923	2.965732041363349	1.8547121931879955	1.504741339208468
3.938836352856301	3.8394294540783536	1.3858531224184498	4.0475341451068845	1.8661688394805105
4.978660370428705	1.4694114725193477	4.446507326950691	1.1565344650728182	3.9355884561232606
2.9173566991524935	1.5037494323816096	2.8445031551198663	2.9404802474235505	11.486479053409546
2.2480257445162097	3.824312549563997	4.001555221624367	1.8804618205316592	5.0145856722855635
2.8306087005899205	2.2344002727631014	1.2444518804533224	2.5177678369772463	2.6393946891935927
1.4725857234595097	4.969100200666535	4.408059551951262	2.0145042717145647	7.135878950998489
3.0925659295890866	3.0576807504244985	1.7485568760921693	1.2737627333457926	1.0358015977901274
3.1436534777955174	1.9273060062890868	2.368961376791461	3.9031506373577165	9.097567602461739
3.557478874906127	3.5160750965802943	4.915073302894441	1.6170939228453982	3.513348078551501
2.11193672255474	2.1392830318225378	4.517126188844717	4.561460486316461	28.15767372601437
4.076601624863826	1.9084732341574075	3.906852879527394	3.507212298358861	10.573375968228657
1.821226280290802	2.737212952814261	2.132505302004472	3.514821117663068	8.955967377217727
2.9934173678373144	2.5413386023008924	1.259258600676782	2.1553932919525107	1.7788226466000432
2.110676560723113	4.115917091238796	4.390366811612246	3.0919994393550825	9.326683951528816
4.7610310243307525	2.818318787925832	2.5404758246870918	4.833109767025353	5.2639918348148536
4.484329810939677	1.114516794186477	1.601572924270776	1.9355359153900775	3.4184788006046287
1.8173233101154531	4.498244190272777	2.586215596891256	1.3443207503775518	2.2033328905504668
3.5491734235552705	3.8340184979282563	4.227308247668296	1.3024544715596034	2.0749836044400882
4.757410055412656	4.883606456588933	4.742940878902584	3.1770137770434284	3.5955024032707854
2.7236041107204705	1.9679513926307908	4.754772316053705	2.26718291545729	12.143413980191092
2.9844497264698457	1.504917904799851	2.7395892951653398	4.107031731171861	15.245713650767815
2.3586869500569048	4.104137285317156	1.3024186124422066	3.1015668732794968	2.153626482901968
4.050063350401331	3.6390470561852153	4.821481427596934	2.615627719917648	4.8918321217158045
4.6244003310350665	3.40122164482555	2.4141676742758658	1.610150495051896	1.1061264159310709
2.638009192491622	1.750205024486735	4.466003022832137	2.4273025532543557	14.257874632446484
2.2031588726756093	3.8094998974074707	3.6996130532464737	1.9767911897987207	4.9902004609027175
2.5579160146784146	4.65260867891962	4.913894961482038	4.1448846570093245	10.260890517971683
2.9326528245015786	3.8715767054180383	1.9004541063721567	3.656752234810761	3.3674229189836176
