n	alpha	epsilon	Ef	target
0.9657617360333399	0.8393265045073808	1.7096487183236602	1.81064958345996	3.4382406360108697
0.17118011659801854	0.4104544532579156	1.3910980813086	1.2125876005191367	0.12136168058664205
0.11655696854024775	0.9636091444069133	1.7188881770247355	1.894621490036836	0.37999749332794347
0.13756561889629138	0.8131620229705941	1.1317462749509315	1.9491860462782624	0.2563261098146727
0.1960015135664147	0.3055178475893119	1.16332402240696	1.3419235524444195	0.09538519467777863
0.1985528894973412	0.5361264717978428	1.861976071372757	1.7276715889179677	0.3550331718740255
0.5395009155524092	0.10604259392289804	1.6064471511911913	1.28872080333978	0.12074240023944742
0.7193918888614811	0.266250719598741	1.0192143598550345	1.934015744311172	0.4033059812764793
0.7460064068928869	0.9524189720610892	1.1811698305367062	1.7438321040494618	1.917653942871623
0.5593383274982421	0.037154604569368255	1.0155028577000271	1.5211016755775186	0.03232552509476694
0.7196664020766279	0.9036980286601496	1.3175856416396818	1.1859797503231322	1.297570080243532
0.4129997207546177	0.4130153886354966	1.0231094844364512	1.7801798427503113	0.3294011312737469
0.7328363117930999	0.8452029241038455	1.474405515319302	1.8655722682056544	2.1469947400184703
0.34541051374106857	0.42530663681690495	1.79985362189001	1.4239812063592066	0.3958988469243275
0.3443783108052855	0.3736919649768642	1.939620429569152	1.5716222373001756	0.4098791721774871
0.3878539018134081	0.044718165565867496	1.0699125356962451	1.1601817663325642	0.02165432047998948
0.20824042049663904	0.8353546274781194	1.1423186851883749	1.122627040417667	0.23681042344471775
0.5698308055612824	0.5296117136925393	1.4136669066904473	1.8003250833391207	0.8539784023458692
0.27389987468312904	0.10902340576243252	1.3490175426652902	1.5738195820302434	0.06403666017463992
0.3727587195823542	0.01093945962626508	1.3384119963898402	1.3929817411098149	0.007612891602180606
0.2919287727038947	0.291583122442147	1.3876286238044973	1.1686899165125944	0.1420733525745303
0.4173794743328905	0.8022596752077863	1.3895323119870169	1.7849532793667855	0.9348471705078604
0.8621538428240438	0.4805286353037873	1.94071089860806	1.9699129650467984	1.8376098014134936
0.26984899790224703	0.2952000505845247	1.159010537963069	1.0632009113819856	0.10083881098645138
0.7568526574230198	0.0897633122779854	1.7032467658334571	1.37053785615808	0.16226575130054974
0.8198156156722349	0.8093320716296342	1.7591406980583355	1.6025346522679746	2.40163488104027
0.07575417197558687	0.9005989966338308	1.151552182295728	1.1061661609383495	0.08892676516973907
0.2209277530186513	0.7681904367963245	1.8856867930970067	1.9768197333923312	0.6705741698275431
0.121226428716404	0.014078509060975297	1.9952642657482016	1.160204635684543	0.003953084843205589
0.20060386523038495	0.8042178970603937	1.9869635469072853	1.305716323079407	0.4423418098035626
0.5875403033170215	0.8406379474041697	1.81932958887352	1.3375598666382502	1.4387840920770059
0.6197455702558933	0.037412937659511036	1.1921111613276698	1.0285437343722097	0.02865130363134511
0.6016485976311392	0.29315191771075444	1.1618290531697018	1.0780952099627432	0.2347194870281044
0.09918685373414347	0.4950233442653658	1.6544950054553345	1.1242102674502903	0.09284521712229524
0.5276388909083545	0.08656894531019378	1.0547893858767718	1.1047050310166568	0.0540473379552814
0.15851716486159104	0.7785051116933366	1.1532854339846148	1.020053235793021	0.15140497917854176
0.7936211776786207	0.7180706112410631	1.814548756833195	1.2890402983108535	1.6455397048401346
0.5389304962117719	0.2940052442967944	1.017806252893848	1.4793675117957026	0.25188060918290084
0.3172235755522625	0.9895208412500508	1.2375122411079476	1.9486630713101287	0.8454260611007228
0.5704011601769868	0.9146365269503952	1.159891568652332	1.156260516103238	0.8469760164433641
0.8229832689295622	0.6358698319884847	1.5406292074457308	1.227875620223383	1.1991164904473848
0.32920743896341154	0.7867047753708869	1.8186872656371047	1.6687990629466805	0.8603080491243357
0.8626952668478928	0.4533201248261908	1.3142455073396049	1.4686447168466903	0.8679919104362994
0.22621030177639	0.6846146668830517	1.8341180326168511	1.9385282333310785	0.5805994960673116
0.2587271015635123	0.24303979683858945	1.6516347849099595	1.8223536760065573	0.1933150714179428
0.9762521567249041	0.3470918447094047	1.2693221076465908	1.3501953647430966	0.6546763249224359
0.9748279325262524	0.08851077006201791	1.25028050794248	1.021344833510471	0.11344302371591915
0.9365066702021144	0.39437606985755935	1.589479201278735	1.0124642552627727	0.6778160090413455
0.3618353268874041	0.6036747884054405	1.1945624154664083	1.7052467418065134	0.4798897514203521
0.16480624430591384	0.27545992048378365	1.7430948683726504	1.709849973287488	0.13738309832723
0.2143894280233012	0.016112366442248338	1.3611225186500309	1.2036437790929633	0.005665760900683763
0.4795642239859901	0.2689757951537963	1.6751631949820176	1.143262933393018	0.25813681593525123
0.9578537155709664	0.38373636502695896	1.6059737338610989	1.1984376597932078	0.8062121702548107
0.2476324872757174	0.4722542820984876	1.4221150143421444	1.0773963301282403	0.1864498939954839
0.5058941669954702	0.6659824403941956	1.2872918820059165	1.0979415036534022	0.5364326158852216
0.3370209936262364	0.15538737648522294	1.078757887478185	1.2049262061621375	0.0692795780950379
0.9983590173924192	0.2712139237076838	1.984287792523185	1.9152732561125352	1.1311366380458094
0.05188530004747194	0.7822816083313451	1.8831186554051789	1.6434033552752545	0.12733425928507458
0.3999564264660278	0.4625247811864554	1.181242216436377	1.9116284030932835	0.4451756441293195
0.7002658364428397	0.2431258336920508	1.7071882741343605	1.171761347337006	0.36106736528834976
0.1156908395851156	0.7730841515348984	1.6988558788305612	1.6352483369483248	0.2561005486628237
0.08546071187093662	0.05951325156901155	1.2485075965715429	1.4454833961380742	0.009194357515616841
0.7322312979681755	0.5295383327703787	1.2659485653774945	1.3980822217159257	0.7881340216203567
0.13801386282664674	0.12341874845803692	1.100331883792392	1.8532792298008665	0.03493343435595202
