m	g	z	target
1.6172836057860094	1.3680628677540376	4.647031271480482	10.281768814454802
2.600689157973457	2.516728426694842	2.5522145913641263	16.70482725495783
2.7691180220928957	1.7537618188757191	2.2577214402175363	10.964338480329657
2.754676728103697	2.9260244002561224	3.887288696874698	31.33252385506103
3.1672244065379287	3.7131673405769514	4.969093305656145	58.438694987180654
3.0428949668190586	2.925914499759714	2.88275930794136	25.66592826324723
2.4264581927995295	4.0452051924013785	4.573275865813981	44.88908658321458
3.586630530041907	3.716313682067958	3.9580622628653774	52.75718649707335
4.7665088985123045	2.9541198846704715	2.1249543197583174	29.921139058686425
4.7881893752583125	4.046744770614383	1.013198360854838	19.632319414168553
1.0471612525162035	1.9710564537364064	3.259102987918109	6.7268340148459815
2.0023938902119527	3.410419102728833	4.193634197623917	28.638337892797622
2.9606664820263746	4.196731462682315	3.063386488703057	38.062951393306776
3.56674980512577	4.55069431067178	4.849699262733012	78.71638069887845
1.05849770574736	4.603985711898813	2.656101740949519	12.944002695242206
2.969466057844282	3.864500339707982	1.6844167846209863	19.329529173362587
1.8369435486633536	2.558298256622338	2.2679208558577404	10.657979482340023
1.6464212491357169	3.4590533267389088	2.642955489150511	15.05178717824407
2.3313387683579188	3.8803110089448953	2.840185313243408	25.69322374997282
2.596652575516324	3.7937832303502153	3.783636250824096	37.27311905004954
4.6339693449055925	2.7490059025484808	2.4940759078697905	31.77155682480827
4.392068250028796	2.362426977022915	3.3246647846133865	34.49652405007708
4.467173706105871	2.5435024166011355	4.773982464455552	54.24326397233686
2.130016986544455	2.783658474232368	4.406458178718606	26.126947363873768
1.6511472491143673	1.9367739846831535	2.406104078002889	7.69447791388507
2.8068759893383737	4.997185307682629	2.7825465256397344	39.0293316728225
3.831849251692284	1.9475374831451369	2.960782254801433	22.095341049875923
1.5743587895638518	2.879755622707547	2.917516984217564	13.227346824175081
1.832350101475016	3.1852682126846843	4.502365938209801	26.27817825845698
2.3661558309256714	1.854013314666008	3.677255419385299	16.131694489683117
3.5163723504166318	3.4148368004052188	4.058318755318839	48.73163297361258
1.9198551752646769	2.8895689106155227	1.4456029915747517	8.01956040870895
2.280459308215179	2.499327514989598	3.2486797118901523	18.516222627954484
1.3580385033350906	4.288361191810924	2.423826326631717	14.115781874053399
1.834240593764904	2.0552030060761872	2.7119323176060037	10.22327100844194
3.5880631532097946	1.4668602769977102	3.496491381751264	18.40268907276389
1.810014571742022	1.7628698740212485	1.1868454238291672	3.7870103052331947
4.329587359963559	4.48729172762196	2.5652615568046153	49.83821331872827
1.0064485232610725	1.2289059267862237	2.4024305516193354	2.9713995130867423
1.70796608969939	4.9075035467590125	3.3882879810105173	28.40012040382404
