q	v	B	p	target
1.4157368894024098	2.349122010989249	1.7306201794547054	4.803457851149659	1.2117392929427286
4.80311553530764	1.6182773827538992	3.3933431828810794	4.056624379918427	6.499677368922365
2.745961604409734	2.179624662008796	1.5383683740573009	3.7105464907565806	2.497243183526781
1.5644215609405665	3.6543814880393968	3.251094988858769	2.574278482461013	7.102728873745165
1.9579070308251745	1.379875605106498	3.5849001637261635	3.066686608540595	3.1997321841087114
4.523083890191288	2.937892640789291	2.6160890450595864	3.330735389529924	10.42117733678088
4.661904730959359	4.1290694373126415	3.1794277385899967	1.6424605643981076	37.25900361098505
4.136854436653279	2.1549146274140663	4.0178520473875645	1.9720489702096813	18.295144828724744
1.6189359295019867	4.627682597035859	4.537054397677207	4.207129292409169	8.045836296013007
4.850035768918762	3.9857051368870593	2.7535799128208915	1.9483821962137533	26.993838009031915
3.683471067372244	2.8097857022981265	4.299446628473524	4.204627908460297	10.492563149422658
1.2010473170623883	1.7478855597671967	4.384309950149044	3.416009279425218	2.728974624060021
1.4365505949539936	3.597732062452268	1.812908069040392	4.084435410757074	2.3111042010537335
4.8495443711624855	3.3714664599528974	4.015412961660067	1.9916332010570643	32.92124313610307
2.8138184098035706	1.8506785418311045	2.54377418698975	3.2503352441399254	4.034626302347956
3.852711174812896	3.0178185822189434	4.50641513457999	1.3145269278489136	39.79387345776015
2.1424149833493766	4.880350696141575	2.4919459842562923	1.9138621800179456	13.665136471383267
3.964065445911056	3.8974966592822247	1.5064581339447227	2.3877078329236365	9.73378578383334
3.9616505313658017	4.9825205445148	2.08615169689042	3.437939146687416	11.90209638220502
2.191923558982208	4.25544342060682	4.4529533679599735	1.4364047557977782	29.304975582319326
3.2490178042560047	2.9479069745667656	3.519781293248472	2.5109725323989123	13.387035552471188
2.998979824892168	2.2638661296499696	4.4802060653854845	1.2421211921716149	24.295623198617413
2.0806295132288124	1.9342196616351093	4.5647868240187774	2.9860091567414107	6.042660415606468
3.706599876344379	2.032792334387842	3.913142185873855	4.1982468932292205	6.956936496606739
4.569919764455764	4.07381975315896	2.4136594844678267	3.095762290081724	14.571879497303335
4.232977894528768	1.0103861522474449	1.4771862267148368	4.325098355947253	1.4608994504956894
2.497892906057932	1.9406375438847032	3.975914323463359	4.877756785686792	3.936685533443325
1.91533176395026	4.889048080512326	4.559887937177666	1.7528907902131996	24.141782995694587
1.0187079616381038	2.5261726015938644	3.1770625326487747	1.9042299063215389	4.236188895209125
4.180529883531147	2.260406724217212	1.5364395766738816	2.493857627310321	5.921127405827055
3.861356427710101	4.971252580323377	2.714981670250173	1.7463933316280702	29.18696694423383
3.914313296040882	3.759148174131285	4.95934444181844	1.027306695856792	71.5204746084539
2.8766115904700897	2.2216066459654145	3.149605941318252	2.326316765468981	8.783226553483935
4.770132510549948	1.3061620358342636	1.462410475345323	4.033175115395379	2.2473301375287793
3.0568984913240778	2.8802795423054994	3.61632787935532	3.5736053212648287	8.832521259337144
4.71422789373087	3.335558739527851	4.453851012397704	2.9120644578951684	23.826174087838268
4.823199779522174	4.600481873712573	4.494692881762547	3.5048627655837072	28.990471215908357
1.4283952361757442	2.81530834070448	1.7606273517491582	1.5785807328404178	4.553285346415609
1.5205666601024783	4.69381147408046	2.7332893718409603	3.070664772188217	6.419793188864949
2.8899678481801265	2.5632048245514816	1.1018366165870614	4.1365091766732265	1.9825045777389976
4.067465940169348	4.204080994933026	1.6053207835801913	3.95411000657956	6.9982537424146125
3.98521643093228	4.0691633393818725	1.8258978122940457	4.166340177934277	7.084817769426229
1.7621378105159184	4.430076532671414	2.085852736810597	3.2417382866256	4.99601427412618
2.0548868907290343	4.292686390807804	1.3874525068175545	3.910564810768088	3.090848923342439
4.213365420961605	2.846668098309713	2.3908940982914526	4.818492365328662	6.045876402368159
2.974906962209185	2.94484335477232	3.927120789568373	2.8193471641520538	12.030190682945646
1.8676790725991887	4.869882087699634	1.3731686916247097	4.878633655140304	2.5703580818377745
2.641162989569552	4.097656542735892	4.503070098549426	4.817592007009969	10.019185033890627
2.4203563790819627	3.144889018810211	4.910227635269234	3.2830486633165044	11.423143309423848
4.707092009704441	4.144158054421537	3.800353046253425	1.42365198611691	51.39801459280793
3.619098620641005	3.574126476663923	1.5408749061602145	1.9200610689721151	10.618862913788027
3.234283760348878	3.810478790466575	4.779261137012091	1.113562733230542	52.393406635067976
3.5694556524625747	4.644510602140556	2.2830371329964434	3.433236992279128	11.14753205915179
3.4406562846491457	3.5663679559130586	3.035615757999205	4.41568586287964	8.349215314841498
1.360145651511016	4.072186143151252	4.275962735676631	1.8564261502107613	12.73411889362005
1.8417134516880584	2.1551827390809883	2.8288201587657325	1.6802029570413426	6.71479256665085
1.2477068653126664	3.901644699793522	4.660178228769508	2.0539025061558798	10.937158766048938
4.294495870449401	3.696082942580024	4.496203185776151	4.518603080426579	15.757059535290557
1.0181663614660312	1.3976332041707669	2.0486699647170736	2.8560212787397035	1.0388284928155869
3.560288972707592	4.127656218209116	3.1560028150666297	3.124863646472152	14.892859965761412
2.2161574645359314	4.9519672158668016	4.967364133544644	4.127606476135831	13.168082487023595
2.2754120242088063	2.403841851149247	1.808210111344959	3.614347587344529	2.707478454438886
1.784418725484317	3.5186992047360035	1.0839077863777105	3.9738883790786974	1.7375064887129383
4.073262964880036	4.165269529112491	4.036390006659933	4.708994411930727	14.725658165948722
1.659818514619348	2.6064987931569505	2.9652606524190963	1.4055977327408908	9.011745879726464
