q	h	m	target
1.833696177558924	3.159185708511284	4.2837397557327	0.10731530377904652
2.660926442479598	4.470297984138159	4.8106354880626565	0.19708592281583892
4.227186544088347	1.0200915677159044	1.5127638236018184	0.22708090388629637
2.344909262992647	2.515995289598735	4.0554740618022365	0.11638148399858712
3.4743783806383743	4.716789272143946	1.9976548251732225	0.6528739596247395
1.9442484426930524	2.359483956563795	2.918986238672209	0.12508467539375528
1.9760900387916656	1.6849620770922344	3.544255753539264	0.07443848909424229
2.5546514543794654	2.0931131345910985	2.603634827524308	0.16342455664087513
4.150839148349806	2.235698251572476	2.9130030870960404	0.2604635005320999
2.6249518400910468	2.5585924416985955	1.0838601513220336	0.4925940529382739
3.7055648494308753	3.1496062928619466	2.5458446493527065	0.3608312906925603
3.5874473977015517	4.918349322748371	4.132777121375836	0.3383147794430939
4.9255992038713385	1.6897802046435992	2.0406701307517547	0.31940746253407737
1.9152526615547207	3.0784772946720453	2.9891801680747068	0.1559470767514273
3.5900832550242847	1.128772707678575	2.6800336870254	0.12122861823825909
3.5050332218828464	3.502390061924332	3.791726373348819	0.25637247730458423
1.815360921006905	3.6134074155610336	1.8798673169116924	0.2751772682660524
4.445994212819381	2.4000819318917634	4.687490009574986	0.18402505408087588
3.718177474891886	1.073770771534338	3.731666145504344	0.08587974169683692
4.487775591947762	4.172522925936331	2.529018087965304	0.5976713909182976
3.5984000344332485	3.320659203027038	2.457778861149574	0.38483264725131205
2.549734822465414	4.639171500578757	1.2226713214430838	0.7638915213420701
2.857340279652305	2.0992135687574325	1.7143859326378896	0.2796263787390915
2.822911197381877	4.781760394568856	4.665740418174213	0.23334238601957247
2.6863935588046446	2.190238460202321	1.963880997079976	0.24048617152642066
3.946052713101308	4.580962301906247	3.19417046375372	0.4494692494646601
1.507124323485705	3.1351023309739365	2.936040858340308	0.12962892173054838
4.0934968748027005	3.2428092839658462	3.833799305468884	0.27895634958462207
3.6416048799426286	2.622030351509318	4.664984671883176	0.16222266300919536
4.7165612382129485	4.6435291498534985	1.1568673129221034	1.5030560862166402
2.7214588671806617	2.556704232174586	1.239106254359482	0.4495334285985627
1.5718625863176827	2.729498344251453	4.633542060966711	0.07395565420096865
1.6418431649494147	2.1845224878223983	4.755076666551704	0.06027598379241354
3.414307501213756	4.775952389852534	2.8469013584576928	0.4576452385467568
1.6729431860163362	4.988683966819222	2.8700570309027293	0.2368833374205552
4.6238294501645285	3.3572552882151667	4.678386092632817	0.2693533755203628
2.17555380049574	4.917146759239112	3.8002153885510017	0.2219823312164617
4.889669746834656	2.22036549480634	2.318408938158782	0.3738635088068228
1.7142167692203507	3.5994201779009307	3.9370538516740767	0.1233453613652592
1.1351537165110086	2.63570960340728	3.992176436039823	0.059541364312080715
3.2144151064553577	2.375683365991496	1.2348240206663508	0.4953038443538226
4.0705845602459725	4.115165663305988	2.83918768537386	0.47094671815659717
3.007492203307893	4.842881664190188	2.219893686448447	0.5218903740623504
2.7136216390388608	2.757649560030526	3.936802077596604	0.1484405948526314
4.618459629663255	1.1765573308944477	1.5748243637192605	0.2726603651206812
3.812601579233781	2.134890527265432	1.4762690961976377	0.4395571450858364
2.8896437338250167	2.469134375066148	3.5960757644201564	0.1592614432162871
4.0540163777675495	2.6166032102291457	3.838108051875212	0.22093768341409817
1.3759836884189665	2.330147634986738	1.0298577104816102	0.2503186046088279
3.3696343824772343	2.536546271854815	2.5688327213026736	0.26844283141571323
4.7613814366077785	1.2326925892837215	4.164194005351612	0.11209657736603663
1.2376824752739224	2.0612798156997023	2.6878697568681265	0.0755004296885803
3.1300475046878184	1.2379502879313118	1.8408057509178064	0.16896807646403686
3.565665774248532	3.556760774495164	3.662807387567709	0.27699271543240467
1.1832614847908551	4.913780774172146	4.555506673567266	0.10322799237006093
3.8290727086870087	3.34072520659114	2.6763333158418345	0.3820720836718895
2.6197686696686397	4.834937121254638	1.0441354123282434	0.9619724849420612
1.592249471045479	3.920771452995463	2.4007775997584493	0.20875345276969512
