sigma_den	epsilon	chi	target
1.4885830870883137	3.93882519842842	4.010372928015965	0.074372780936715
2.9762655506135385	1.4484047428153684	2.35650574218588	0.6155552160093496
3.5310246047063814	1.653206863820985	4.438846115556856	0.39223106921477574
1.756910963012804	1.621916769933108	1.286246141095127	0.4724613195843366
1.6058695568397243	2.489252396187924	4.67811857989714	0.11448739022630833
2.492971493261701	4.704248294328648	3.960479583579257	0.10636813702620743
3.722795427112177	4.5709890228837935	2.4616631503914337	0.23635106446733795
1.9599196041013989	2.7091481950538854	4.816269339561738	0.1237706812824781
1.7560164325036671	4.157429602664181	4.147079548147685	0.08226751530206351
3.253940963424488	4.761224462648436	2.4516405771718994	0.1964279834578042
4.295739063650611	3.6224983686537615	1.8666325659749696	0.412249080169291
3.1655853002524514	1.1630861855567316	3.906034888784008	0.5598559331213815
4.616900784368959	4.773847037150008	4.425643924005262	0.1789884560155289
3.239279327547754	2.5188650063516893	3.732493112299145	0.27301099826231595
1.8493879399373627	3.875821309167695	4.88694160438757	0.08229039317898024
2.7752891872966825	2.379359110217825	1.048193620524089	0.5689142951744743
3.967239008411296	2.1184223961605864	4.81780091450764	0.3175399344184107
3.4293935972547884	4.345555279598572	2.405979227461793	0.23525075984230795
4.0815821392819815	3.3873043605878834	2.8128730354645644	0.3143343165726219
4.004920560714917	3.0475387114336816	2.8880136937004584	0.3405310841935973
4.623648558587432	3.530212475597593	4.609522501651097	0.23389219540921072
4.1870705402142026	4.278108013785935	4.580756693230333	0.17322415307922975
1.193037942467445	2.487099015296768	1.8326967029350236	0.1686247507386353
1.8448259573455936	1.811620357394169	2.383643324098435	0.29830205365963164
1.2897808394186192	1.0776800576589671	3.988468967885911	0.2379331454820433
2.327689083391105	3.0676160610360204	1.2762478139137516	0.3347900901601766
2.017999598768905	2.251771448722547	3.4530443117778558	0.20121044156135293
1.7677669611270588	4.651279228181437	4.385406540000314	0.07029655075942218
2.127263474204958	4.677042596323309	3.186764470038237	0.10730456110390757
3.4708271267039765	2.9755124214088333	1.218379045093701	0.5335190703124217
4.569526629997691	4.90310899842081	4.037892496193547	0.1853804407450521
3.4169894298742487	3.8714307178236647	1.0060788737022843	0.44048867095150107
2.9025518193799926	2.8077672910563094	2.237263925045299	0.3211933591420513
1.0386554038362612	3.0297665107347407	2.5188269090950084	0.09611503579740567
3.654408548713232	2.798782382716172	1.960198857769896	0.4343355226395536
1.6857196699753585	1.897018366128818	3.856012011393114	0.18236532412117648
1.1222533395596188	1.9136653375732688	2.887373669066968	0.15101487282100184
1.4254818092345911	1.4975970364107796	1.4165969831976477	0.3925088227779688
4.652213159993645	2.409613482795713	1.8739703711785336	0.6580103559164303
3.9041581774739424	3.1338080547354563	4.817745494857794	0.21400787666267868
2.34758183245713	3.237833135248602	4.193862794319804	0.14040203922329195
1.5063826332429708	4.334334157308157	1.572178160973316	0.13323886636235246
1.0536041816420214	4.3839245746664535	3.0802200466468976	0.059516297262661444
2.8249875426977145	1.2563785618556391	2.007256318538161	0.7414805267734838
4.425605007071443	1.1155502490180988	2.984820043475439	0.9985316946192964
3.9905259979446095	4.856029000556459	4.041667395638092	0.16451865588313103
4.049600518282235	1.6064429329067975	3.765426342131912	0.5239186381414684
2.5109299118571267	4.790370591719919	4.027848600111451	0.1031657172066401
1.4542737660230445	4.6117750965322495	2.03743375056754	0.10388610311207994
2.097353364075308	2.363021683875947	3.9929574267889856	0.18108355950778593
1.1691634394850596	4.421385886770001	1.9538610780807149	0.08793272518341425
1.4736824799544408	1.859418477816536	2.6077521921315228	0.21985972371439857
2.378002518840787	1.3673160658042107	2.264693302680413	0.5278348133463089
4.439046348392749	1.7862826176213944	3.652301292386373	0.5376953068831817
3.8726608833885714	4.438790286990306	4.7306042927454985	0.14918331437933963
2.093086729837632	2.1432674630556523	2.2081904102800136	0.31079426930965665
4.230478232769088	2.650969085940793	1.72535930893031	0.5909469970413604
2.289515076622252	4.9467487862556645	3.3989121804561906	0.10420687106396338
3.0050206979341816	1.5499086791638588	1.36279044894858	0.8216142331004098
2.2256058045103466	1.035898870357591	4.690114860850123	0.37551738156983216
2.6370454719840537	3.910656333104362	1.536371433537084	0.2655537163509825
2.7413886599612294	2.1584051282660317	1.8037523431726945	0.4552352030130803
2.994466999499933	2.228473564635227	4.482616714311722	0.24201943297639086
1.9845868447659336	4.9958156794443145	1.9252347907457923	0.13711521189894643
2.3335615043529114	1.0069365650115696	1.7414389230839782	0.8463971956800426
1.4126069214224082	3.814098019947103	3.982066028178491	0.07358699312040384
4.940419010488964	3.3653434380233724	1.7616124291090751	0.5329375410555401
4.698534529947236	2.8169119318754263	1.0481432720660342	0.813767317713298
3.620375277250629	3.098085513352797	4.403390996884634	0.21543273396399718
4.308919442298125	1.8703948074881804	3.143086521785614	0.5582344658004605
3.000894627855028	2.278151223604032	1.9388375611679347	0.4471264474796008
2.8949001981173845	2.698140058601768	1.5360998198448552	0.42655375517704364
3.2491988669751493	1.0408441931687502	1.3006931183312256	1.3291477788660604
4.99422282054551	4.230828797788402	1.3322175245068937	0.5029911918500163
2.618789418257826	3.8477746776360378	1.970892152342172	0.22771505875832557
2.189845331431465	3.354915073066603	3.7491903112604494	0.1362546115687017
4.204702386207931	1.7325600622319737	2.1788423090524023	0.7692288464989544
2.196958547244368	3.2355533846526074	3.4757261509962483	0.15085573517623876
1.2177966434262664	3.286545480519357	3.033563147444948	0.09260183808508841
3.5204991370061816	2.363391425593566	1.1332721929722154	0.7022373069042346
1.7834140432699428	3.7661965040530494	3.970231765647819	0.09528631978236446
3.0537702045891115	1.2007141978697988	2.683970581297127	0.6867552634752051
3.8880072366595817	3.769315899750432	4.051920754565186	0.20471232482941332
1.3854530825572802	2.657523521639672	2.559523932900025	0.146863234998667
1.6269360127469654	1.6677387423880592	2.8136845894437497	0.25898081846720583
2.5086273400527297	2.7956032968167364	3.2405734479269923	0.2111658372206968
1.650886132828849	2.0893291420178937	3.3078976607317423	0.18464882934035182
4.227035224993852	1.8537907856886984	3.816921251030287	0.4736242954232788
3.6258082479793816	4.800856085713812	3.8200049761682617	0.1561601497150171
3.411187524414184	4.827360570892376	1.2195570995142808	0.3228827096715048
2.0150543895258592	4.693125713481669	2.7063414722651933	0.11640207873592984
2.296814750038773	3.197096253829008	3.3510737936757424	0.16427900481646854
1.2036609324502323	3.924737550937534	3.116976234652173	0.07447828856877423
3.484856409003408	4.044582854233087	4.220521383567855	0.16624833927231566
2.034130011423167	4.001821877231016	4.21710544844774	0.09764834571081255
2.228280796144292	2.6182799480024928	3.4829101184834776	0.18860598560133612
2.091440666301041	3.1995533248125643	2.0998912245761168	0.21014965829667284
1.3463245728947766	2.0130130162800604	4.228131949023592	0.12910335841024873
2.5428711037624896	3.833082256730629	2.931441673280989	0.16772994013403905
1.657426702661387	1.0556506121441491	1.7262190878212027	0.5800697122286012
1.3973752884129031	4.593474300423494	2.016136172929818	0.09997683211132445
4.963402283681095	4.6131908009113625	4.182773632591752	0.20640774094574718
1.3575677566589308	2.4646993828345733	3.6966534991845648	0.11945254007135699
2.9702900686599	2.059206904601508	1.355484432643704	0.6115167283664441
2.8381338270190986	2.344020011925299	3.4071865272898565	0.2756457945419357
4.594142104704725	1.4177553905615454	3.6680516420668754	0.678377481060878
3.5506081555204227	2.1968557009374607	3.796786183678838	0.33559278213931465
4.8730350305998495	3.298332802220794	2.9199936818738164	0.37852242843940265
4.003746706867888	4.097613652212374	4.224411650302973	0.18618755614494087
2.2625878780999904	2.507197264930748	1.8665523631857333	0.31449992307552416
3.084734075863288	1.2930523056518926	1.8280183560490348	0.8480610706165184
4.757028249530023	3.8163759965043216	2.068379109990964	0.40536966867391194
3.659128246781103	2.231486127087241	1.8324445335351829	0.5748565971169373
3.1850284052248923	3.5554307746930465	4.237734390535803	0.17098404679775583
4.883595437236301	1.1493723527882245	3.868312365760573	0.8678686680703291
2.5335565525463037	2.8335278018037746	4.994945025565	0.1458575848631025
2.161683284418742	2.2271261895189824	3.3728976390523697	0.2214212550753818
4.641560964436924	3.1711799438524717	1.1510694369693062	0.6675090234712077
2.5544683990391537	1.9693463367114648	2.7751458346034856	0.3504609945487005
4.561548396784648	3.7493908325632894	4.906744080784473	0.20432015618420063
3.0742145223825186	3.695492607513583	2.23320210849213	0.259112229196622
