mu_drift	q	Volt	d	target
4.129865044545232	3.150856962184529	1.1710954926064834	3.06801874812098	5.009432080437085
2.8216475503438723	4.470514809939523	1.9795538679573843	1.2716811432462038	19.7658311344032
1.5138959140068249	3.4938513644326465	4.974093349827557	1.088887024035773	24.13658457233256
1.5653503306093906	1.199055970407171	2.772131984178404	4.476800148767482	1.1732870703728904
1.2207304731349575	1.9853235775389264	4.991509790566678	2.83318893086638	4.294362550870387
1.175288332766566	1.2416335605472222	2.392595142966921	1.914865862935064	1.8074874740102937
2.67355759955426	4.712857389337629	2.088659658528463	4.246001609509655	6.268783559614313
1.76117534518495	2.3096167793467925	2.2180541749820257	4.273042566856914	2.1384939910313343
2.8186730817286776	1.1655264100140563	2.41513743388249	4.8182062830527554	1.6340916896196238
2.9413554913523265	3.3778892438142125	2.6119168063426126	4.039396795303468	6.57579580457536
3.79020758871757	3.508653570261476	1.4444922474429256	1.1536788008349323	16.683799689519063
3.985559189396152	1.351201190603066	1.0419262059654164	3.740535752420924	1.5016800663486016
1.1755854493894176	2.311391449787512	3.76871294056234	2.5648870127440064	4.016455323512861
1.5851794820239409	1.1484768315057878	2.4030521608747755	2.568995070680701	1.7052342906428861
3.7722278620302383	1.8153799629044125	1.5630855258477396	2.262545436828905	4.823004638419779
1.1022724460586923	3.282672836465105	4.852907911138802	3.6321433616979135	4.836267339936056
3.5811269838045505	4.945948426445043	3.323636180222772	4.535729671520589	13.077390047120694
4.730022162699539	2.0670857900492234	1.361167584159185	4.335763852683181	3.10818345082038
3.986605739163057	2.9866367922250783	1.5606355579029942	4.215208243846391	4.45107347532741
3.088056040126373	2.7336303825698622	2.510781598231015	4.149305335252036	5.035362221325432
4.749157131043568	4.2354845161383965	1.3713530634587432	2.9939417243114708	9.081964345070322
3.888645082939031	4.3051339528116666	3.897408878687607	2.7871647355086977	23.329206595955252
2.855086607971117	2.4745403947926734	3.497541031284725	2.528206981367371	9.836624279194275
2.1620472509603306	4.9154500992155805	1.1198864149397518	4.335573847162689	2.781721923302987
1.137503919529108	4.460924282957017	2.3362242197007737	1.997865430459472	5.954512809781504
1.4437994470923554	2.888909587146208	1.9787236789501	2.4456967956110907	3.3961334192498454
1.6306318838735114	2.7403012437136947	4.91035468174174	4.783774062147046	4.5406765871824595
1.2216314503635035	1.3319834336935013	2.7544275070743365	2.561608607952032	1.7485487542107312
4.7059827234465335	4.044599901584604	2.42025301907096	1.968445956893058	23.45509886208768
1.2710527407607617	4.3434215996491305	1.3564786934833752	2.284695772585952	3.3064784557727163
2.5628689880992748	4.175107706558857	3.007339517304842	3.928357104926037	8.091966616010367
3.4840683268347936	4.7970632332949	3.892918719995741	3.936113775700718	16.701991680929094
1.6473069473668158	3.992916004923312	3.174924964568357	4.052066429762942	5.211238788715502
2.339364682342605	2.4902552536919127	3.1989966278759896	1.564856592531826	12.086389136135121
4.202544540868339	1.0199370360595643	4.757030052633628	3.4617821943162745	5.9154535070293575
3.647784910222157	4.888251077442714	4.918490245268503	3.839153440764969	22.732654597734467
4.6533158133203205	4.431450944777675	1.091271070412386	1.6610359950783802	13.564902024859254
4.957754130845461	4.370148464388116	1.05675292297938	4.765027431174838	4.789883014444299
1.7443681396439406	3.951855344701192	4.001253388402976	2.8001061035578823	10.018427201034172
3.5460495932586986	3.7520613778009593	4.25611513424173	3.0579062693566166	18.30454091957816
4.272004164253377	4.138347534122491	1.9987766119218788	3.8182481495932175	9.313995265497542
4.518223558189431	4.301954032882812	3.574501748864242	3.9724920339581336	17.900886152079686
