alpha	n	d	target
1.8461495814678208	1.4947737908347007	1.116298460018292	7.023342754373352
2.4708270480048204	1.830374218710805	3.912866559394465	2.14259671562896
4.863445878467163	3.322992355975636	2.6736960414229727	3.4591907379101228
2.723500010914598	4.719940164186122	3.139921785837188	1.1475041026783432
1.0756426666067551	3.79348448731223	4.684853060142824	0.37904378287770274
2.7435716447344194	1.039012753333315	1.9664617361488044	8.441050315387871
4.284931856282096	3.283292287928315	4.615544946811327	1.7744836559590944
3.5846206854466107	4.044133525735118	3.9939761779909104	1.3710433604792125
1.3618500425839284	1.4968705956999568	4.7222334912496375	1.227262578668419
2.11407056978413	3.147726834160792	4.756130397367199	0.897320317165912
4.640982738762854	1.991715914944979	3.7749706600732815	3.8726918140901385
1.0604509245129554	3.921316620594309	1.7729268206130209	0.9673573216816397
4.813665883048722	4.845247075148573	4.015400513537086	1.5483901537321547
4.704060856343528	2.313770174833921	1.2834373090742104	9.855330783024673
2.3760329845184365	1.5975973408714452	3.190471914789029	2.9305310494480388
1.716264565940257	4.176394180509702	2.5978045647411063	0.9823127103870269
3.1900801589521244	1.4745531528716986	3.5961950520025123	3.802899461428243
4.642538118791781	4.991943682244433	2.1571329713641405	2.6898421367973553
4.4896728802621215	2.2384617390300106	2.1773430202905644	5.695252726607538
1.7399724140079846	3.146910205551523	3.3701498432556773	0.9934433613736586
3.277641346062812	3.2065348725869254	3.956341180930977	1.6212852974823246
1.0291358636304797	3.075319908729244	1.0412532631142022	2.025799551729363
4.631904073105094	2.194455937330312	4.328892985748327	3.1046089786915174
2.8768083201282995	2.5141987340754675	4.99006276865646	1.415741602687255
2.508170034800716	2.221989414649514	1.1541227725500334	6.207314839702746
1.2979352928496477	1.5496150784960838	2.0901305513748696	2.5056175793479856
3.924634621491818	3.994603243291066	2.495851613880668	2.471831664729164
3.808993234649912	3.6733781220429234	4.658183902206496	1.3987268252582092
3.4315570113024485	3.1410210926115525	2.146020053088922	3.1983153484544156
4.793723688966296	3.2391985140728528	1.5529907854758664	5.86578612894637
3.968730964032742	4.312367200646792	4.1364051438771385	1.4079606193681458
1.1612730562545792	3.2961809241622824	1.2617977137809713	1.768979005760061
4.74183217606043	2.52578522882666	4.03520040350827	2.95120629676706
3.102113096677114	2.1794848226477908	4.381350199545664	2.051103697296701
2.217287063617841	4.871729816933216	3.368244680003338	0.8472557353121036
1.4503199009141563	4.025819312177921	3.5045072178955348	0.6364139214163665
3.058059961007141	1.968909401126565	1.2650095458829274	7.749076291834818
3.3318360019824773	2.051309310852009	1.9018907400993523	5.368019919596748
1.8936836633424083	1.7680000167329508	1.715459911577785	3.922959448517682
4.1415748363436125	2.5805024048149225	1.6075974643760813	6.300475675963843
3.9329494669576137	2.90901778077147	2.239629621181212	3.7912261651284522
1.3525952355623312	1.3004837330613048	4.547487667602028	1.4306672218590832
3.401204358242141	1.8441204928197656	2.7654262652215587	4.141009180330735
2.074799190089513	3.1641785951710943	3.2055739964706427	1.2851792878789856
2.6312037723092105	3.7875701755188977	2.752150581939338	1.6093612884527144
2.9321038762806517	3.3876552357281464	1.4520527004252406	3.7039260998753476
3.324921966614683	1.288788266677552	1.2581876343380638	13.012752469180892
2.5800222647206428	4.447511818373171	2.8446934743880856	1.2904549453390508
1.0234206491533715	2.858931080983452	4.662916140401359	0.4741030835094656
4.171075074101951	2.032164823259772	3.4834012119234146	3.7247764192186694
3.680916579622692	4.578890090217891	4.3281877992893465	1.1672080339237199
3.492033298098981	4.978784661090216	1.366397347567842	3.2225176980675334
4.643340195067727	2.0229736960696028	2.827385532248831	5.202584686913055
4.3719769238612445	3.431396142815613	1.6389689384324022	4.930433882679872
1.091665686929558	1.6988326838404428	2.933836593451096	1.3634316821245993
3.140834253489486	1.4304111599703435	4.62287172047574	3.0034585782792704
3.692247227119709	2.899005512078907	3.0436586032739963	2.6051065428414937
3.9809464338071288	2.4153821257415773	1.004609495372483	10.21803490149756
2.1407998830286323	1.861826989448789	1.827469229742792	3.959703102380486
1.2569762644694902	2.1720353301400883	3.2847003822076632	1.119984485218974
2.9653291443648726	1.5057347889999764	3.240050345531165	3.7622262825397677
4.545463715039596	1.0095595453097346	2.8803308888186496	9.772153566686878
1.5417916526053093	3.033985361029744	2.984506781029706	1.0824212275334635
1.4542067575210829	4.731954545859469	3.8722581601603054	0.4939646182207129
4.7460208781454405	3.0567521697480595	2.8185992549714904	3.4622012192938914
1.0424837612397928	2.753266555161075	2.919005422521701	0.8124838360922021
2.7098098016799312	3.820912406864776	2.1620635764760823	2.0873341565230485
3.441423593589892	3.1916105320518167	2.7590871482810173	2.4633448445300203
3.9371682768106937	2.7825655589668963	2.8635901586000725	3.0953397431399607
3.1518880035785783	4.126205585369286	3.561502312567616	1.3363430329216253
3.1623215252486623	2.823351785070366	2.5305793265013112	2.83954174001625
2.1045236287460822	3.074432331466616	1.2214585719273958	3.5185267196466206
4.6048753242443645	2.9267749575907995	2.8205249261069274	3.4969916990879972
3.433511616681879	4.412362467815896	2.3487800182099985	2.092031274750723
2.346742972547784	1.1844736562591949	4.492401792145335	2.790951092322177
2.508359070292913	4.904730928367802	3.26656578297726	0.9699280383076949
4.3741157610237575	3.637255105560069	2.803147378363709	2.6904473446398054
4.3363557709512826	4.985499047435108	4.835861773172351	1.1179953300131353
1.5246280003319668	2.6103517885614886	2.9889085060209952	1.2208811159743551
3.433963148931129	2.349104733274183	1.6669779866476793	5.580062076833026
1.5895723881100268	2.4744902828835555	4.1801356294033525	0.9767077515705058
4.945871405536863	3.2997014851571347	4.565986609382347	2.074737104829004
4.5311890747905865	4.616673263770542	4.710206043571762	1.2908532307503007
3.22838281261664	3.2944572380800783	1.409850646763084	4.375402328584467
4.415744774171809	1.3404103547848931	3.264832672458509	6.303447033058553
3.3424126401170025	3.13407042243782	1.6229542057035924	4.16976439375349
1.6318581307479048	1.8444307528401884	1.7466584854450176	3.1647418868383257
4.863226360622932	4.196686075034248	4.8802868946841045	1.4795902371454404
3.5644009593572017	3.5428681064715914	3.077503018552638	2.0614675463192924
4.3669491813007175	1.9285401413537235	4.125915204210914	3.490177267654497
4.999169808500929	1.5264551433538975	4.658062305416816	4.464798073749908
3.860031839676438	2.713708613779464	3.5535902492090004	2.5476895174863143
3.07135674080693	1.5947602965896317	1.4801377599055745	8.282439799825102
1.3228264556045572	2.556015446972116	3.56400579334867	0.9272870677094193
4.21191508665221	3.5334140727895966	4.970799342239713	1.5094629119537852
2.096515581256403	3.9978458077312697	2.952323267178512	1.1110988731376537
1.898374277591728	1.3317898176444989	2.735859567656971	3.2466257607432625
1.4234771107733146	4.313927582100698	1.5891561553805027	1.3202271417493394
3.0724522751824512	3.0817782360699986	3.1531570050960416	1.98320751421279
4.718826461725133	1.0962725554588442	3.744149957941989	7.1576823313046605
3.171935422396277	3.4951669525177764	4.12798981504298	1.3885497852184827
3.9540745952549554	3.671456974248024	1.6255363997628771	4.102586151689408
2.189467616385344	3.1945157865276617	1.0656862509738017	3.9973098136706278
3.2308081342858417	2.4162690931221245	3.5081178357187417	2.4000172317915545
2.424561338594952	3.0985773878415115	2.6473897764742644	1.8734694226664221
1.3527878467022147	1.6162081132042436	3.911710125186724	1.3400038236600098
1.0973142662794435	2.8542073192427173	2.0647047111873387	1.1672301343585925
3.241408311212129	4.6877541957468605	3.541083392205857	1.2365611636103753
1.0784728006359685	2.225164325092397	3.550794811643493	0.864742903508875
1.356607381658825	2.251231307019748	1.5187266303248743	2.4413437109007083
1.1251832711703225	2.969877403847068	4.311017886555758	0.5603748582189373
2.7571423961663943	4.925336711064034	2.308695580277403	1.5184956609077815
3.7786940352891087	4.863473226699263	2.8370604392892003	1.7078592980939018
2.9211329213438613	2.414945165735189	4.978177076494496	1.519548569117449
1.7767022435577324	2.170430234619975	2.149547768455164	2.360120775613
