n	T	V	kb	target
1.4936278278432984	1.7303581032133133	2.001617774975424	4.301209886884715	5.54628013892755
2.2737921795080083	4.9117436135383015	2.212718211384019	4.529757193136066	22.728448167372733
1.1717855445816652	3.909283852841824	2.0294791414371542	2.1236502360520544	4.744216173895231
4.3123056110672495	1.5427237540606442	2.5486573941546093	4.963608783381206	13.072785433059812
2.3852904464323843	3.855354457909821	2.814530975163615	3.4363855488374435	11.277525613756001
2.2900038356377586	4.981641668786273	2.521171481064516	1.0103341740854326	4.510445073464055
3.589963517296182	4.141516519556458	2.3632213313388237	3.664383248000532	22.713413782425185
2.592875447326306	3.8167478989403607	2.8526850861476163	2.7403971687123048	9.53462462029153
4.644874840710843	4.466422792891733	2.2972609313816603	2.81447883985078	25.02596445143036
1.7265484032667833	3.986262280247949	1.7261153375497544	3.1121895855051287	12.26229092330349
2.322892775850983	1.3399755846315964	3.848603902883773	4.153157941071924	3.393111158954136
3.214507087548206	3.567118603318221	1.8931947772092304	2.8275314548656985	17.15656277871771
2.4420870568321584	2.528366827966205	3.189475210588089	1.928381011676183	3.7300973543209714
2.3190728996732592	2.3490893287057246	1.1490082761270504	1.9327529062093445	9.08893051013679
3.133227001048966	2.011530104269102	3.947399220582012	1.0136839037994312	1.6177284613667413
3.495945876481163	1.4150030053313851	2.9017400445614823	4.471589561204649	7.4881489645178245
1.3617672625101291	1.4323963377504632	3.180652381956867	2.727638731167452	1.660030477321177
3.2344397965674405	4.448524472092919	4.285424667143725	2.0457028110179047	6.841718080235546
4.8347349732351725	3.845494405544727	1.6366190293308949	3.4294616797094064	38.78749073750232
1.0011473119178875	4.580327009720574	3.395800654596965	1.0079636929626905	1.3682478669729579
3.07774616326588	3.6766292087965713	3.737720315675801	3.897276979956736	11.756588412436624
2.8657130090791565	1.5512777755863216	3.31516458926772	3.450766283282108	4.510139004391905
4.933316358952759	4.378097941549685	4.771476279868674	2.0722558458294698	9.385003485482516
2.0878323463552766	1.4746749533360637	1.5983524003673786	1.40944993801513	2.734595016109431
4.974416155696579	3.8473705260283046	4.618901348185641	4.86011881887959	20.33044599240865
2.6163416462021565	2.5536000529686267	1.0700240678267492	1.0754302531866529	6.814077424294431
4.894761790539136	3.6799316312673342	3.113039484085369	1.0428008782210232	6.056649490308456
3.3385827118625944	3.454058112799648	3.3675414246499686	4.123735548042782	14.016508479754757
3.7804259067397568	3.634326142395625	4.575815658967084	2.950210873595096	8.784648143237641
2.531507369539589	2.8268029838607807	3.667794750814034	1.2396326735298415	2.4038428348278513
2.729914947081302	2.4096801901398863	2.2920195247364177	1.938153597924156	5.518757343176043
1.3892057848559691	4.649972571848808	2.4284072183910728	2.1680968412444765	5.834172251735489
3.45485599444777	1.7300550112083606	1.6517413190316734	3.990331590595428	14.484243719613787
2.9006138484206003	4.624934571295031	1.2202425191633912	3.827767270250344	42.524545825710454
2.457279480681545	3.309393169534137	4.982848990861619	1.2923052260482333	2.0743703878507787
4.386247126397819	2.822496489032972	4.203575665866415	4.0933864784619445	12.057922577481635
4.1923542391394815	2.2779675125158017	3.903696342662712	1.7989193908079373	4.34950029647602
4.13399226636446	4.510984689007505	2.647799264227421	1.1103303216080178	7.959265674905999
1.0267926714970457	4.622861466615532	2.8703255477292595	2.73886451709902	4.5325388646439935
2.066267156353547	2.5559667363908183	3.9808085171010887	1.7803009508152643	2.393554038420959
3.4786945139172745	4.819486907622336	3.4542230767791646	4.849741969254941	23.519836025531223
3.3914219777017003	3.7463003258003984	3.3528423328865613	4.433197670355222	16.837459937345482
4.890995536166292	1.9216927660060468	2.9009171819413435	1.568063987195889	5.15916685187086
1.976474131177801	2.0304408211084084	4.256782261760927	1.4965742933791764	1.4183838598084024
2.952707087203501	4.955071816048946	1.3967520509712128	1.1646284329171954	12.194846094815563
4.333785727482163	1.9051212769957704	2.846550687485032	1.5209386738188282	4.384971146354386
1.8003020912736392	4.296040644074521	3.7614714706295582	2.435162434329132	4.949706757363309
4.473845887642477	1.3246018622640077	1.8328393674580248	1.117232161609499	3.6255752939939
3.1471402138053834	1.2051663719345247	3.5857060081764187	2.9293137841050534	3.1261604064085007
3.249189456572485	1.9950710590588616	4.222087740691316	3.0998404192661613	4.796616699132868
4.171316283872189	2.6389084961513825	4.200832307934558	4.7593342067932	12.395455454271254
1.7991698877510518	2.078058695833481	3.616386110919167	1.6303015265862313	1.7057363604129419
1.6977781583743732	3.1488313498638254	1.780852978697404	4.893519969906069	14.483630985452864
1.3058604079659646	1.7353525946508723	2.148555967489949	4.621628903461689	4.8563331452120515
4.8263103763507935	3.6592983865610567	1.5119443402387185	3.62208708539282	41.550308957103596
4.481073964553684	2.1004705401747312	4.748532222345256	1.1306269915425875	2.2366204335252724
4.903387244096664	1.2276027887231922	2.805693417689956	2.436120420353644	5.237797159540536
2.008395538960804	4.6801742058896325	2.9379335601092667	3.1931673386978683	10.223241618012358
2.6673380186368147	1.2035546933454708	4.902167391214481	2.15722478223151	1.404878113804815
4.214841639808677	2.0950820750678165	3.334673558094128	1.6769298446564411	4.467437106090447
2.85890604319494	4.8915903510583565	3.1533622034732733	2.6588401196314524	11.66279194978562
3.0705822476516382	2.2167174866627257	3.999734667005496	4.664344827836817	7.916341259009007
2.6314500002203194	3.115185740903413	2.9311569977581566	1.5977850467420591	4.497303420580878
1.4477217200855117	1.5054299712591597	4.70841921662462	3.7212247321476655	1.6995824751448536
2.2813319106042207	2.182469020742366	3.6033463178908582	2.864333077092441	3.930982154119911
3.2689325608992856	4.980315391604553	2.802672194070285	3.963837465900189	22.97094870070555
1.7741747997287378	1.679392689267562	3.873667730532857	1.6868623319606249	1.2905714104020363
4.258578836586233	4.645197499786637	2.8286467426868422	2.27741939906634	16.050301565201895
4.9417248175175335	2.491300274891079	3.7368934692180087	3.8671136422509833	12.724690189531623
3.9878353067952186	3.3284430378538845	4.086660334556846	1.0145119267649907	3.311363421423539
3.968134228239488	4.657676754682903	3.688282839173063	1.7348602639622233	8.695664736814384
2.6885800828664683	2.6142985788035222	3.109687988876257	1.5338673368696347	3.4660449113507594
4.238377651390115	3.4821240277097547	4.712561067448377	3.2831985975576714	10.197578612998067
2.3423116737569822	2.710754935700885	1.969202278736839	2.902539213742788	9.489553857078386
2.7286535845611546	2.5816985764765628	3.1148399610473105	4.229866478715379	9.686198670344394
2.995583684951056	1.7895349111469336	2.590273006666993	4.587803814164191	9.655091534174096
2.749573289092964	2.401616768389228	2.3900120388487798	4.301503372969355	11.884832391924295
2.3593634609003056	1.5196729621043747	3.0299757813266472	3.107879938988072	3.6991439295000075
3.1810619525112527	4.7884044497721865	4.629670250540553	2.911301818917904	9.61881775712012
1.200900147299186	3.6959500969252272	1.862476324180407	4.304701618784296	10.399095975355424
1.5242491263056834	3.6765054215574753	4.694014118067587	1.2327831988727178	1.460361094796662
2.7444446650622543	1.4289920054842766	3.7493947068306457	3.7193283349599486	3.904539904260674
2.8394083762628206	2.1923401196704075	4.5912175684301815	4.414374791594925	5.984704109263592
4.63070193912646	1.6681734643169182	3.524487885738885	4.5678966817133775	10.131463176860038
4.648714182463151	2.1609384950395825	4.3350092771071855	3.2481555736908803	7.6194122349350994
3.188438710337089	3.7167782289247264	3.639283581949361	4.8693837641000215	15.786460443908505
